Year,Month,Day,Value,Completeness
2023,1,1,2,C
2023,1,2,2,C
2023,1,3,1,C
2023,1,4,2,C
2023,1,5,2,C
2023,1,6,3,C
2023,1,7,2,C
2023,1,8,1,C
2023,1,9,1,C
2023,1,10,0.5,C
2023,1,11,1,C
2023,1,12,1,C
2023,1,13,0.8,C
2023,1,14,2,C
2023,1,15,1,C
2023,1,16,0.9,C
2023,1,17,1,C
2023,1,18,3,C
2023,1,19,3,C
2023,1,20,2,C
2023,1,21,2,C
2023,1,22,3,C
2023,1,23,2,C
2023,1,24,3,C
2023,1,25,1,C
2023,1,26,2,C
2023,1,27,2,C
2023,1,28,3,C
2023,1,29,3,C
2023,1,30,3,C
2023,1,31,3,C
2023,2,1,3,C
2023,2,2,3,C
2023,2,3,2,C
2023,2,4,2,C
2023,2,5,1,C
2023,2,6,2,C
2023,2,7,2,C
2023,2,8,1,C
2023,2,9,3,C
2023,2,10,2,C
2023,2,11,1,C
2023,2,12,2,C
2023,2,13,3,C
2023,2,14,2,C
2023,2,15,3,C
2023,2,16,2,C
2023,2,17,4,C
2023,2,18,2,C
2023,2,19,3,C
2023,2,20,3,C
2023,2,21,3,C
2023,2,22,4,C
2023,2,23,3,C
2023,2,24,3,C
2023,2,25,3,C
2023,2,26,3,C
2023,2,27,4,C
2023,2,28,4,C
2023,3,1,3,C
2023,3,2,3,C
2023,3,3,3,C
2023,3,4,3,C
2023,3,5,4,C
2023,3,6,4,C
2023,3,7,4,C
2023,3,8,3,C
2023,3,9,3,C
2023,3,10,4,C
2023,3,11,3,C
2023,3,12,2,C
2023,3,13,1,C
2023,3,14,3,C
2023,3,15,3,C
2023,3,16,3,C
2023,3,17,3,C
2023,3,18,3,C
2023,3,19,1,C
2023,3,20,2,C
2023,3,21,1,C
2023,3,22,0.7,C
2023,3,23,1,C
2023,3,24,3,C
2023,3,25,1,C
2023,3,26,0.6,C
2023,3,27,0.3,C
2023,3,28,0.5,C
2023,3,29,2,C
2023,3,30,0.9,C
2023,3,31,0.6,C
2023,4,1,2,C
2023,4,2,0.5,C
2023,4,3,0.5,C
2023,4,4,1,C
2023,4,5,0.7,C
2023,4,6,1,C
2023,4,7,3,C
2023,4,8,0.7,C
2023,4,9,1,C
2023,4,10,2,C
2023,4,11,3,C
2023,4,12,3,C
2023,4,13,3,C
2023,4,14,2,C
2023,4,15,3,C
2023,4,16,4,C
2023,4,17,4,C
2023,4,18,2,C
2023,4,19,1,C
2023,4,20,0.6,C
2023,4,21,0.5,C
2023,4,22,0.9,C
2023,4,23,1,C
2023,4,24,1,C
2023,4,25,0.4,C
2023,4,26,3,C
2023,4,27,3,C
2023,4,28,4,C
2023,4,29,2,C
2023,4,30,3,C
2023,5,1,3,C
2023,5,2,3,C
2023,5,3,3,C
2023,5,4,4,C
2023,5,5,3,C
2023,5,6,2,C
2023,5,7,1,C
2023,5,8,0.8,C
2023,5,9,3,C
2023,5,10,3,C
2023,5,11,3,C
2023,5,12,2,C
2023,5,13,2,C
2023,5,14,1,C
2023,5,15,3,C
2023,5,16,3,C
2023,5,17,1,C
2023,5,18,4,C
2023,5,19,3,C
2023,5,20,4,C
2023,5,21,4,C
2023,5,22,5,C
2023,5,23,1,C
2023,5,24,3,C
2023,5,25,2,C
2023,5,26,4,C
2023,5,27,5,C
2023,5,28,5,C
2023,5,29,5,C
2023,5,30,5,C
2023,5,31,4,C
2023,6,1,3,C
2023,6,2,5,C
2023,6,3,4,C
2023,6,4,5,C
2023,6,5,4,C
2023,6,6,2,C
2023,6,7,3,C
2023,6,8,4,C
2023,6,9,3,C
2023,6,10,4,C
2023,6,11,4,C
2023,6,12,6,C
2023,6,13,3,C
2023,6,14,2,C
2023,6,15,1,C
2023,6,16,0.8,C
2023,6,17,0.8,C
2023,6,18,3,C
2023,6,19,4,C
2023,6,20,4,C
2023,6,21,5,C
2023,6,22,5,C
2023,6,23,2,C
2023,6,24,2,C
2023,6,25,4,C
2023,6,26,5,C
2023,6,27,5,C
2023,6,28,3,C
2023,6,29,5,C
2023,6,30,4,C
2023,7,1,3,C
2023,7,2,2,C
2023,7,3,4,C
2023,7,4,4,C
2023,7,5,6,C
2023,7,6,5,C
2023,7,7,5,C
2023,7,8,6,C
2023,7,9,6,C
2023,7,10,6,C
2023,7,11,6,C
2023,7,12,4,C
2023,7,13,6,C
2023,7,14,6,C
2023,7,15,4,C
2023,7,16,4,C
2023,7,17,1,C
2023,7,18,2,C
2023,7,19,3,C
2023,7,20,5,C
2023,7,21,3,C
2023,7,22,5,C
2023,7,23,6,C
2023,7,24,6,C
2023,7,25,6,C
2023,7,26,3,C
2023,7,27,4,C
2023,7,28,4,C
2023,7,29,1,C
2023,7,30,3,C
2023,7,31,6,C
2023,8,1,4,C
2023,8,2,6,C
2023,8,3,6,C
2023,8,4,5,C
2023,8,5,5,C
2023,8,6,5,C
2023,8,7,4,C
2023,8,8,5,C
2023,8,9,4,C
2023,8,10,3,C
2023,8,11,3,C
2023,8,12,5,C
2023,8,13,2,C
2023,8,14,3,C
2023,8,15,4,C
2023,8,16,6,C
2023,8,17,3,C
2023,8,18,1,C
2023,8,19,2,C
2023,8,20,3,C
2023,8,21,4,C
2023,8,22,4,C
2023,8,23,5,C
2023,8,24,3,C
2023,8,25,2,C
2023,8,26,3,C
2023,8,27,3,C
2023,8,28,3,C
2023,8,29,3,C
2023,8,30,4,C
2023,8,31,3,C
2023,9,1,0.9,C
2023,9,2,0.7,C
2023,9,3,5,C
2023,9,4,4,C
2023,9,5,2,C
2023,9,6,4,C
2023,9,7,2,C
2023,9,8,0.6,C
2023,9,9,2,C
2023,9,10,2,C
2023,9,11,2,C
2023,9,12,3,C
2023,9,13,4,C
2023,9,14,1,C
2023,9,15,4,C
2023,9,16,3,C
2023,9,17,5,C
2023,9,18,5,C
2023,9,19,4,C
2023,9,20,3,C
2023,9,21,4,C
2023,9,22,3,C
2023,9,23,4,C
2023,9,24,3,C
2023,9,25,5,C
2023,9,26,4,C
2023,9,27,4,C
2023,9,28,5,C
2023,9,29,4,C
2023,9,30,4,C
2023,10,1,4,C
2023,10,2,3,C
2023,10,3,3,C
2023,10,4,3,C
2023,10,5,4,C
2023,10,6,4,C
2023,10,7,1,C
2023,10,8,1,C
2023,10,9,0.3,C
2023,10,10,2,C
2023,10,11,3,C
2023,10,12,2,C
2023,10,13,3,C
2023,10,14,3,C
2023,10,15,3,C
2023,10,16,2,C
2023,10,17,2,C
2023,10,18,0.5,C
2023,10,19,0.4,C
2023,10,20,1,C
2023,10,21,1,C
2023,10,22,3,C
2023,10,23,3,C
2023,10,24,3,C
2023,10,25,2,C
2023,10,26,3,C
2023,10,27,4,C
2023,10,28,2,C
2023,10,29,2,C
2023,10,30,2,C
2023,10,31,3,C
2023,11,1,3,C
2023,11,2,3,C
2023,11,3,3,C
2023,11,4,3,C
2023,11,5,3,C
2023,11,6,3,C
2023,11,7,0.9,C
2023,11,8,1,C
2023,11,9,1,C
2023,11,10,3,C
2023,11,11,0.6,C
2023,11,12,2,C
2023,11,13,3,C
