年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,84,C
2023,1,2,79,C
2023,1,3,88,C
2023,1,4,83,C
2023,1,5,66,C
2023,1,6,56,C
2023,1,7,83,C
2023,1,8,88,C
2023,1,9,88,C
2023,1,10,91,C
2023,1,11,92,C
2023,1,12,89,C
2023,1,13,88,C
2023,1,14,62,C
2023,1,15,81,C
2023,1,16,88,C
2023,1,17,85,C
2023,1,18,41,C
2023,1,19,23,C
2023,1,20,74,C
2023,1,21,80,C
2023,1,22,62,C
2023,1,23,66,C
2023,1,24,44,C
2023,1,25,80,C
2023,1,26,85,C
2023,1,27,84,C
2023,1,28,20,C
2023,1,29,1,C
2023,1,30,8,C
2023,1,31,52,C
2023,2,1,59,C
2023,2,2,56,C
2023,2,3,88,C
2023,2,4,88,C
2023,2,5,88,C
2023,2,6,88,C
2023,2,7,74,C
2023,2,8,88,C
2023,2,9,83,C
2023,2,10,86,C
2023,2,11,92,C
2023,2,12,88,C
2023,2,13,73,C
2023,2,14,84,C
2023,2,15,42,C
2023,2,16,83,C
2023,2,17,32,C
2023,2,18,73,C
2023,2,19,70,C
2023,2,20,58,C
2023,2,21,48,C
2023,2,22,13,C
2023,2,23,21,C
2023,2,24,13,C
2023,2,25,32,C
2023,2,26,39,C
2023,2,27,8,C
2023,2,28,25,C
2023,3,1,6,C
2023,3,2,28,C
2023,3,3,11,C
2023,3,4,49,C
2023,3,5,9,C
2023,3,6,9,C
2023,3,7,7,C
2023,3,8,34,C
2023,3,9,37,C
2023,3,10,23,C
2023,3,11,32,C
2023,3,12,70,C
2023,3,13,82,C
2023,3,14,68,C
2023,3,15,42,C
2023,3,16,59,C
2023,3,17,66,C
2023,3,18,76,C
2023,3,19,88,C
2023,3,20,90,C
2023,3,21,88,C
2023,3,22,93,C
2023,3,23,91,C
2023,3,24,79,C
2023,3,25,88,C
2023,3,26,89,C
2023,3,27,94,C
2023,3,28,100,C
2023,3,29,93,C
2023,3,30,98,C
2023,3,31,99,C
2023,4,1,93,C
2023,4,2,96,C
2023,4,3,98,C
2023,4,4,91,C
2023,4,5,88,C
2023,4,6,87,C
2023,4,7,88,C
2023,4,8,88,C
2023,4,9,80,C
2023,4,10,88,C
2023,4,11,66,C
2023,4,12,40,C
2023,4,13,82,C
2023,4,14,81,C
2023,4,15,64,C
2023,4,16,18,C
2023,4,17,74,C
2023,4,18,78,C
2023,4,19,87,C
2023,4,20,97,C
2023,4,21,93,C
2023,4,22,88,C
2023,4,23,93,C
2023,4,24,90,C
2023,4,25,91,C
2023,4,26,83,C
2023,4,27,87,C
2023,4,28,71,C
2023,4,29,87,C
2023,4,30,84,C
2023,5,1,87,C
2023,5,2,81,C
2023,5,3,79,C
2023,5,4,74,C
2023,5,5,66,C
2023,5,6,85,C
2023,5,7,88,C
2023,5,8,88,C
2023,5,9,82,C
2023,5,10,88,C
2023,5,11,88,C
2023,5,12,88,C
2023,5,13,89,C
2023,5,14,94,C
2023,5,15,83,C
2023,5,16,81,C
2023,5,17,88,C
2023,5,18,63,C
2023,5,19,67,C
2023,5,20,76,C
2023,5,21,78,C
2023,5,22,83,C
2023,5,23,93,C
2023,5,24,93,C
2023,5,25,88,C
2023,5,26,85,C
2023,5,27,60,C
2023,5,28,47,C
2023,5,29,18,C
2023,5,30,14,C
2023,5,31,37,C
2023,6,1,71,C
2023,6,2,48,C
2023,6,3,47,C
2023,6,4,65,C
2023,6,5,83,C
2023,6,6,90,C
2023,6,7,85,C
2023,6,8,79,C
2023,6,9,86,C
2023,6,10,85,C
2023,6,11,86,C
2023,6,12,82,C
2023,6,13,86,C
2023,6,14,92,C
2023,6,15,88,C
2023,6,16,90,C
2023,6,17,90,C
2023,6,18,88,C
2023,6,19,87,C
2023,6,20,79,C
2023,6,21,85,C
2023,6,22,88,C
2023,6,23,88,C
2023,6,24,88,C
2023,6,25,88,C
2023,6,26,88,C
2023,6,27,76,C
2023,6,28,84,C
2023,6,29,84,C
2023,6,30,83,C
2023,7,1,85,C
2023,7,2,88,C
2023,7,3,82,C
2023,7,4,87,C
2023,7,5,86,C
2023,7,6,77,C
2023,7,7,71,C
2023,7,8,48,C
2023,7,9,46,C
2023,7,10,40,C
2023,7,11,42,C
2023,7,12,40,C
2023,7,13,58,C
2023,7,14,68,C
2023,7,15,83,C
2023,7,16,87,C
2023,7,17,88,C
2023,7,18,88,C
2023,7,19,88,C
2023,7,20,84,C
2023,7,21,76,C
2023,7,22,77,C
2023,7,23,86,C
2023,7,24,62,C
2023,7,25,56,C
2023,7,26,78,C
2023,7,27,77,C
2023,7,28,86,C
2023,7,29,91,C
2023,7,30,88,C
2023,7,31,85,C
2023,8,1,75,C
2023,8,2,52,C
2023,8,3,43,C
2023,8,4,86,C
2023,8,5,84,C
2023,8,6,71,C
2023,8,7,69,C
2023,8,8,69,C
2023,8,9,73,C
2023,8,10,86,C
2023,8,11,85,C
2023,8,12,86,C
2023,8,13,87,C
2023,8,14,88,C
2023,8,15,85,C
2023,8,16,70,C
2023,8,17,85,C
2023,8,18,88,C
2023,8,19,88,C
2023,8,20,86,C
2023,8,21,86,C
2023,8,22,88,C
2023,8,23,86,C
2023,8,24,88,C
2023,8,25,77,C
2023,8,26,88,C
2023,8,27,87,C
