年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,64,C
2023,1,3,70,C
2023,1,4,72,C
2023,1,5,75,C
2023,1,6,62,C
2023,1,7,55,C
2023,1,8,60,C
2023,1,9,76,C
2023,1,10,95,C
2023,1,11,93,C
2023,1,12,89,C
2023,1,13,97,C
2023,1,14,92,C
2023,1,15,75,C
2023,1,16,62,C
2023,1,17,68,C
2023,1,18,56,C
2023,1,19,67,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,82,C
2023,1,23,87,C
2023,1,24,47,C
2023,1,25,46,C
2023,1,26,64,C
2023,1,27,42,C
2023,1,28,27,C
2023,1,29,33,C
2023,1,30,54,C
2023,1,31,65,C
2023,2,1,75,C
2023,2,2,80,#
2023,2,3,72,C
2023,2,4,81,C
2023,2,5,85,C
2023,2,6,86,C
2023,2,7,83,C
2023,2,8,83,C
2023,2,9,82,C
2023,2,10,87,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,85,C
2023,2,14,60,C
2023,2,15,55,C
2023,2,16,55,C
2023,2,17,64,C
2023,2,18,73,C
2023,2,19,67,C
2023,2,20,59,C
2023,2,21,65,C
2023,2,22,60,C
2023,2,23,66,C
2023,2,24,61,C
2023,2,25,52,C
2023,2,26,54,C
2023,2,27,58,C
2023,2,28,66,C
2023,3,1,71,C
2023,3,2,67,C
2023,3,3,52,C
2023,3,4,61,C
2023,3,5,56,C
2023,3,6,42,C
2023,3,7,49,C
2023,3,8,74,C
2023,3,9,72,C
2023,3,10,61,C
2023,3,11,68,C
2023,3,12,70,C
2023,3,13,55,C
2023,3,14,72,C
2023,3,15,77,C
2023,3,16,70,C
2023,3,17,78,C
2023,3,18,80,C
2023,3,19,83,C
2023,3,20,84,C
2023,3,21,84,C
2023,3,22,83,C
2023,3,23,78,C
2023,3,24,78,C
2023,3,25,91,C
2023,3,26,96,C
2023,3,27,90,C
2023,3,28,89,C
2023,3,29,83,C
2023,3,30,88,C
2023,3,31,90,C
2023,4,1,87,C
2023,4,2,91,C
2023,4,3,88,C
2023,4,4,90,C
2023,4,5,94,C
2023,4,6,89,C
2023,4,7,67,C
2023,4,8,68,C
2023,4,9,73,C
2023,4,10,75,C
2023,4,11,80,C
2023,4,12,76,C
2023,4,13,73,C
2023,4,14,82,C
2023,4,15,72,C
2023,4,16,69,C
2023,4,17,79,C
2023,4,18,82,C
2023,4,19,88,C
2023,4,20,91,C
2023,4,21,90,C
2023,4,22,86,C
2023,4,23,88,C
2023,4,24,89,C
2023,4,25,93,C
2023,4,26,68,C
2023,4,27,75,C
2023,4,28,80,C
2023,4,29,87,C
2023,4,30,66,C
2023,5,1,75,C
2023,5,2,70,C
2023,5,3,80,C
2023,5,4,77,C
2023,5,5,76,C
2023,5,6,80,C
2023,5,7,91,C
2023,5,8,87,C
2023,5,9,79,C
2023,5,10,68,C
2023,5,11,72,C
2023,5,12,83,C
2023,5,13,92,C
2023,5,14,98,C
2023,5,15,84,C
2023,5,16,86,C
2023,5,17,87,C
2023,5,18,81,C
2023,5,19,79,C
2023,5,20,78,C
2023,5,21,78,C
2023,5,22,75,C
2023,5,23,88,C
2023,5,24,84,C
2023,5,25,86,C
2023,5,26,81,C
2023,5,27,76,C
2023,5,28,73,C
2023,5,29,72,C
2023,5,30,75,C
2023,5,31,83,C
2023,6,1,86,C
2023,6,2,74,C
2023,6,3,77,C
2023,6,4,75,C
2023,6,5,79,C
2023,6,6,92,C
2023,6,7,93,C
2023,6,8,87,C
2023,6,9,84,C
2023,6,10,86,C
2023,6,11,80,C
2023,6,12,74,C
2023,6,13,84,C
2023,6,14,92,C
2023,6,15,97,C
2023,6,16,97,C
2023,6,17,98,C
2023,6,18,93,C
2023,6,19,85,C
2023,6,20,81,C
2023,6,21,76,C
2023,6,22,74,C
2023,6,23,83,C
2023,6,24,96,C
2023,6,25,91,C
2023,6,26,88,C
2023,6,27,80,#
2023,6,28,90,#
2023,6,29,83,C
2023,6,30,82,C
2023,7,1,88,C
2023,7,2,95,C
2023,7,3,90,C
2023,7,4,92,C
2023,7,5,80,C
2023,7,6,76,C
2023,7,7,76,C
2023,7,8,73,C
2023,7,9,74,C
2023,7,10,72,C
2023,7,11,74,C
2023,7,12,74,C
2023,7,13,72,C
2023,7,14,70,C
2023,7,15,74,C
2023,7,16,86,C
2023,7,17,87,C
2023,7,18,94,C
2023,7,19,89,C
2023,7,20,79,C
2023,7,21,81,C
2023,7,22,79,C
2023,7,23,80,C
2023,7,24,78,C
2023,7,25,72,C
2023,7,26,69,C
2023,7,27,70,C
2023,7,28,71,C
2023,7,29,90,C
2023,7,30,94,C
2023,7,31,84,C
2023,8,1,80,C
2023,8,2,71,C
2023,8,3,68,C
2023,8,4,77,C
2023,8,5,76,C
2023,8,6,76,C
2023,8,7,85,C
2023,8,8,84,C
2023,8,9,76,C
2023,8,10,91,C
2023,8,11,86,C
2023,8,12,84,C
2023,8,13,86,C
2023,8,14,90,C
2023,8,15,86,C
2023,8,16,77,C
2023,8,17,83,C
2023,8,18,93,C
2023,8,19,90,C
2023,8,20,86,C
2023,8,21,84,C
2023,8,22,80,C
2023,8,23,77,C
2023,8,24,84,C
2023,8,25,88,C
2023,8,26,86,C
2023,8,27,88,C
2023,8,28,88,C
2023,8,29,93,C
2023,8,30,74,C
2023,8,31,74,C
2023,9,1,87,C
2023,9,2,95,C
2023,9,3,78,C
2023,9,4,78,C
2023,9,5,80,C
2023,9,6,79,C
2023,9,7,96,C
2023,9,8,97,C
2023,9,9,92,C
2023,9,10,93,C
2023,9,11,92,C
2023,9,12,89,C
2023,9,13,86,C
2023,9,14,95,C
2023,9,15,94,C
2023,9,16,90,C
2023,9,17,83,C
2023,9,18,81,C
2023,9,19,81,C
2023,9,20,81,C
2023,9,21,80,C
2023,9,22,82,C
2023,9,23,76,C
2023,9,24,74,C
2023,9,25,73,C
2023,9,26,73,C
2023,9,27,71,C
2023,9,28,69,C
2023,9,29,71,C
2023,9,30,84,C
2023,10,1,80,C
2023,10,2,73,C
2023,10,3,80,C
2023,10,4,75,C
2023,10,5,64,C
2023,10,6,62,C
2023,10,7,80,C
2023,10,8,94,C
2023,10,9,99,C
2023,10,10,88,C
2023,10,11,75,C
2023,10,12,70,C
2023,10,13,65,C
2023,10,14,66,C
2023,10,15,72,C
2023,10,16,67,C
2023,10,17,54,C
2023,10,18,84,C
2023,10,19,93,C
2023,10,20,83,C
2023,10,21,76,C
2023,10,22,72,C
2023,10,23,76,C
2023,10,24,76,C
2023,10,25,79,C
2023,10,26,78,C
2023,10,27,79,C
2023,10,28,85,C
2023,10,29,79,C
2023,10,30,76,C
2023,10,31,75,C
2023,11,1,73,C
2023,11,2,76,C
2023,11,3,78,C
2023,11,4,75,C
2023,11,5,79,C
2023,11,6,69,C
2023,11,7,70,C
2023,11,8,76,C
2023,11,9,80,C
2023,11,10,82,C
2023,11,11,87,C
2023,11,12,75,C
2023,11,13,67,C
2023,11,14,67,C
2023,11,15,72,C
2023,11,16,71,C
2023,11,17,38,C
2023,11,18,44,C
2023,11,19,63,C
2023,11,20,72,C
2023,11,21,75,C
2023,11,22,79,C
2023,11,23,79,C
2023,11,24,73,C
2023,11,25,63,C
2023,11,26,70,C
2023,11,27,73,C
2023,11,28,62,C
2023,11,29,72,C
2023,11,30,77,C
2023,12,1,64,C
2023,12,2,64,C
2023,12,3,67,C
2023,12,4,69,C
2023,12,5,72,C
2023,12,6,71,C
2023,12,7,51,C
2023,12,8,69,C
2023,12,9,81,C
2023,12,10,78,C
2023,12,11,82,C
2023,12,12,79,C
2023,12,13,84,C
2023,12,14,80,C
2023,12,15,79,C
2023,12,16,67,C
2023,12,17,67,C
2023,12,18,73,C
2023,12,19,71,C
2023,12,20,60,C
2023,12,21,62,C
2023,12,22,41,C
2023,12,23,47,C
2023,12,24,46,C
2023,12,25,44,C
2023,12,26,60,C
2023,12,27,68,C
2023,12,28,69,C
2023,12,29,81,C
2023,12,30,80,C
2023,12,31,73,C
