年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,61,C
2023,1,2,62,C
2023,1,3,67,C
2023,1,4,73,C
2023,1,5,77,C
2023,1,6,59,C
2023,1,7,55,C
2023,1,8,53,C
2023,1,9,71,C
2023,1,10,92,C
2023,1,11,88,C
2023,1,12,89,C
2023,1,13,95,C
2023,1,14,90,C
2023,1,15,78,C
2023,1,16,63,C
2023,1,17,69,C
2023,1,18,55,C
2023,1,19,59,C
2023,1,20,57,C
2023,1,21,79,C
2023,1,22,83,C
2023,1,23,87,C
2023,1,24,46,C
2023,1,25,52,C
2023,1,26,66,C
2023,1,27,40,C
2023,1,28,20,C
2023,1,29,28,C
2023,1,30,40,C
2023,1,31,58,C
2023,2,1,77,C
2023,2,2,77,C
2023,2,3,76,C
2023,2,4,82,C
2023,2,5,84,C
2023,2,6,85,C
2023,2,7,84,C
2023,2,8,86,C
2023,2,9,84,C
2023,2,10,88,C
2023,2,11,95,C
2023,2,12,96,C
2023,2,13,89,C
2023,2,14,61,C
2023,2,15,58,C
2023,2,16,60,C
2023,2,17,70,C
2023,2,18,67,C
2023,2,19,67,C
2023,2,20,64,C
2023,2,21,62,C
2023,2,22,60,C
2023,2,23,69,C
2023,2,24,65,C
2023,2,25,51,C
2023,2,26,55,C
2023,2,27,58,C
2023,2,28,70,C
2023,3,1,71,C
2023,3,2,68,C
2023,3,3,53,C
2023,3,4,63,C
2023,3,5,54,C
2023,3,6,45,C
2023,3,7,52,C
2023,3,8,79,C
2023,3,9,74,C
2023,3,10,66,C
2023,3,11,67,C
2023,3,12,71,C
2023,3,13,62,C
2023,3,14,74,C
2023,3,15,78,C
2023,3,16,71,C
2023,3,17,84,C
2023,3,18,80,C
2023,3,19,87,C
2023,3,20,89,C
2023,3,21,87,#
2023,3,22,83,#
2023,3,23,81,C
2023,3,24,82,C
2023,3,25,91,C
2023,3,26,92,C
2023,3,27,86,C
2023,3,28,84,C
2023,3,29,86,C
2023,3,30,90,C
2023,3,31,93,C
2023,4,1,89,C
2023,4,2,93,C
2023,4,3,92,C
2023,4,4,91,C
2023,4,5,89,C
2023,4,6,87,C
2023,4,7,71,C
2023,4,8,71,C
2023,4,9,71,C
2023,4,10,79,C
2023,4,11,83,C
2023,4,12,78,C
2023,4,13,80,C
2023,4,14,82,C
2023,4,15,70,C
2023,4,16,70,C
2023,4,17,81,C
2023,4,18,83,C
2023,4,19,83,C
2023,4,20,95,C
2023,4,21,92,C
2023,4,22,90,C
2023,4,23,92,C
2023,4,24,90,C
2023,4,25,91,C
2023,4,26,69,C
2023,4,27,79,C
2023,4,28,85,C
2023,4,29,82,C
2023,4,30,71,C
2023,5,1,76,C
2023,5,2,73,C
2023,5,3,85,C
2023,5,4,85,C
2023,5,5,81,C
2023,5,6,82,C
2023,5,7,86,C
2023,5,8,86,C
2023,5,9,78,C
2023,5,10,69,C
2023,5,11,75,C
2023,5,12,75,C
2023,5,13,84,C
2023,5,14,93,C
2023,5,15,84,C
2023,5,16,88,C
2023,5,17,90,C
2023,5,18,85,C
2023,5,19,83,C
2023,5,20,81,C
2023,5,21,79,C
2023,5,22,77,C
2023,5,23,89,C
2023,5,24,89,C
2023,5,25,90,C
2023,5,26,88,C
2023,5,27,82,C
2023,5,28,76,C
2023,5,29,75,C
2023,5,30,76,C
2023,5,31,78,C
2023,6,1,79,C
2023,6,2,77,C
2023,6,3,78,C
2023,6,4,81,C
2023,6,5,80,C
2023,6,6,87,C
2023,6,7,88,C
2023,6,8,84,C
2023,6,9,84,C
2023,6,10,82,C
2023,6,11,83,C
2023,6,12,78,C
2023,6,13,81,C
2023,6,14,88,C
2023,6,15,91,C
2023,6,16,93,C
2023,6,17,93,C
2023,6,18,90,C
2023,6,19,82,C
2023,6,20,80,C
2023,6,21,79,C
2023,6,22,76,C
2023,6,23,80,C
2023,6,24,86,C
2023,6,25,83,C
2023,6,26,83,C
2023,6,27,79,C
2023,6,28,87,C
2023,6,29,83,C
2023,6,30,81,C
2023,7,1,82,C
2023,7,2,90,C
2023,7,3,83,C
2023,7,4,83,C
2023,7,5,78,C
2023,7,6,78,C
2023,7,7,76,C
2023,7,8,76,C
2023,7,9,78,C
2023,7,10,76,C
2023,7,11,77,C
2023,7,12,75,C
2023,7,13,71,C
2023,7,14,71,C
2023,7,15,74,C
2023,7,16,75,C
2023,7,17,85,C
2023,7,18,87,C
2023,7,19,89,C
2023,7,20,80,C
2023,7,21,79,C
2023,7,22,77,C
2023,7,23,77,C
2023,7,24,77,C
2023,7,25,74,C
2023,7,26,70,C
2023,7,27,66,C
2023,7,28,72,C
2023,7,29,86,C
2023,7,30,88,C
2023,7,31,84,C
2023,8,1,79,C
2023,8,2,70,C
2023,8,3,73,C
2023,8,4,77,C
2023,8,5,81,C
2023,8,6,80,C
2023,8,7,78,C
2023,8,8,75,C
2023,8,9,77,C
2023,8,10,83,C
2023,8,11,86,C
2023,8,12,80,C
2023,8,13,86,C
2023,8,14,84,C
2023,8,15,83,C
2023,8,16,80,C
2023,8,17,83,C
2023,8,18,87,C
2023,8,19,85,C
2023,8,20,83,C
2023,8,21,84,C
2023,8,22,80,C
2023,8,23,79,C
2023,8,24,86,C
2023,8,25,84,C
2023,8,26,84,C
2023,8,27,85,C
2023,8,28,82,C
2023,8,29,83,C
2023,8,30,69,C
2023,8,31,68,C
2023,9,1,80,C
2023,9,2,93,C
2023,9,3,77,C
2023,9,4,71,C
2023,9,5,71,C
2023,9,6,73,C
2023,9,7,89,C
2023,9,8,96,C
2023,9,9,93,C
2023,9,10,94,C
2023,9,11,94,C
2023,9,12,89,C
2023,9,13,88,C
2023,9,14,94,C
2023,9,15,89,C
2023,9,16,90,C
2023,9,17,85,C
2023,9,18,81,C
2023,9,19,81,C
2023,9,20,78,C
2023,9,21,79,C
2023,9,22,77,C
2023,9,23,74,C
2023,9,24,75,C
2023,9,25,76,C
2023,9,26,76,C
2023,9,27,73,C
2023,9,28,71,C
2023,9,29,78,C
2023,9,30,75,C
2023,10,1,78,C
2023,10,2,77,C
2023,10,3,79,C
2023,10,4,71,C
2023,10,5,56,C
2023,10,6,60,C
