年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,69,C
2023,1,3,73,C
2023,1,4,77,#
2023,1,5,82,C
2023,1,6,69,C
2023,1,7,61,C
2023,1,8,62,C
2023,1,9,78,C
2023,1,10,95,C
2023,1,11,90,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,97,C
2023,1,15,83,C
2023,1,16,70,C
2023,1,17,76,C
2023,1,18,62,C
2023,1,19,65,C
2023,1,20,67,C
2023,1,21,82,C
2023,1,22,86,C
2023,1,23,88,C
2023,1,24,54,C
2023,1,25,57,C
2023,1,26,70,C
2023,1,27,50,C
2023,1,28,31,C
2023,1,29,41,C
2023,1,30,48,C
2023,1,31,65,C
2023,2,1,81,C
2023,2,2,81,C
2023,2,3,79,C
2023,2,4,83,C
2023,2,5,86,C
2023,2,6,88,C
2023,2,7,87,C
2023,2,8,88,C
2023,2,9,86,C
2023,2,10,88,C
2023,2,11,93,C
2023,2,12,94,C
2023,2,13,90,C
2023,2,14,67,C
2023,2,15,64,C
2023,2,16,64,C
2023,2,17,75,C
2023,2,18,72,C
2023,2,19,73,C
2023,2,20,67,C
2023,2,21,66,C
2023,2,22,64,C
2023,2,23,72,C
2023,2,24,71,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,73,C
2023,3,1,78,C
2023,3,2,73,C
2023,3,3,58,C
2023,3,4,68,C
2023,3,5,60,C
2023,3,6,53,C
2023,3,7,60,C
2023,3,8,82,C
2023,3,9,81,C
2023,3,10,72,C
2023,3,11,73,C
2023,3,12,75,C
2023,3,13,66,C
2023,3,14,76,C
2023,3,15,80,C
2023,3,16,74,C
2023,3,17,86,C
2023,3,18,82,C
2023,3,19,88,C
2023,3,20,88,C
2023,3,21,90,C
2023,3,22,92,C
2023,3,23,89,C
2023,3,24,88,C
2023,3,25,93,C
2023,3,26,93,C
2023,3,27,89,C
2023,3,28,86,C
2023,3,29,87,C
2023,3,30,90,C
2023,3,31,93,C
2023,4,1,90,C
2023,4,2,91,C
2023,4,3,92,C
2023,4,4,94,C
2023,4,5,95,C
2023,4,6,92,C
2023,4,7,75,C
2023,4,8,74,C
2023,4,9,71,C
2023,4,10,80,C
2023,4,11,84,C
2023,4,12,80,C
2023,4,13,82,C
2023,4,14,84,C
2023,4,15,78,C
2023,4,16,75,C
2023,4,17,84,C
2023,4,18,89,C
2023,4,19,92,C
2023,4,20,96,C
2023,4,21,92,C
2023,4,22,89,C
2023,4,23,91,C
2023,4,24,91,C
2023,4,25,92,C
