年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,69,C
2023,1,3,71,C
2023,1,4,77,C
2023,1,5,81,C
2023,1,6,66,C
2023,1,7,64,C
2023,1,8,68,C
2023,1,9,78,C
2023,1,10,96,C
2023,1,11,92,C
2023,1,12,94,C
2023,1,13,98,C
2023,1,14,92,C
2023,1,15,78,C
2023,1,16,62,C
2023,1,17,69,C
2023,1,18,57,C
2023,1,19,61,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,86,C
2023,1,23,89,C
2023,1,24,49,C
2023,1,25,46,#
2023,1,26,***,
2023,1,27,32,#
2023,1,28,29,C
2023,1,29,36,C
2023,1,30,49,C
2023,1,31,69,C
2023,2,1,79,C
2023,2,2,85,C
2023,2,3,77,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,91,C
2023,2,7,90,C
2023,2,8,86,C
2023,2,9,88,C
2023,2,10,91,C
2023,2,11,95,C
2023,2,12,97,C
2023,2,13,93,C
2023,2,14,63,C
2023,2,15,61,C
2023,2,16,62,C
2023,2,17,71,C
2023,2,18,77,C
2023,2,19,75,C
2023,2,20,66,C
2023,2,21,70,C
2023,2,22,65,C
2023,2,23,72,C
2023,2,24,67,C
2023,2,25,56,C
2023,2,26,60,C
2023,2,27,65,#
2023,2,28,74,C
2023,3,1,77,C
2023,3,2,74,C
2023,3,3,59,C
2023,3,4,68,C
2023,3,5,64,C
2023,3,6,52,C
2023,3,7,59,C
2023,3,8,82,C
2023,3,9,74,C
2023,3,10,71,C
2023,3,11,72,C
2023,3,12,72,C
2023,3,13,64,C
2023,3,14,78,C
2023,3,15,84,C
2023,3,16,77,C
2023,3,17,86,C
2023,3,18,81,C
2023,3,19,89,C
2023,3,20,91,C
2023,3,21,87,C
2023,3,22,83,C
2023,3,23,79,C
2023,3,24,85,C
2023,3,25,93,C
2023,3,26,96,C
2023,3,27,90,C
2023,3,28,90,C
2023,3,29,89,C
2023,3,30,93,C
2023,3,31,97,C
2023,4,1,93,C
2023,4,2,95,C
2023,4,3,93,C
2023,4,4,96,C
2023,4,5,95,C
2023,4,6,92,C
2023,4,7,73,C
2023,4,8,75,C
2023,4,9,77,C
2023,4,10,81,C
2023,4,11,86,C
2023,4,12,83,C
2023,4,13,80,C
2023,4,14,87,C
2023,4,15,72,C
2023,4,16,73,C
2023,4,17,86,C
2023,4,18,88,C
2023,4,19,86,C
2023,4,20,95,C
2023,4,21,93,C
2023,4,22,91,C
2023,4,23,94,C
2023,4,24,93,C
2023,4,25,94,C
2023,4,26,71,C
2023,4,27,82,C
2023,4,28,86,C
2023,4,29,90,C
2023,4,30,73,C
2023,5,1,81,C
2023,5,2,75,C
2023,5,3,87,C
2023,5,4,86,C
2023,5,5,82,C
2023,5,6,81,C
2023,5,7,91,C
2023,5,8,93,C
2023,5,9,83,C
2023,5,10,74,C
2023,5,11,82,C
2023,5,12,86,C
2023,5,13,93,C
2023,5,14,96,C
2023,5,15,86,C
2023,5,16,91,C
2023,5,17,91,C
2023,5,18,83,C
2023,5,19,85,C
2023,5,20,83,C
2023,5,21,78,C
2023,5,22,76,C
2023,5,23,92,C
2023,5,24,91,C
2023,5,25,92,C
2023,5,26,90,C
2023,5,27,84,C
2023,5,28,79,C
