年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,76,C
2023,1,2,86,C
2023,1,3,96,C
2023,1,4,97,C
2023,1,5,90,C
2023,1,6,71,C
2023,1,7,63,C
2023,1,8,67,C
2023,1,9,99,C
2023,1,10,100,C
2023,1,11,100,C
2023,1,12,100,C
2023,1,13,100,C
2023,1,14,93,C
2023,1,15,97,C
2023,1,16,100,C
2023,1,17,98,C
2023,1,18,73,C
2023,1,19,69,C
2023,1,20,74,C
2023,1,21,94,C
2023,1,22,87,C
2023,1,23,75,C
2023,1,24,69,C
2023,1,25,75,C
2023,1,26,86,C
2023,1,27,57,C
2023,1,28,51,C
2023,1,29,44,C
2023,1,30,53,C
2023,1,31,74,C
2023,2,1,96,C
2023,2,2,97,C
2023,2,3,89,C
2023,2,4,100,C
2023,2,5,100,C
2023,2,6,95,C
2023,2,7,98,C
2023,2,8,100,C
2023,2,9,98,C
2023,2,10,100,C
2023,2,11,98,C
2023,2,12,100,C
2023,2,13,96,C
2023,2,14,89,C
2023,2,15,80,C
2023,2,16,83,C
2023,2,17,73,C
2023,2,18,87,C
2023,2,19,88,C
2023,2,20,80,C
2023,2,21,91,C
2023,2,22,73,C
2023,2,23,72,C
2023,2,24,63,C
2023,2,25,79,C
2023,2,26,80,C
2023,2,27,73,C
2023,2,28,72,C
2023,3,1,59,C
2023,3,2,79,C
2023,3,3,61,C
2023,3,4,69,C
2023,3,5,63,C
2023,3,6,51,C
2023,3,7,53,C
2023,3,8,88,C
2023,3,9,80,C
2023,3,10,60,C
2023,3,11,92,C
2023,3,12,84,C
2023,3,13,81,C
2023,3,14,97,C
2023,3,15,90,C
2023,3,16,73,C
2023,3,17,88,C
2023,3,18,90,C
2023,3,19,100,C
2023,3,20,100,C
2023,3,21,100,C
2023,3,22,100,C
2023,3,23,100,C
2023,3,24,99,C
2023,3,25,99,C
2023,3,26,99,C
2023,3,27,100,C
2023,3,28,100,C
2023,3,29,99,C
2023,3,30,100,C
2023,3,31,100,C
2023,4,1,100,C
2023,4,2,100,C
2023,4,3,100,C
2023,4,4,100,C
2023,4,5,100,C
2023,4,6,100,C
2023,4,7,86,C
2023,4,8,97,C
2023,4,9,86,C
2023,4,10,100,C
2023,4,11,92,C
2023,4,12,88,C
2023,4,13,96,C
2023,4,14,97,#
2023,4,15,***,
2023,4,16,***,
2023,4,17,98,#
2023,4,18,100,C
2023,4,19,89,C
2023,4,20,100,C
2023,4,21,100,C
2023,4,22,100,C
2023,4,23,100,C
2023,4,24,98,C
2023,4,25,100,C
2023,4,26,91,C
2023,4,27,100,C
2023,4,28,97,C
2023,4,29,99,C
2023,4,30,93,C
2023,5,1,98,C
2023,5,2,98,C
2023,5,3,100,C
2023,5,4,95,C
2023,5,5,99,C
2023,5,6,100,C
2023,5,7,94,C
2023,5,8,100,C
2023,5,9,100,C
2023,5,10,88,C
2023,5,11,99,C
2023,5,12,98,C
2023,5,13,99,C
2023,5,14,98,C
2023,5,15,98,#
2023,5,16,98,C
2023,5,17,100,C
2023,5,18,91,C
2023,5,19,93,C
