年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,78,C
2023,1,2,77,C
2023,1,3,87,C
2023,1,4,93,C
2023,1,5,87,C
2023,1,6,66,C
2023,1,7,68,C
2023,1,8,64,C
2023,1,9,86,C
2023,1,10,100,C
2023,1,11,100,C
2023,1,12,100,C
2023,1,13,100,C
2023,1,14,97,C
2023,1,15,94,C
2023,1,16,86,C
2023,1,17,90,C
2023,1,18,69,C
2023,1,19,68,C
2023,1,20,73,C
2023,1,21,100,C
2023,1,22,95,C
2023,1,23,90,C
2023,1,24,62,C
2023,1,25,66,C
2023,1,26,78,C
2023,1,27,52,C
2023,1,28,26,C
2023,1,29,31,C
2023,1,30,40,C
2023,1,31,69,C
2023,2,1,96,C
2023,2,2,97,C
2023,2,3,92,C
2023,2,4,98,C
2023,2,5,100,C
2023,2,6,100,C
2023,2,7,95,C
2023,2,8,100,C
2023,2,9,99,#
2023,2,10,99,C
2023,2,11,100,C
2023,2,12,100,C
2023,2,13,98,C
2023,2,14,80,C
2023,2,15,74,C
2023,2,16,76,C
2023,2,17,75,C
2023,2,18,68,C
2023,2,19,77,C
2023,2,20,78,C
2023,2,21,80,C
2023,2,22,77,C
2023,2,23,84,C
2023,2,24,71,C
2023,2,25,67,C
2023,2,26,72,C
2023,2,27,73,C
2023,2,28,84,C
2023,3,1,65,C
2023,3,2,82,C
2023,3,3,66,C
2023,3,4,73,C
2023,3,5,63,C
2023,3,6,50,C
2023,3,7,47,C
2023,3,8,88,C
2023,3,9,72,C
2023,3,10,78,C
2023,3,11,77,C
2023,3,12,76,C
2023,3,13,78,C
2023,3,14,95,C
2023,3,15,93,C
2023,3,16,75,C
2023,3,17,93,C
2023,3,18,92,C
2023,3,19,100,C
2023,3,20,100,C
2023,3,21,100,C
2023,3,22,99,C
2023,3,23,97,C
2023,3,24,95,C
2023,3,25,100,C
2023,3,26,100,C
2023,3,27,100,C
2023,3,28,100,C
2023,3,29,100,C
2023,3,30,100,C
2023,3,31,100,C
2023,4,1,100,C
2023,4,2,100,C
2023,4,3,100,C
2023,4,4,100,C
2023,4,5,100,C
2023,4,6,100,C
2023,4,7,86,C
2023,4,8,92,C
2023,4,9,86,C
2023,4,10,97,C
2023,4,11,92,C
2023,4,12,81,C
2023,4,13,96,C
2023,4,14,95,C
2023,4,15,76,C
2023,4,16,70,C
2023,4,17,98,C
2023,4,18,98,C
2023,4,19,94,C
2023,4,20,99,C
2023,4,21,100,C
2023,4,22,100,C
2023,4,23,100,C
2023,4,24,100,C
2023,4,25,100,C
2023,4,26,88,C
2023,4,27,98,C
2023,4,28,98,C
2023,4,29,96,C
2023,4,30,88,C
2023,5,1,95,C
2023,5,2,89,C
2023,5,3,99,C
2023,5,4,98,C
2023,5,5,92,C
2023,5,6,97,C
2023,5,7,98,C
2023,5,8,100,C
2023,5,9,98,C
2023,5,10,85,C
2023,5,11,93,C
2023,5,12,93,C
2023,5,13,95,C
2023,5,14,97,C
2023,5,15,94,C
2023,5,16,94,C
2023,5,17,100,C
2023,5,18,96,C
2023,5,19,92,C
2023,5,20,92,C
2023,5,21,94,C
2023,5,22,90,C
2023,5,23,100,C
2023,5,24,100,C
2023,5,25,100,C
2023,5,26,100,C
2023,5,27,98,C
2023,5,28,84,C
2023,5,29,79,C
2023,5,30,73,C
2023,5,31,79,C
2023,6,1,85,C
2023,6,2,87,C
2023,6,3,91,C
2023,6,4,97,C
2023,6,5,99,C
2023,6,6,100,C
2023,6,7,99,C
2023,6,8,96,C
2023,6,9,96,C
2023,6,10,93,C
2023,6,11,97,C
2023,6,12,95,C
2023,6,13,95,C
2023,6,14,96,C
2023,6,15,100,C
2023,6,16,99,C
2023,6,17,98,C
2023,6,18,100,C
2023,6,19,98,C
2023,6,20,96,C
2023,6,21,93,C
2023,6,22,92,C
2023,6,23,97,C
2023,6,24,99,C
2023,6,25,95,C
2023,6,26,96,C
2023,6,27,95,C
2023,6,28,98,C
2023,6,29,97,C
2023,6,30,94,C
2023,7,1,95,C
2023,7,2,100,C
2023,7,3,97,C
2023,7,4,98,C
2023,7,5,93,C
2023,7,6,91,C
2023,7,7,91,C
2023,7,8,88,C
2023,7,9,90,C
2023,7,10,88,C
2023,7,11,88,C
2023,7,12,86,C
2023,7,13,85,C
2023,7,14,80,C
2023,7,15,76,C
2023,7,16,90,C
2023,7,17,100,C
2023,7,18,100,C
2023,7,19,100,C
2023,7,20,91,C
2023,7,21,85,C
2023,7,22,88,C
2023,7,23,92,C
2023,7,24,91,C
2023,7,25,81,C
2023,7,26,76,C
2023,7,27,72,C
2023,7,28,80,C
2023,7,29,98,C
2023,7,30,98,C
2023,7,31,99,C
2023,8,1,92,C
2023,8,2,77,C
2023,8,3,83,C
2023,8,4,90,C
2023,8,5,94,C
2023,8,6,92,C
2023,8,7,92,C
2023,8,8,88,C
2023,8,9,88,C
2023,8,10,94,C
2023,8,11,97,C
2023,8,12,93,C
2023,8,13,99,C
2023,8,14,97,C
2023,8,15,96,C
2023,8,16,92,C
2023,8,17,94,C
2023,8,18,98,C
2023,8,19,95,C
2023,8,20,94,C
2023,8,21,96,C
2023,8,22,93,C
2023,8,23,91,C
2023,8,24,97,C
2023,8,25,96,C
2023,8,26,96,C
2023,8,27,96,C
2023,8,28,94,C
2023,8,29,94,C
2023,8,30,86,C
2023,8,31,86,C
2023,9,1,97,C
2023,9,2,100,C
2023,9,3,88,C
2023,9,4,83,C
2023,9,5,86,C
2023,9,6,86,C
2023,9,7,99,C
2023,9,8,100,C
2023,9,9,100,C
2023,9,10,100,C
2023,9,11,100,C
2023,9,12,100,C
2023,9,13,100,C
2023,9,14,100,C
2023,9,15,100,C
2023,9,16,100,C
2023,9,17,99,C
2023,9,18,93,C
2023,9,19,93,C
2023,9,20,87,C
2023,9,21,87,C
2023,9,22,88,C
2023,9,23,92,C
2023,9,24,96,C
2023,9,25,95,C
2023,9,26,96,C
2023,9,27,92,C
2023,9,28,90,C
2023,9,29,94,C
2023,9,30,87,C
2023,10,1,94,C
2023,10,2,96,C
2023,10,3,93,C
2023,10,4,82,C
2023,10,5,71,C
2023,10,6,78,C
2023,10,7,94,C
2023,10,8,99,C
2023,10,9,100,C
2023,10,10,98,C
2023,10,11,90,C
2023,10,12,88,C
2023,10,13,79,C
2023,10,14,76,C
2023,10,15,87,C
2023,10,16,87,C
2023,10,17,73,C
2023,10,18,97,C
2023,10,19,100,#
2023,10,20,99,C
2023,10,21,96,C
2023,10,22,85,C
2023,10,23,92,C
2023,10,24,86,C
2023,10,25,96,C
2023,10,26,92,C
2023,10,27,96,C
2023,10,28,100,C
2023,10,29,96,C
2023,10,30,90,C
2023,10,31,86,C
2023,11,1,85,C
2023,11,2,91,C
2023,11,3,88,C
2023,11,4,90,C
2023,11,5,90,C
2023,11,6,71,C
2023,11,7,87,C
2023,11,8,98,C
2023,11,9,100,C
2023,11,10,99,C
2023,11,11,100,C
2023,11,12,93,C
2023,11,13,83,#
2023,11,14,83,#
2023,11,15,87,C
2023,11,16,81,C
2023,11,17,39,C
2023,11,18,42,C
2023,11,19,66,C
2023,11,20,74,C
2023,11,21,83,C
2023,11,22,85,C
2023,11,23,79,C
2023,11,24,81,C
2023,11,25,79,C
2023,11,26,73,C
2023,11,27,66,C
2023,11,28,73,C
2023,11,29,88,C
2023,11,30,85,C
2023,12,1,87,C
2023,12,2,86,C
