年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,68,C
2023,1,3,70,C
2023,1,4,77,C
2023,1,5,81,C
2023,1,6,67,C
2023,1,7,63,C
2023,1,8,65,C
2023,1,9,75,C
2023,1,10,96,C
2023,1,11,94,C
2023,1,12,96,C
2023,1,13,99,C
2023,1,14,94,C
2023,1,15,84,C
2023,1,16,70,C
2023,1,17,73,C
2023,1,18,67,C
2023,1,19,75,C
2023,1,20,68,C
2023,1,21,83,C
2023,1,22,87,C
2023,1,23,90,C
2023,1,24,53,C
2023,1,25,57,C
2023,1,26,73,C
2023,1,27,48,C
2023,1,28,31,C
2023,1,29,41,C
2023,1,30,57,C
2023,1,31,66,C
2023,2,1,81,C
2023,2,2,84,C
2023,2,3,80,C
2023,2,4,88,C
2023,2,5,89,C
2023,2,6,90,C
2023,2,7,89,C
2023,2,8,90,C
2023,2,9,90,C
2023,2,10,91,C
2023,2,11,99,C
2023,2,12,100,C
2023,2,13,96,C
2023,2,14,68,C
2023,2,15,66,C
2023,2,16,64,C
2023,2,17,76,C
2023,2,18,77,C
2023,2,19,74,C
2023,2,20,68,C
2023,2,21,64,C
2023,2,22,64,C
2023,2,23,75,C
2023,2,24,71,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,75,C
2023,3,1,77,C
2023,3,2,73,C
2023,3,3,59,C
2023,3,4,70,C
2023,3,5,63,C
2023,3,6,53,C
2023,3,7,62,C
2023,3,8,84,C
2023,3,9,78,C
2023,3,10,74,C
2023,3,11,73,C
2023,3,12,74,C
2023,3,13,74,C
2023,3,14,80,C
2023,3,15,86,C
2023,3,16,79,C
2023,3,17,88,C
2023,3,18,83,C
2023,3,19,91,C
2023,3,20,95,C
2023,3,21,93,C
2023,3,22,89,C
2023,3,23,86,C
2023,3,24,87,C
2023,3,25,94,C
2023,3,26,97,C
2023,3,27,91,C
2023,3,28,91,C
2023,3,29,93,C
2023,3,30,97,C
2023,3,31,99,C
2023,4,1,97,C
2023,4,2,97,C
2023,4,3,96,C
2023,4,4,97,C
2023,4,5,97,C
2023,4,6,92,C
2023,4,7,79,C
2023,4,8,78,C
2023,4,9,77,C
2023,4,10,84,C
2023,4,11,88,C
2023,4,12,83,C
2023,4,13,84,C
2023,4,14,87,C
2023,4,15,76,C
2023,4,16,77,C
2023,4,17,88,C
2023,4,18,89,C
2023,4,19,89,C
2023,4,20,98,C
2023,4,21,95,C
2023,4,22,92,C
2023,4,23,97,C
2023,4,24,95,C
2023,4,25,95,C
2023,4,26,75,C
2023,4,27,85,C
2023,4,28,89,C
2023,4,29,91,C
2023,4,30,80,C
2023,5,1,81,C
2023,5,2,77,C
2023,5,3,89,C
2023,5,4,87,C
2023,5,5,87,C
2023,5,6,88,C
2023,5,7,92,C
2023,5,8,94,C
2023,5,9,82,C
2023,5,10,74,C
2023,5,11,83,C
2023,5,12,85,C
2023,5,13,92,C
2023,5,14,97,C
2023,5,15,91,C
2023,5,16,94,C
2023,5,17,96,C
2023,5,18,84,C
2023,5,19,88,C
2023,5,20,88,C
2023,5,21,81,C
2023,5,22,76,C
2023,5,23,92,C
2023,5,24,94,C
2023,5,25,95,C
2023,5,26,93,C
2023,5,27,87,C
2023,5,28,83,C
2023,5,29,81,C
2023,5,30,80,C
2023,5,31,85,C
2023,6,1,87,C
2023,6,2,81,C
2023,6,3,81,C
2023,6,4,85,C
2023,6,5,83,C
2023,6,6,91,C
2023,6,7,95,C
2023,6,8,88,C
2023,6,9,90,C
2023,6,10,89,C
2023,6,11,89,C
2023,6,12,82,C
2023,6,13,90,C
2023,6,14,95,C
2023,6,15,97,C
2023,6,16,97,C
2023,6,17,100,C
2023,6,18,97,C
2023,6,19,89,C
2023,6,20,86,C
2023,6,21,83,C
2023,6,22,78,C
2023,6,23,88,C
2023,6,24,92,C
2023,6,25,89,C
2023,6,26,90,C
2023,6,27,83,C
2023,6,28,92,C
2023,6,29,87,C
2023,6,30,88,C
2023,7,1,87,C
2023,7,2,95,C
2023,7,3,89,C
2023,7,4,84,C
2023,7,5,81,C
2023,7,6,78,C
2023,7,7,78,C
2023,7,8,77,C
2023,7,9,75,C
2023,7,10,74,C
2023,7,11,76,C
2023,7,12,77,C
2023,7,13,78,C
2023,7,14,81,C
2023,7,15,79,C
2023,7,16,84,C
2023,7,17,88,C
2023,7,18,89,C
2023,7,19,88,C
2023,7,20,85,C
2023,7,21,84,C
2023,7,22,82,C
2023,7,23,81,C
2023,7,24,81,C
2023,7,25,75,C
2023,7,26,80,C
2023,7,27,72,C
2023,7,28,81,C
2023,7,29,91,C
2023,7,30,93,C
2023,7,31,90,C
2023,8,1,87,C
2023,8,2,79,C
2023,8,3,80,C
2023,8,4,80,C
2023,8,5,81,C
2023,8,6,82,C
2023,8,7,84,C
2023,8,8,81,C
2023,8,9,77,C
2023,8,10,90,C
2023,8,11,91,C
2023,8,12,85,C
2023,8,13,91,C
2023,8,14,90,C
2023,8,15,86,C
2023,8,16,78,C
2023,8,17,86,C
2023,8,18,92,C
2023,8,19,93,C
2023,8,20,90,C
2023,8,21,93,C
2023,8,22,87,C
2023,8,23,84,C
2023,8,24,93,C
2023,8,25,90,C
2023,8,26,90,C
2023,8,27,91,C
2023,8,28,90,C
2023,8,29,88,C
2023,8,30,77,C
2023,8,31,76,C
2023,9,1,87,C
2023,9,2,96,C
2023,9,3,84,C
2023,9,4,78,C
2023,9,5,82,C
2023,9,6,82,C
2023,9,7,94,C
2023,9,8,98,C
2023,9,9,95,C
2023,9,10,97,C
2023,9,11,98,C
2023,9,12,96,C
2023,9,13,94,C
2023,9,14,98,C
2023,9,15,96,C
2023,9,16,95,C
2023,9,17,91,C
2023,9,18,87,C
2023,9,19,86,C
2023,9,20,84,C
2023,9,21,83,C
2023,9,22,81,C
2023,9,23,80,C
2023,9,24,82,C
2023,9,25,80,C
2023,9,26,81,C
2023,9,27,78,C
2023,9,28,75,C
2023,9,29,82,C
2023,9,30,81,C
2023,10,1,82,C
2023,10,2,79,C
2023,10,3,86,C
2023,10,4,79,C
2023,10,5,66,C
2023,10,6,67,C
2023,10,7,76,C
2023,10,8,94,C
