年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,62,C
2023,1,2,61,C
2023,1,3,67,C
2023,1,4,69,C
2023,1,5,75,C
2023,1,6,59,C
2023,1,7,53,C
2023,1,8,56,C
2023,1,9,73,C
2023,1,10,96,C
2023,1,11,93,C
2023,1,12,89,C
2023,1,13,99,C
2023,1,14,92,C
2023,1,15,77,C
2023,1,16,60,C
2023,1,17,68,C
2023,1,18,53,C
2023,1,19,55,C
2023,1,20,58,C
2023,1,21,79,C
2023,1,22,77,C
2023,1,23,86,C
2023,1,24,47,C
2023,1,25,46,C
2023,1,26,63,C
2023,1,27,43,C
2023,1,28,23,C
2023,1,29,30,C
2023,1,30,39,C
2023,1,31,59,C
2023,2,1,73,C
2023,2,2,77,C
2023,2,3,71,C
2023,2,4,79,C
2023,2,5,84,C
2023,2,6,85,C
2023,2,7,84,C
2023,2,8,84,C
2023,2,9,82,C
2023,2,10,87,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,85,C
2023,2,14,66,C
2023,2,15,55,C
2023,2,16,56,C
2023,2,17,69,C
2023,2,18,70,C
2023,2,19,65,C
2023,2,20,59,C
2023,2,21,66,C
2023,2,22,63,C
2023,2,23,69,C
2023,2,24,63,C
2023,2,25,52,C
2023,2,26,55,C
2023,2,27,60,C
2023,2,28,68,C
2023,3,1,70,C
2023,3,2,65,C
2023,3,3,53,C
2023,3,4,65,C
2023,3,5,55,C
2023,3,6,44,C
2023,3,7,49,C
2023,3,8,71,C
2023,3,9,70,C
2023,3,10,60,C
2023,3,11,68,C
2023,3,12,67,C
2023,3,13,55,C
2023,3,14,69,C
2023,3,15,72,C
2023,3,16,66,C
2023,3,17,76,C
2023,3,18,78,C
2023,3,19,79,C
2023,3,20,84,C
2023,3,21,91,C
2023,3,22,90,C
2023,3,23,86,C
2023,3,24,85,C
2023,3,25,95,C
2023,3,26,97,C
2023,3,27,90,C
2023,3,28,91,C
2023,3,29,83,C
2023,3,30,90,C
2023,3,31,91,C
2023,4,1,88,C
2023,4,2,91,C
2023,4,3,88,C
2023,4,4,95,C
2023,4,5,98,C
2023,4,6,93,C
2023,4,7,72,C
2023,4,8,71,C
2023,4,9,76,C
2023,4,10,78,C
2023,4,11,80,C
2023,4,12,78,C
2023,4,13,78,C
2023,4,14,83,C
2023,4,15,75,C
2023,4,16,73,C
2023,4,17,81,C
2023,4,18,90,C
2023,4,19,88,C
2023,4,20,97,C
2023,4,21,93,C
2023,4,22,87,C
2023,4,23,89,C
2023,4,24,92,C
2023,4,25,93,C
2023,4,26,70,C
2023,4,27,74,C
2023,4,28,81,C
2023,4,29,80,C
2023,4,30,69,C
2023,5,1,76,C
2023,5,2,73,C
2023,5,3,83,C
2023,5,4,83,C
2023,5,5,86,C
2023,5,6,86,C
2023,5,7,95,C
2023,5,8,90,C
2023,5,9,83,C
2023,5,10,68,C
2023,5,11,79,C
2023,5,12,85,C
2023,5,13,96,C
2023,5,14,100,C
2023,5,15,88,C
2023,5,16,88,C
2023,5,17,94,C
2023,5,18,87,C
2023,5,19,87,C
2023,5,20,86,C
2023,5,21,82,C
2023,5,22,80,C
2023,5,23,88,C
2023,5,24,86,C
2023,5,25,88,C
2023,5,26,84,C
2023,5,27,80,C
2023,5,28,78,C
2023,5,29,74,C
2023,5,30,75,C
2023,5,31,76,C
2023,6,1,89,C
2023,6,2,77,C
2023,6,3,81,C
2023,6,4,78,C
2023,6,5,78,C
2023,6,6,92,C
2023,6,7,91,C
2023,6,8,92,C
2023,6,9,93,C
2023,6,10,87,C
2023,6,11,85,C
2023,6,12,79,C
2023,6,13,86,C
2023,6,14,92,C
2023,6,15,97,C
2023,6,16,98,C
2023,6,17,99,C
2023,6,18,91,C
2023,6,19,85,C
2023,6,20,83,C
2023,6,21,82,C
2023,6,22,78,C
2023,6,23,83,C
2023,6,24,94,C
2023,6,25,93,C
2023,6,26,82,C
2023,6,27,80,C
2023,6,28,85,C
2023,6,29,82,C
2023,6,30,86,C
2023,7,1,89,C
2023,7,2,95,C
2023,7,3,90,C
2023,7,4,93,C
2023,7,5,82,C
2023,7,6,80,C
2023,7,7,78,C
2023,7,8,79,C
2023,7,9,79,C
2023,7,10,79,C
2023,7,11,78,C
2023,7,12,77,C
2023,7,13,75,C
2023,7,14,76,C
2023,7,15,79,C
2023,7,16,86,C
2023,7,17,87,C
2023,7,18,90,C
2023,7,19,90,C
2023,7,20,82,C
2023,7,21,80,C
2023,7,22,79,C
2023,7,23,80,C
2023,7,24,75,C
2023,7,25,70,C
2023,7,26,65,C
2023,7,27,59,C
2023,7,28,66,C
2023,7,29,87,C
2023,7,30,94,C
2023,7,31,86,C
2023,8,1,87,C
2023,8,2,79,C
2023,8,3,79,C
2023,8,4,78,C
2023,8,5,77,C
2023,8,6,75,C
2023,8,7,76,C
2023,8,8,71,C
2023,8,9,71,C
2023,8,10,89,C
2023,8,11,89,C
2023,8,12,88,C
2023,8,13,89,C
2023,8,14,90,C
2023,8,15,88,C
2023,8,16,84,C
2023,8,17,87,C
