年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,75,C
2023,1,2,68,C
2023,1,3,70,C
2023,1,4,74,C
2023,1,5,77,C
2023,1,6,65,C
2023,1,7,65,C
2023,1,8,66,C
2023,1,9,79,C
2023,1,10,94,C
2023,1,11,92,C
2023,1,12,91,C
2023,1,13,96,C
2023,1,14,89,C
2023,1,15,78,C
2023,1,16,64,C
2023,1,17,70,C
2023,1,18,60,C
2023,1,19,72,C
2023,1,20,69,C
2023,1,21,82,C
2023,1,22,84,C
2023,1,23,87,C
2023,1,24,48,C
2023,1,25,49,C
2023,1,26,72,C
2023,1,27,44,C
2023,1,28,32,C
2023,1,29,40,C
2023,1,30,60,C
2023,1,31,64,C
2023,2,1,75,C
2023,2,2,79,C
2023,2,3,74,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,87,C
2023,2,7,84,C
2023,2,8,86,C
2023,2,9,84,C
2023,2,10,88,C
2023,2,11,91,C
2023,2,12,92,C
2023,2,13,87,C
2023,2,14,61,C
2023,2,15,59,C
2023,2,16,58,C
2023,2,17,68,C
2023,2,18,75,C
2023,2,19,67,C
2023,2,20,62,C
2023,2,21,68,C
2023,2,22,64,C
2023,2,23,69,C
2023,2,24,63,C
2023,2,25,54,C
2023,2,26,57,C
2023,2,27,63,C
2023,2,28,72,C
2023,3,1,72,C
2023,3,2,71,C
2023,3,3,57,C
2023,3,4,64,C
2023,3,5,61,C
2023,3,6,43,C
2023,3,7,56,C
2023,3,8,81,C
2023,3,9,75,C
2023,3,10,64,C
2023,3,11,69,C
2023,3,12,71,C
2023,3,13,57,C
2023,3,14,74,C
2023,3,15,79,C
2023,3,16,72,C
2023,3,17,81,C
2023,3,18,81,C
2023,3,19,83,C
2023,3,20,86,C
2023,3,21,85,C
2023,3,22,81,C
2023,3,23,80,C
2023,3,24,79,C
2023,3,25,91,C
2023,3,26,95,C
2023,3,27,90,C
2023,3,28,90,C
2023,3,29,84,C
2023,3,30,88,C
2023,3,31,92,C
2023,4,1,88,C
2023,4,2,90,C
2023,4,3,88,C
2023,4,4,90,C
2023,4,5,95,C
2023,4,6,88,C
2023,4,7,69,C
2023,4,8,71,C
2023,4,9,76,C
2023,4,10,76,C
2023,4,11,81,C
2023,4,12,78,C
2023,4,13,76,C
2023,4,14,83,C
2023,4,15,73,C
2023,4,16,74,C
2023,4,17,82,C
2023,4,18,85,C
2023,4,19,89,C
2023,4,20,91,C
2023,4,21,91,C
2023,4,22,87,C
2023,4,23,87,C
2023,4,24,90,C
2023,4,25,92,C
2023,4,26,69,C
2023,4,27,77,C
2023,4,28,82,C
2023,4,29,81,C
2023,4,30,68,C
2023,5,1,77,C
2023,5,2,71,C
2023,5,3,81,C
2023,5,4,81,C
2023,5,5,78,C
2023,5,6,81,C
2023,5,7,92,C
2023,5,8,89,C
2023,5,9,82,C
2023,5,10,71,C
2023,5,11,72,C
2023,5,12,84,C
2023,5,13,90,C
2023,5,14,95,C
2023,5,15,84,C
2023,5,16,87,C
2023,5,17,87,C
2023,5,18,82,C
2023,5,19,82,C
2023,5,20,81,C
2023,5,21,79,C
2023,5,22,77,C
2023,5,23,91,C
2023,5,24,87,C
2023,5,25,87,C
2023,5,26,84,C
2023,5,27,80,C
2023,5,28,76,C
2023,5,29,74,C
2023,5,30,77,C
2023,5,31,85,C
2023,6,1,87,C
2023,6,2,78,C
2023,6,3,78,C
2023,6,4,79,C
2023,6,5,80,C
2023,6,6,90,C
2023,6,7,92,C
2023,6,8,87,C
2023,6,9,86,C
2023,6,10,88,C
2023,6,11,83,C
2023,6,12,77,C
2023,6,13,86,C
2023,6,14,92,C
2023,6,15,94,C
2023,6,16,94,C
2023,6,17,95,C
2023,6,18,91,C
2023,6,19,85,C
