年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,63,C
2023,1,2,64,C
2023,1,3,70,C
2023,1,4,74,C
2023,1,5,79,C
2023,1,6,65,C
2023,1,7,56,C
2023,1,8,50,C
2023,1,9,71,C
2023,1,10,91,C
2023,1,11,86,C
2023,1,12,87,C
2023,1,13,97,C
2023,1,14,95,C
2023,1,15,78,C
2023,1,16,65,C
2023,1,17,72,C
2023,1,18,58,C
2023,1,19,64,C
2023,1,20,62,C
2023,1,21,77,C
2023,1,22,82,C
2023,1,23,89,C
2023,1,24,49,C
2023,1,25,52,C
2023,1,26,65,C
2023,1,27,45,C
2023,1,28,26,C
2023,1,29,35,C
2023,1,30,46,C
2023,1,31,61,C
2023,2,1,79,C
2023,2,2,79,C
2023,2,3,72,C
2023,2,4,78,C
2023,2,5,80,C
2023,2,6,84,C
2023,2,7,83,C
2023,2,8,83,C
2023,2,9,80,C
2023,2,10,84,C
2023,2,11,87,C
2023,2,12,87,C
2023,2,13,85,C
2023,2,14,62,C
2023,2,15,59,C
2023,2,16,61,C
2023,2,17,72,C
2023,2,18,66,C
2023,2,19,70,C
2023,2,20,63,C
2023,2,21,63,C
2023,2,22,61,C
2023,2,23,71,C
2023,2,24,68,C
2023,2,25,54,C
2023,2,26,57,C
2023,2,27,58,C
2023,2,28,68,C
2023,3,1,77,C
2023,3,2,68,C
2023,3,3,52,C
2023,3,4,63,C
2023,3,5,51,C
2023,3,6,42,C
2023,3,7,46,C
2023,3,8,80,C
2023,3,9,78,C
2023,3,10,61,C
2023,3,11,66,C
2023,3,12,71,C
2023,3,13,61,C
2023,3,14,71,C
2023,3,15,78,C
2023,3,16,67,C
2023,3,17,80,C
2023,3,18,79,C
2023,3,19,83,C
2023,3,20,82,C
2023,3,21,84,C
2023,3,22,88,C
2023,3,23,84,C
2023,3,24,76,C
2023,3,25,87,C
2023,3,26,90,C
2023,3,27,85,C
2023,3,28,84,C
2023,3,29,81,C
2023,3,30,85,C
2023,3,31,86,C
2023,4,1,84,C
2023,4,2,88,C
2023,4,3,87,C
2023,4,4,90,C
2023,4,5,91,C
2023,4,6,92,C
2023,4,7,71,C
2023,4,8,70,C
2023,4,9,71,C
2023,4,10,75,C
2023,4,11,77,C
2023,4,12,77,C
2023,4,13,73,C
2023,4,14,80,C
2023,4,15,70,C
2023,4,16,69,C
2023,4,17,75,C
2023,4,18,82,C
2023,4,19,86,C
2023,4,20,92,C
2023,4,21,87,C
2023,4,22,85,C
2023,4,23,86,C
2023,4,24,88,C
2023,4,25,90,C
2023,4,26,68,C
2023,4,27,76,C
2023,4,28,77,C
2023,4,29,80,C
2023,4,30,68,C
2023,5,1,72,C
2023,5,2,70,C
2023,5,3,79,C
2023,5,4,78,C
2023,5,5,79,C
2023,5,6,81,#
2023,5,7,94,#
2023,5,8,87,#
2023,5,9,77,C
2023,5,10,65,C
2023,5,11,74,C
2023,5,12,76,C
2023,5,13,91,C
2023,5,14,96,C
2023,5,15,86,C
2023,5,16,85,C
2023,5,17,94,C
2023,5,18,92,C
2023,5,19,86,C
2023,5,20,84,C
2023,5,21,86,C
2023,5,22,85,C
2023,5,23,86,C
2023,5,24,83,C
2023,5,25,84,C
2023,5,26,80,C
2023,5,27,74,C
2023,5,28,71,C
2023,5,29,77,C
2023,5,30,81,C
2023,5,31,81,C
2023,6,1,83,C
2023,6,2,81,C
2023,6,3,77,C
2023,6,4,73,C
2023,6,5,76,C
2023,6,6,86,C
2023,6,7,86,C
2023,6,8,82,C
2023,6,9,88,C
2023,6,10,85,C
2023,6,11,82,C
2023,6,12,74,C
2023,6,13,82,C
2023,6,14,91,C
2023,6,15,95,C
2023,6,16,95,C
2023,6,17,98,C
2023,6,18,93,C
2023,6,19,87,C
2023,6,20,86,C
2023,6,21,83,C
2023,6,22,82,C
2023,6,23,88,C
2023,6,24,92,C
2023,6,25,83,C
2023,6,26,84,C
2023,6,27,77,C
2023,6,28,86,C
2023,6,29,84,C
2023,6,30,85,C
2023,7,1,87,C
2023,7,2,95,C
2023,7,3,89,C
2023,7,4,89,C
2023,7,5,84,C
2023,7,6,81,C
2023,7,7,82,C
2023,7,8,83,C
2023,7,9,82,C
2023,7,10,81,C
2023,7,11,80,C
2023,7,12,78,C
2023,7,13,75,C
2023,7,14,76,C
2023,7,15,79,C
2023,7,16,78,C
2023,7,17,82,C
2023,7,18,81,C
2023,7,19,84,C
2023,7,20,82,C
2023,7,21,80,C
2023,7,22,78,C
2023,7,23,76,C
2023,7,24,78,C
2023,7,25,77,C
2023,7,26,72,C
2023,7,27,66,C
2023,7,28,77,C
2023,7,29,87,C
2023,7,30,87,C
2023,7,31,80,C
2023,8,1,84,C
2023,8,2,73,C
2023,8,3,78,C
2023,8,4,83,C
2023,8,5,80,C
2023,8,6,80,C
2023,8,7,82,C
2023,8,8,81,C
2023,8,9,80,C
2023,8,10,85,C
2023,8,11,89,C
2023,8,12,87,C
2023,8,13,90,C
2023,8,14,89,C
2023,8,15,87,C
2023,8,16,84,C
2023,8,17,85,C
2023,8,18,91,C
2023,8,19,90,C
2023,8,20,86,C
2023,8,21,84,C
2023,8,22,84,C
2023,8,23,82,C
2023,8,24,83,C
2023,8,25,83,C
2023,8,26,82,C
2023,8,27,83,C
2023,8,28,82,C
2023,8,29,88,C
2023,8,30,72,C
2023,8,31,70,C
2023,9,1,81,C
2023,9,2,90,C
2023,9,3,74,C
2023,9,4,73,C
2023,9,5,71,C
2023,9,6,73,C
2023,9,7,90,C
2023,9,8,94,C
2023,9,9,89,C
2023,9,10,91,C
2023,9,11,87,C
2023,9,12,84,C
2023,9,13,82,C
2023,9,14,90,C
2023,9,15,88,C
2023,9,16,88,C
2023,9,17,79,C
2023,9,18,82,C
2023,9,19,80,C
2023,9,20,81,C
2023,9,21,81,C
2023,9,22,77,C
2023,9,23,70,C
2023,9,24,71,C
2023,9,25,70,C
2023,9,26,70,C
2023,9,27,68,C
2023,9,28,65,C
2023,9,29,73,C
2023,9,30,78,C
2023,10,1,77,C
2023,10,2,72,C
2023,10,3,81,C
2023,10,4,74,C
2023,10,5,58,C
2023,10,6,61,C
2023,10,7,73,C
2023,10,8,87,C
2023,10,9,95,C
2023,10,10,79,C
2023,10,11,72,C
2023,10,12,69,C
2023,10,13,64,C
2023,10,14,69,C
2023,10,15,69,C
2023,10,16,67,C
2023,10,17,56,C
2023,10,18,82,C
2023,10,19,89,C
2023,10,20,79,C
2023,10,21,75,C
2023,10,22,70,C
2023,10,23,72,C
2023,10,24,74,C
2023,10,25,77,C
2023,10,26,72,C
2023,10,27,78,C
2023,10,28,78,C
2023,10,29,74,C
2023,10,30,76,C
2023,10,31,68,C
2023,11,1,67,C
2023,11,2,71,C
2023,11,3,76,C
2023,11,4,71,C
2023,11,5,77,C
2023,11,6,67,C
2023,11,7,66,C
2023,11,8,74,C
2023,11,9,77,C
2023,11,10,78,C
2023,11,11,83,C
2023,11,12,75,C
2023,11,13,66,C
2023,11,14,67,C
2023,11,15,68,C
2023,11,16,65,C
2023,11,17,33,C
2023,11,18,38,C
2023,11,19,61,C
2023,11,20,64,C
2023,11,21,69,C
2023,11,22,76,C
2023,11,23,81,C
2023,11,24,68,C
2023,11,25,62,C
2023,11,26,70,C
2023,11,27,75,C
2023,11,28,57,C
2023,11,29,68,C
2023,11,30,71,C
2023,12,1,68,C
2023,12,2,68,C
2023,12,3,70,C
2023,12,4,73,C
2023,12,5,75,C
2023,12,6,66,C
2023,12,7,47,C
2023,12,8,64,C
2023,12,9,78,C
2023,12,10,77,C
2023,12,11,84,C
2023,12,12,83,C
2023,12,13,81,C
2023,12,14,75,C
2023,12,15,75,C
2023,12,16,68,C
2023,12,17,67,C
2023,12,18,77,C
2023,12,19,73,C
2023,12,20,62,C
2023,12,21,63,C
2023,12,22,45,C
2023,12,23,54,C
2023,12,24,51,C
2023,12,25,48,C
2023,12,26,60,C
2023,12,27,60,C
2023,12,28,71,C
2023,12,29,77,C
2023,12,30,75,C
2023,12,31,76,C
