年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,72,C
2023,1,2,73,C
2023,1,3,75,C
2023,1,4,81,C
2023,1,5,83,C
2023,1,6,80,C
2023,1,7,72,C
2023,1,8,73,C
2023,1,9,81,C
2023,1,10,98,C
2023,1,11,93,C
2023,1,12,94,C
2023,1,13,100,C
2023,1,14,97,C
2023,1,15,88,C
2023,1,16,76,C
2023,1,17,78,C
2023,1,18,68,C
2023,1,19,70,C
2023,1,20,71,C
2023,1,21,85,C
2023,1,22,90,C
2023,1,23,93,C
2023,1,24,61,C
2023,1,25,63,C
2023,1,26,74,C
2023,1,27,55,C
2023,1,28,39,C
2023,1,29,43,C
2023,1,30,57,C
2023,1,31,71,C
2023,2,1,82,C
2023,2,2,84,C
2023,2,3,85,C
2023,2,4,89,C
2023,2,5,90,C
2023,2,6,92,C
2023,2,7,92,C
2023,2,8,93,C
2023,2,9,92,C
2023,2,10,95,C
2023,2,11,100,C
2023,2,12,100,C
2023,2,13,99,C
2023,2,14,74,C
2023,2,15,68,C
2023,2,16,69,C
2023,2,17,77,C
2023,2,18,82,C
2023,2,19,77,C
2023,2,20,73,C
2023,2,21,67,C
2023,2,22,69,C
2023,2,23,77,C
2023,2,24,74,C
2023,2,25,63,C
2023,2,26,67,C
2023,2,27,65,C
2023,2,28,77,C
2023,3,1,74,C
2023,3,2,75,C
2023,3,3,62,C
2023,3,4,70,C
2023,3,5,63,C
2023,3,6,58,C
2023,3,7,68,C
2023,3,8,84,C
2023,3,9,82,C
2023,3,10,80,C
2023,3,11,78,C
2023,3,12,79,C
2023,3,13,73,C
2023,3,14,78,C
2023,3,15,85,C
2023,3,16,84,C
2023,3,17,90,C
2023,3,18,85,C
2023,3,19,92,C
2023,3,20,94,C
2023,3,21,94,C
2023,3,22,92,C
2023,3,23,90,C
2023,3,24,95,C
2023,3,25,97,C
2023,3,26,96,C
2023,3,27,88,C
2023,3,28,87,C
2023,3,29,89,C
2023,3,30,93,C
2023,3,31,94,C
2023,4,1,93,C
2023,4,2,95,C
2023,4,3,95,C
2023,4,4,97,C
2023,4,5,98,C
2023,4,6,94,C
2023,4,7,79,C
2023,4,8,78,C
2023,4,9,71,C
2023,4,10,85,C
2023,4,11,95,C
2023,4,12,90,C
2023,4,13,90,C
2023,4,14,90,C
2023,4,15,78,C
2023,4,16,82,C
2023,4,17,94,C
2023,4,18,93,C
2023,4,19,95,C
2023,4,20,100,C
2023,4,21,97,C
2023,4,22,94,C
2023,4,23,97,C
2023,4,24,96,C
2023,4,25,98,C
2023,4,26,78,C
2023,4,27,86,C
2023,4,28,90,C
2023,4,29,90,C
2023,4,30,80,C
2023,5,1,83,C
2023,5,2,83,C
2023,5,3,93,C
2023,5,4,97,C
2023,5,5,91,C
2023,5,6,93,C
2023,5,7,95,C
2023,5,8,95,C
2023,5,9,83,C
2023,5,10,77,C
2023,5,11,84,C
2023,5,12,85,C
2023,5,13,92,C
2023,5,14,98,C
2023,5,15,92,C
2023,5,16,97,C
2023,5,17,97,C
2023,5,18,94,C
2023,5,19,94,C
2023,5,20,93,C
2023,5,21,89,C
2023,5,22,86,C
2023,5,23,95,C
2023,5,24,93,C
2023,5,25,97,C
2023,5,26,97,C
2023,5,27,94,C
2023,5,28,89,C
2023,5,29,85,C
2023,5,30,86,C
2023,5,31,93,C
2023,6,1,89,C
2023,6,2,87,C
2023,6,3,88,C
2023,6,4,88,C
2023,6,5,89,C
2023,6,6,94,C
2023,6,7,97,C
2023,6,8,90,C
2023,6,9,92,C
2023,6,10,92,C
2023,6,11,94,C
2023,6,12,90,C
2023,6,13,91,C
2023,6,14,95,C
2023,6,15,99,C
2023,6,16,99,C
2023,6,17,100,C
2023,6,18,99,C
2023,6,19,91,C
2023,6,20,91,C
2023,6,21,88,C
2023,6,22,86,C
2023,6,23,91,C
2023,6,24,94,C
2023,6,25,95,C
2023,6,26,93,C
2023,6,27,91,C
2023,6,28,97,C
2023,6,29,94,C
2023,6,30,94,C
2023,7,1,92,C
2023,7,2,97,C
2023,7,3,95,C
2023,7,4,87,C
2023,7,5,86,C
2023,7,6,86,C
2023,7,7,86,#
2023,7,8,85,C
2023,7,9,85,C
2023,7,10,85,C
2023,7,11,84,C
2023,7,12,80,C
2023,7,13,84,C
2023,7,14,84,C
2023,7,15,87,C
2023,7,16,88,C
2023,7,17,92,C
2023,7,18,96,C
2023,7,19,95,C
2023,7,20,89,C
2023,7,21,89,C
2023,7,22,87,C
2023,7,23,87,C
2023,7,24,85,C
2023,7,25,82,C
2023,7,26,85,C
2023,7,27,76,C
2023,7,28,81,C
2023,7,29,93,C
2023,7,30,89,C
2023,7,31,88,C
2023,8,1,88,C
2023,8,2,83,C
2023,8,3,83,C
2023,8,4,84,C
2023,8,5,87,C
2023,8,6,84,C
2023,8,7,84,C
2023,8,8,81,C
2023,8,9,83,C
2023,8,10,86,#
2023,8,11,***,
2023,8,12,***,
2023,8,13,***,
2023,8,14,***,
2023,8,15,***,
2023,8,16,87,#
2023,8,17,89,C
2023,8,18,93,#
2023,8,19,91,C
2023,8,20,90,C
2023,8,21,94,C
2023,8,22,89,C
2023,8,23,86,C
2023,8,24,94,C
2023,8,25,90,C
2023,8,26,91,C
2023,8,27,93,C
2023,8,28,92,C
2023,8,29,88,C
2023,8,30,79,C
2023,8,31,79,C
2023,9,1,90,C
2023,9,2,96,C
2023,9,3,85,C
2023,9,4,75,C
2023,9,5,73,C
2023,9,6,79,C
2023,9,7,94,C
2023,9,8,96,C
2023,9,9,94,C
2023,9,10,97,C
2023,9,11,95,C
2023,9,12,93,C
2023,9,13,93,C
2023,9,14,94,C
2023,9,15,93,C
2023,9,16,92,C
2023,9,17,91,C
2023,9,18,91,C
2023,9,19,90,C
2023,9,20,85,C
2023,9,21,83,C
2023,9,22,83,C
2023,9,23,82,C
2023,9,24,87,C
2023,9,25,86,C
2023,9,26,86,C
2023,9,27,82,C
2023,9,28,81,C
2023,9,29,84,C
2023,9,30,80,C
2023,10,1,82,C
2023,10,2,80,C
2023,10,3,78,C
2023,10,4,79,C
2023,10,5,66,C
2023,10,6,69,C
2023,10,7,79,C
2023,10,8,94,C
2023,10,9,95,C
2023,10,10,85,C
2023,10,11,80,C
2023,10,12,79,C
2023,10,13,73,C
2023,10,14,71,C
2023,10,15,77,C
2023,10,16,73,C
2023,10,17,69,C
2023,10,18,89,C
2023,10,19,94,C
2023,10,20,86,C
2023,10,21,83,C
2023,10,22,76,C
2023,10,23,81,C
2023,10,24,85,C
2023,10,25,86,C
2023,10,26,84,C
2023,10,27,86,C
2023,10,28,86,C
2023,10,29,79,C
2023,10,30,80,C
2023,10,31,72,C
2023,11,1,73,C
2023,11,2,80,C
2023,11,3,83,C
2023,11,4,83,C
2023,11,5,82,C
2023,11,6,73,C
2023,11,7,77,C
2023,11,8,81,C
2023,11,9,87,C
2023,11,10,88,C
2023,11,11,86,C
2023,11,12,78,C
2023,11,13,72,#
2023,11,14,74,#
2023,11,15,76,C
2023,11,16,68,C
2023,11,17,45,C
2023,11,18,46,C
2023,11,19,59,C
2023,11,20,64,C
2023,11,21,70,C
2023,11,22,74,C
2023,11,23,77,C
2023,11,24,71,C
2023,11,25,70,C
2023,11,26,69,C
2023,11,27,74,C
2023,11,28,71,C
2023,11,29,77,C
2023,11,30,82,C
2023,12,1,74,C
2023,12,2,74,C
2023,12,3,76,C
2023,12,4,80,C
2023,12,5,76,C
2023,12,6,74,C
2023,12,7,50,C
2023,12,8,74,C
2023,12,9,83,C
2023,12,10,84,C
2023,12,11,91,C
2023,12,12,88,C
2023,12,13,86,C
2023,12,14,87,C
2023,12,15,89,C
2023,12,16,78,C
2023,12,17,77,C
2023,12,18,84,C
2023,12,19,78,C
2023,12,20,71,C
2023,12,21,73,C
2023,12,22,58,C
2023,12,23,61,C
2023,12,24,56,C
2023,12,25,52,C
2023,12,26,62,C
2023,12,27,66,C
2023,12,28,82,C
2023,12,29,84,C
2023,12,30,77,C
2023,12,31,75,C
