年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,67,C
2023,1,3,72,C
2023,1,4,75,C
2023,1,5,77,C
2023,1,6,65,C
2023,1,7,59,C
2023,1,8,61,C
2023,1,9,78,C
2023,1,10,93,C
2023,1,11,89,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,91,C
2023,1,15,80,C
2023,1,16,66,C
2023,1,17,73,C
2023,1,18,61,C
2023,1,19,68,C
2023,1,20,62,C
2023,1,21,81,C
2023,1,22,84,C
2023,1,23,89,C
2023,1,24,51,C
2023,1,25,54,C
2023,1,26,67,C
2023,1,27,47,C
2023,1,28,31,C
2023,1,29,39,C
2023,1,30,55,C
2023,1,31,67,C
2023,2,1,76,C
2023,2,2,82,C
2023,2,3,75,C
2023,2,4,82,C
2023,2,5,85,C
2023,2,6,89,C
2023,2,7,86,C
2023,2,8,86,C
2023,2,9,86,C
2023,2,10,89,C
2023,2,11,93,C
2023,2,12,94,C
2023,2,13,90,C
2023,2,14,65,C
2023,2,15,60,C
2023,2,16,61,C
2023,2,17,69,C
2023,2,18,74,C
2023,2,19,74,C
2023,2,20,65,C
2023,2,21,67,C
2023,2,22,64,C
2023,2,23,71,C
2023,2,24,65,C
2023,2,25,57,C
2023,2,26,59,C
2023,2,27,62,C
2023,2,28,73,C
2023,3,1,76,C
2023,3,2,73,C
2023,3,3,57,C
2023,3,4,65,C
2023,3,5,61,C
2023,3,6,52,C
2023,3,7,57,C
2023,3,8,79,C
2023,3,9,74,C
2023,3,10,67,C
2023,3,11,70,C
2023,3,12,72,C
2023,3,13,62,C
2023,3,14,77,C
2023,3,15,83,C
2023,3,16,75,C
2023,3,17,85,C
2023,3,18,81,C
2023,3,19,88,C
2023,3,20,89,C
2023,3,21,85,C
2023,3,22,82,C
2023,3,23,79,C
2023,3,24,79,C
2023,3,25,90,C
2023,3,26,94,C
2023,3,27,88,C
2023,3,28,88,C
2023,3,29,88,C
2023,3,30,89,C
2023,3,31,94,C
2023,4,1,91,C
2023,4,2,91,C
2023,4,3,91,C
2023,4,4,91,C
2023,4,5,88,C
2023,4,6,88,C
2023,4,7,72,C
2023,4,8,73,C
2023,4,9,72,C
2023,4,10,80,C
2023,4,11,82,C
2023,4,12,79,C
2023,4,13,80,C
2023,4,14,84,#
2023,4,15,72,C
2023,4,16,73,C
2023,4,17,84,C
2023,4,18,83,C
2023,4,19,84,C
2023,4,20,93,C
2023,4,21,89,C
2023,4,22,89,C
2023,4,23,91,C
2023,4,24,90,C
2023,4,25,94,C
2023,4,26,71,C
2023,4,27,81,#
2023,4,28,84,C
2023,4,29,84,C
2023,4,30,70,C
2023,5,1,79,C
2023,5,2,72,C
2023,5,3,86,C
2023,5,4,81,C
2023,5,5,79,C
2023,5,6,80,C
2023,5,7,88,C
2023,5,8,86,C
2023,5,9,79,C
2023,5,10,70,C
2023,5,11,78,C
2023,5,12,80,C
2023,5,13,90,C
2023,5,14,94,C
2023,5,15,85,C
2023,5,16,88,C
2023,5,17,89,C
2023,5,18,86,C
2023,5,19,83,C
2023,5,20,80,C
2023,5,21,79,C
2023,5,22,79,C
2023,5,23,90,C
2023,5,24,88,C
2023,5,25,90,C
2023,5,26,87,C
2023,5,27,82,C
2023,5,28,77,C
2023,5,29,76,C
2023,5,30,75,C
2023,5,31,81,C
2023,6,1,83,C
