年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,68,C
2023,1,3,71,C
2023,1,4,74,C
2023,1,5,78,C
2023,1,6,68,C
2023,1,7,58,C
2023,1,8,64,C
2023,1,9,81,C
2023,1,10,96,C
2023,1,11,94,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,94,C
2023,1,15,82,C
2023,1,16,66,C
2023,1,17,74,C
2023,1,18,57,C
2023,1,19,63,C
2023,1,20,63,C
2023,1,21,81,C
2023,1,22,87,C
2023,1,23,90,C
2023,1,24,53,C
2023,1,25,50,C
2023,1,26,68,C
2023,1,27,50,C
2023,1,28,28,C
2023,1,29,36,C
2023,1,30,47,C
2023,1,31,71,C
2023,2,1,78,C
2023,2,2,77,C
2023,2,3,77,C
2023,2,4,81,C
2023,2,5,86,C
2023,2,6,88,C
2023,2,7,87,C
2023,2,8,83,C
2023,2,9,82,C
2023,2,10,89,C
2023,2,11,84,C
2023,2,12,82,C
2023,2,13,85,C
2023,2,14,67,C
2023,2,15,56,C
2023,2,16,58,C
2023,2,17,73,C
2023,2,18,75,C
2023,2,19,70,C
2023,2,20,62,C
2023,2,21,67,C
2023,2,22,66,C
2023,2,23,73,C
2023,2,24,69,C
2023,2,25,56,C
2023,2,26,57,C
2023,2,27,63,C
2023,2,28,75,C
2023,3,1,74,C
2023,3,2,68,C
2023,3,3,56,C
2023,3,4,67,C
2023,3,5,58,C
2023,3,6,45,C
2023,3,7,51,C
2023,3,8,77,C
2023,3,9,74,C
2023,3,10,60,C
2023,3,11,70,C
2023,3,12,75,C
2023,3,13,58,C
2023,3,14,74,C
2023,3,15,79,C
2023,3,16,65,C
2023,3,17,81,C
2023,3,18,82,C
2023,3,19,81,C
2023,3,20,80,C
2023,3,21,84,C
2023,3,22,84,C
2023,3,23,80,C
2023,3,24,78,C
2023,3,25,91,C
2023,3,26,98,C
2023,3,27,95,C
2023,3,28,93,C
2023,3,29,85,C
2023,3,30,91,C
2023,3,31,92,C
2023,4,1,88,C
2023,4,2,92,C
2023,4,3,87,C
2023,4,4,91,C
2023,4,5,90,C
2023,4,6,88,C
2023,4,7,72,C
2023,4,8,71,C
2023,4,9,80,C
2023,4,10,79,C
2023,4,11,77,C
2023,4,12,81,C
2023,4,13,75,C
2023,4,14,87,C
2023,4,15,76,C
2023,4,16,72,C
2023,4,17,79,C
