年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,71,C
2023,1,2,69,C
2023,1,3,75,C
2023,1,4,78,C
2023,1,5,83,C
2023,1,6,69,C
2023,1,7,64,C
2023,1,8,68,C
2023,1,9,79,C
2023,1,10,96,C
2023,1,11,93,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,91,C
2023,1,15,83,C
2023,1,16,71,C
2023,1,17,73,C
2023,1,18,61,C
2023,1,19,70,C
2023,1,20,65,C
2023,1,21,83,C
2023,1,22,89,C
2023,1,23,92,C
2023,1,24,53,C
2023,1,25,58,C
2023,1,26,73,C
2023,1,27,47,C
2023,1,28,31,C
2023,1,29,39,C
2023,1,30,55,C
2023,1,31,67,C
2023,2,1,79,C
2023,2,2,86,C
2023,2,3,81,C
2023,2,4,88,C
2023,2,5,90,C
2023,2,6,92,C
2023,2,7,91,C
2023,2,8,89,C
2023,2,9,89,C
2023,2,10,92,C
2023,2,11,98,C
2023,2,12,99,C
2023,2,13,95,C
2023,2,14,66,C
2023,2,15,65,C
2023,2,16,66,C
2023,2,17,76,C
2023,2,18,76,C
2023,2,19,73,C
2023,2,20,70,C
2023,2,21,67,C
2023,2,22,66,C
2023,2,23,77,C
2023,2,24,72,C
2023,2,25,61,#
2023,2,26,62,C
2023,2,27,63,C
2023,2,28,76,C
2023,3,1,81,C
2023,3,2,73,C
2023,3,3,61,C
2023,3,4,72,C
2023,3,5,65,C
2023,3,6,50,C
2023,3,7,63,C
2023,3,8,87,C
2023,3,9,80,C
2023,3,10,73,C
2023,3,11,73,C
2023,3,12,75,C
2023,3,13,72,C
2023,3,14,79,C
2023,3,15,87,C
2023,3,16,78,C
2023,3,17,88,C
2023,3,18,85,C
2023,3,19,90,C
2023,3,20,92,C
2023,3,21,93,C
2023,3,22,88,C
2023,3,23,86,C
2023,3,24,91,C
2023,3,25,96,C
2023,3,26,97,#
2023,3,27,92,C
2023,3,28,89,C
2023,3,29,88,#
2023,3,30,91,#
2023,3,31,96,C
2023,4,1,92,C
2023,4,2,94,C
2023,4,3,92,C
2023,4,4,97,C
2023,4,5,97,C
2023,4,6,91,C
2023,4,7,74,C
2023,4,8,77,C
2023,4,9,76,C
2023,4,10,82,C
2023,4,11,89,C
2023,4,12,86,C
2023,4,13,83,C
2023,4,14,88,C
2023,4,15,76,#
2023,4,16,***,
2023,4,17,***,
2023,4,18,91,#
2023,4,19,90,C
2023,4,20,98,C
2023,4,21,94,C
2023,4,22,91,C
2023,4,23,93,C
2023,4,24,92,C
2023,4,25,95,C
2023,4,26,72,C
2023,4,27,82,C
2023,4,28,86,C
2023,4,29,89,C
2023,4,30,75,C
2023,5,1,79,C
2023,5,2,75,C
2023,5,3,87,C
2023,5,4,90,C
2023,5,5,90,C
2023,5,6,92,C
2023,5,7,94,C
2023,5,8,92,C
2023,5,9,82,C
2023,5,10,73,C
2023,5,11,78,C
2023,5,12,83,C
2023,5,13,89,C
2023,5,14,96,C
2023,5,15,89,C
2023,5,16,95,C
2023,5,17,95,C
2023,5,18,87,C
2023,5,19,91,C
2023,5,20,92,C
2023,5,21,84,C
2023,5,22,79,C
2023,5,23,92,C
2023,5,24,90,C
2023,5,25,93,C
2023,5,26,92,C
2023,5,27,88,C
2023,5,28,84,C
2023,5,29,81,C
2023,5,30,81,C
2023,5,31,83,C
2023,6,1,85,C
2023,6,2,83,C
2023,6,3,85,C
2023,6,4,84,C
2023,6,5,83,C
2023,6,6,92,C
2023,6,7,92,C
2023,6,8,89,C
2023,6,9,88,C
2023,6,10,90,C
2023,6,11,91,C
2023,6,12,84,C
2023,6,13,89,C
2023,6,14,94,#
2023,6,15,95,#
2023,6,16,96,C
2023,6,17,98,C
2023,6,18,93,C
2023,6,19,87,C
2023,6,20,84,C
