年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,73,C
2023,1,2,70,C
2023,1,3,72,C
2023,1,4,76,C
2023,1,5,80,C
2023,1,6,71,C
2023,1,7,62,C
2023,1,8,65,C
2023,1,9,80,C
2023,1,10,98,C
2023,1,11,94,C
2023,1,12,90,C
2023,1,13,98,C
2023,1,14,93,C
2023,1,15,82,C
2023,1,16,66,C
2023,1,17,75,C
2023,1,18,63,C
2023,1,19,75,C
2023,1,20,69,C
2023,1,21,86,C
2023,1,22,86,C
2023,1,23,89,C
2023,1,24,52,C
2023,1,25,51,C
2023,1,26,70,C
2023,1,27,50,C
2023,1,28,33,C
2023,1,29,43,C
2023,1,30,64,C
2023,1,31,74,C
2023,2,1,84,C
2023,2,2,83,C
2023,2,3,77,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,89,C
2023,2,7,87,C
2023,2,8,85,C
2023,2,9,85,C
2023,2,10,90,C
2023,2,11,87,C
2023,2,12,85,C
2023,2,13,85,C
2023,2,14,67,C
2023,2,15,58,C
2023,2,16,59,C
2023,2,17,73,C
2023,2,18,78,C
2023,2,19,72,C
2023,2,20,63,C
2023,2,21,72,C
2023,2,22,68,C
2023,2,23,77,C
2023,2,24,71,C
2023,2,25,56,C
2023,2,26,60,C
2023,2,27,67,C
2023,2,28,77,C
2023,3,1,78,C
2023,3,2,74,#
2023,3,3,59,C
2023,3,4,70,C
2023,3,5,65,C
2023,3,6,52,C
2023,3,7,59,C
2023,3,8,81,C
2023,3,9,80,C
2023,3,10,67,C
2023,3,11,75,C
2023,3,12,77,C
2023,3,13,60,C
2023,3,14,79,C
2023,3,15,83,C
2023,3,16,73,C
2023,3,17,83,C
2023,3,18,84,C
2023,3,19,86,C
2023,3,20,83,C
2023,3,21,92,#
2023,3,22,89,#
2023,3,23,83,#
2023,3,24,75,#
2023,3,25,90,C
2023,3,26,96,C
2023,3,27,91,C
2023,3,28,91,C
2023,3,29,84,C
2023,3,30,91,C
2023,3,31,91,C
2023,4,1,87,C
2023,4,2,91,C
2023,4,3,86,C
2023,4,4,91,C
2023,4,5,92,C
2023,4,6,89,C
2023,4,7,71,C
2023,4,8,71,C
2023,4,9,78,C
2023,4,10,79,C
2023,4,11,78,C
2023,4,12,80,C
2023,4,13,76,C
2023,4,14,85,C
2023,4,15,79,C
2023,4,16,77,C
2023,4,17,82,C
2023,4,18,87,C
2023,4,19,90,C
2023,4,20,90,C
2023,4,21,91,C
2023,4,22,86,C
2023,4,23,87,C
2023,4,24,91,C
2023,4,25,94,C
2023,4,26,73,C
2023,4,27,79,C
2023,4,28,82,C
2023,4,29,88,C
2023,4,30,72,C
2023,5,1,77,C
2023,5,2,74,C
2023,5,3,82,C
2023,5,4,80,C
2023,5,5,82,C
2023,5,6,84,C
2023,5,7,93,C
2023,5,8,90,C
2023,5,9,84,C
2023,5,10,74,C
2023,5,11,79,C
2023,5,12,86,C
2023,5,13,93,C
2023,5,14,98,C
2023,5,15,86,C
2023,5,16,87,C
2023,5,17,89,C
2023,5,18,86,C
2023,5,19,86,C
2023,5,20,86,C
2023,5,21,84,C
2023,5,22,81,C
2023,5,23,93,#
2023,5,24,87,#
2023,5,25,83,#
2023,5,26,83,C
2023,5,27,81,C
2023,5,28,79,C
2023,5,29,77,C
2023,5,30,79,C
2023,5,31,77,C
2023,6,1,86,C
