年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,80,C
2023,1,2,79,C
2023,1,3,81,C
2023,1,4,82,C
2023,1,5,86,C
2023,1,6,73,C
2023,1,7,69,C
2023,1,8,64,C
2023,1,9,84,C
2023,1,10,99,C
2023,1,11,95,C
2023,1,12,93,C
2023,1,13,100,C
2023,1,14,93,C
2023,1,15,83,C
2023,1,16,70,C
2023,1,17,79,C
2023,1,18,66,C
2023,1,19,77,C
2023,1,20,71,C
2023,1,21,86,C
2023,1,22,87,C
2023,1,23,91,C
2023,1,24,56,C
2023,1,25,55,C
2023,1,26,77,C
2023,1,27,51,C
2023,1,28,37,C
2023,1,29,48,C
2023,1,30,60,C
2023,1,31,73,C
2023,2,1,87,C
2023,2,2,84,C
2023,2,3,76,C
2023,2,4,83,C
2023,2,5,87,C
2023,2,6,91,C
2023,2,7,88,C
2023,2,8,88,C
2023,2,9,85,C
2023,2,10,91,C
2023,2,11,89,C
2023,2,12,88,C
2023,2,13,86,C
2023,2,14,67,C
2023,2,15,61,C
2023,2,16,60,C
2023,2,17,71,C
2023,2,18,76,C
2023,2,19,74,C
2023,2,20,65,C
2023,2,21,69,C
2023,2,22,65,C
2023,2,23,71,C
2023,2,24,68,C
2023,2,25,57,C
2023,2,26,59,C
2023,2,27,62,C
2023,2,28,70,C
2023,3,1,76,C
2023,3,2,71,C
2023,3,3,56,C
2023,3,4,68,C
2023,3,5,60,C
2023,3,6,47,C
2023,3,7,51,C
2023,3,8,78,C
2023,3,9,78,C
2023,3,10,65,C
2023,3,11,75,C
2023,3,12,75,C
2023,3,13,61,C
2023,3,14,77,C
2023,3,15,84,C
2023,3,16,73,C
2023,3,17,82,C
2023,3,18,83,C
2023,3,19,86,C
2023,3,20,85,C
2023,3,21,93,C
2023,3,22,91,C
2023,3,23,85,C
2023,3,24,79,C
2023,3,25,89,C
2023,3,26,96,C
2023,3,27,91,C
2023,3,28,92,C
2023,3,29,84,C
2023,3,30,90,C
2023,3,31,89,C
2023,4,1,87,C
2023,4,2,91,C
2023,4,3,89,C
2023,4,4,87,C
2023,4,5,95,C
2023,4,6,92,C
2023,4,7,71,C
2023,4,8,74,C
2023,4,9,77,C
2023,4,10,78,C
2023,4,11,79,C
2023,4,12,79,C
2023,4,13,77,C
2023,4,14,84,C
2023,4,15,76,C
2023,4,16,74,C
2023,4,17,83,C
2023,4,18,86,C
2023,4,19,90,C
2023,4,20,94,C
2023,4,21,90,C
2023,4,22,89,C
2023,4,23,87,C
2023,4,24,89,C
2023,4,25,98,C
2023,4,26,72,C
2023,4,27,79,C
2023,4,28,81,C
2023,4,29,87,C
2023,4,30,70,C
2023,5,1,77,C
2023,5,2,73,C
2023,5,3,82,C
2023,5,4,76,C
2023,5,5,80,C
2023,5,6,84,C
2023,5,7,92,C
2023,5,8,92,C
2023,5,9,81,C
2023,5,10,71,C
2023,5,11,78,C
2023,5,12,85,C
2023,5,13,96,C
2023,5,14,99,C
2023,5,15,89,C
2023,5,16,86,C
2023,5,17,89,C
2023,5,18,84,C
2023,5,19,82,C
2023,5,20,81,C
2023,5,21,84,C
2023,5,22,81,C
2023,5,23,91,C
2023,5,24,87,C
2023,5,25,92,#
2023,5,26,76,#
2023,5,27,79,#
2023,5,28,77,C
2023,5,29,74,#
2023,5,30,***,
2023,5,31,***,
2023,6,1,***,
2023,6,2,***,
2023,6,3,***,
2023,6,4,***,
2023,6,5,***,
2023,6,6,***,
2023,6,7,***,
2023,6,8,***,
2023,6,9,***,
2023,6,10,***,
2023,6,11,***,
2023,6,12,***,
2023,6,13,***,
2023,6,14,***,
2023,6,15,***,
2023,6,16,***,
2023,6,17,***,
2023,6,18,***,
2023,6,19,***,
2023,6,20,***,
2023,6,21,***,
2023,6,22,***,
2023,6,23,***,
2023,6,24,***,
2023,6,25,***,
2023,6,26,***,
2023,6,27,***,
2023,6,28,***,
2023,6,29,***,
2023,6,30,***,
2023,7,1,***,
2023,7,2,***,
2023,7,3,***,
2023,7,4,***,
2023,7,5,***,
2023,7,6,***,
2023,7,7,***,
2023,7,8,***,
2023,7,9,***,
2023,7,10,***,
2023,7,11,***,
2023,7,12,***,
2023,7,13,***,
2023,7,14,***,
2023,7,15,***,
2023,7,16,***,
2023,7,17,***,
2023,7,18,***,
2023,7,19,***,
2023,7,20,***,
2023,7,21,***,
2023,7,22,***,
2023,7,23,***,
2023,7,24,***,
2023,7,25,66,#
2023,7,26,72,C
