年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,68,C
2023,1,3,76,C
2023,1,4,79,C
2023,1,5,81,C
2023,1,6,67,C
2023,1,7,57,C
2023,1,8,53,C
2023,1,9,76,C
2023,1,10,95,C
2023,1,11,92,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,96,C
2023,1,15,80,C
2023,1,16,69,C
2023,1,17,77,C
2023,1,18,61,C
2023,1,19,68,C
2023,1,20,68,C
2023,1,21,81,C
2023,1,22,85,C
2023,1,23,88,C
2023,1,24,54,C
2023,1,25,56,C
2023,1,26,73,C
2023,1,27,47,C
2023,1,28,27,C
2023,1,29,36,C
2023,1,30,46,C
2023,1,31,63,C
2023,2,1,82,C
2023,2,2,81,C
2023,2,3,75,C
2023,2,4,81,C
2023,2,5,84,C
2023,2,6,86,C
2023,2,7,86,C
2023,2,8,88,C
2023,2,9,83,C
2023,2,10,88,C
2023,2,11,88,C
2023,2,12,88,C
2023,2,13,86,C
2023,2,14,65,C
2023,2,15,63,C
2023,2,16,64,C
2023,2,17,74,C
2023,2,18,72,C
2023,2,19,76,C
2023,2,20,68,C
2023,2,21,68,C
2023,2,22,67,C
2023,2,23,74,C
2023,2,24,68,C
2023,2,25,57,C
2023,2,26,61,C
2023,2,27,62,C
2023,2,28,70,C
2023,3,1,72,C
2023,3,2,68,C
2023,3,3,56,C
2023,3,4,69,C
2023,3,5,57,C
2023,3,6,46,C
2023,3,7,52,C
2023,3,8,77,C
2023,3,9,75,C
2023,3,10,63,C
2023,3,11,74,C
2023,3,12,72,C
2023,3,13,66,C
2023,3,14,79,C
2023,3,15,82,C
2023,3,16,69,C
2023,3,17,83,C
2023,3,18,83,C
2023,3,19,87,C
2023,3,20,86,C
2023,3,21,89,C
2023,3,22,93,C
2023,3,23,89,C
2023,3,24,81,C
2023,3,25,92,C
2023,3,26,98,C
2023,3,27,93,C
2023,3,28,91,C
2023,3,29,86,C
2023,3,30,91,C
2023,3,31,91,C
2023,4,1,89,C
2023,4,2,94,C
2023,4,3,92,C
2023,4,4,95,C
2023,4,5,97,C
2023,4,6,97,C
2023,4,7,77,C
2023,4,8,79,C
2023,4,9,83,C
2023,4,10,82,C
2023,4,11,83,C
2023,4,12,81,C
2023,4,13,79,C
2023,4,14,85,C
2023,4,15,73,C
2023,4,16,74,C
2023,4,17,83,C
