年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,67,C
2023,1,2,69,C
2023,1,3,73,C
2023,1,4,77,C
2023,1,5,77,C
2023,1,6,67,C
2023,1,7,61,C
2023,1,8,51,C
2023,1,9,74,C
2023,1,10,92,C
2023,1,11,87,C
2023,1,12,87,C
2023,1,13,97,C
2023,1,14,93,C
2023,1,15,80,C
2023,1,16,68,C
2023,1,17,73,C
2023,1,18,65,C
2023,1,19,69,C
2023,1,20,64,C
2023,1,21,78,C
2023,1,22,81,C
2023,1,23,86,C
2023,1,24,51,C
2023,1,25,52,C
2023,1,26,67,C
2023,1,27,47,C
2023,1,28,30,C
2023,1,29,39,C
2023,1,30,50,C
2023,1,31,63,C
2023,2,1,78,C
2023,2,2,80,C
2023,2,3,73,C
2023,2,4,78,C
2023,2,5,81,C
2023,2,6,84,C
2023,2,7,83,C
2023,2,8,85,C
2023,2,9,81,C
2023,2,10,85,C
2023,2,11,87,C
2023,2,12,87,C
2023,2,13,83,C
2023,2,14,63,C
2023,2,15,59,C
2023,2,16,61,C
2023,2,17,69,C
2023,2,18,69,C
2023,2,19,71,C
2023,2,20,63,C
2023,2,21,66,C
2023,2,22,62,C
2023,2,23,70,C
2023,2,24,66,C
2023,2,25,55,C
2023,2,26,58,C
2023,2,27,60,C
2023,2,28,67,C
2023,3,1,75,C
2023,3,2,67,C
2023,3,3,54,C
2023,3,4,66,C
2023,3,5,57,C
2023,3,6,46,C
2023,3,7,47,C
2023,3,8,76,C
2023,3,9,75,C
2023,3,10,62,C
2023,3,11,70,C
2023,3,12,71,C
2023,3,13,62,C
2023,3,14,77,C
2023,3,15,82,C
2023,3,16,70,C
2023,3,17,80,C
2023,3,18,81,C
2023,3,19,85,C
2023,3,20,84,C
2023,3,21,87,C
2023,3,22,88,C
2023,3,23,84,C
2023,3,24,79,C
2023,3,25,89,C
2023,3,26,95,C
2023,3,27,88,C
2023,3,28,85,C
2023,3,29,83,C
2023,3,30,87,C
2023,3,31,88,C
2023,4,1,85,C
2023,4,2,90,C
2023,4,3,88,C
2023,4,4,90,C
2023,4,5,94,C
2023,4,6,94,C
2023,4,7,75,C
2023,4,8,74,C
2023,4,9,75,C
2023,4,10,77,C
2023,4,11,78,C
2023,4,12,78,C
2023,4,13,76,C
2023,4,14,81,C
2023,4,15,74,C
2023,4,16,72,C
2023,4,17,81,C
2023,4,18,83,C
2023,4,19,90,C
2023,4,20,93,C
2023,4,21,91,C
2023,4,22,***,
2023,4,23,89,#
2023,4,24,90,C
2023,4,25,93,C
2023,4,26,73,C
2023,4,27,79,C
2023,4,28,80,C
2023,4,29,84,C
2023,4,30,74,C
2023,5,1,76,C
2023,5,2,74,C
2023,5,3,82,C
2023,5,4,78,C
2023,5,5,80,C
2023,5,6,83,C
2023,5,7,94,C
2023,5,8,93,C
2023,5,9,79,C
2023,5,10,69,C
2023,5,11,78,C
2023,5,12,79,C
2023,5,13,94,C
2023,5,14,97,C
2023,5,15,89,C
2023,5,16,88,C
2023,5,17,97,C
2023,5,18,92,C
2023,5,19,84,C
2023,5,20,83,C
2023,5,21,85,C
2023,5,22,84,C
2023,5,23,90,C
2023,5,24,86,C
2023,5,25,88,C
2023,5,26,84,C
2023,5,27,79,C
2023,5,28,78,C
