年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,66,C
2023,1,2,66,C
2023,1,3,71,C
2023,1,4,76,C
2023,1,5,82,C
2023,1,6,63,C
2023,1,7,62,C
2023,1,8,64,C
2023,1,9,76,C
2023,1,10,91,C
2023,1,11,89,C
2023,1,12,90,C
2023,1,13,97,C
2023,1,14,93,C
2023,1,15,79,C
2023,1,16,68,C
2023,1,17,72,C
2023,1,18,59,C
2023,1,19,70,C
2023,1,20,63,C
2023,1,21,81,C
2023,1,22,87,C
2023,1,23,90,C
2023,1,24,52,C
2023,1,25,54,C
2023,1,26,70,C
2023,1,27,45,C
2023,1,28,29,C
2023,1,29,36,C
2023,1,30,48,C
2023,1,31,63,C
2023,2,1,80,C
2023,2,2,83,C
2023,2,3,78,C
2023,2,4,84,C
2023,2,5,87,C
2023,2,6,89,C
2023,2,7,90,C
2023,2,8,86,C
2023,2,9,87,C
2023,2,10,91,C
2023,2,11,95,C
2023,2,12,97,C
2023,2,13,95,C
2023,2,14,64,C
2023,2,15,63,C
2023,2,16,64,C
2023,2,17,76,C
2023,2,18,76,C
2023,2,19,73,C
2023,2,20,69,C
2023,2,21,67,C
2023,2,22,65,C
2023,2,23,74,C
2023,2,24,69,C
2023,2,25,57,C
2023,2,26,62,C
2023,2,27,62,C
2023,2,28,74,C
2023,3,1,80,C
2023,3,2,72,C
2023,3,3,61,C
2023,3,4,70,C
2023,3,5,63,C
2023,3,6,50,C
2023,3,7,60,C
2023,3,8,85,C
2023,3,9,81,C
2023,3,10,71,C
2023,3,11,72,C
2023,3,12,73,C
2023,3,13,67,C
2023,3,14,77,C
2023,3,15,84,C
2023,3,16,75,C
2023,3,17,86,C
2023,3,18,83,C
2023,3,19,89,C
2023,3,20,90,C
2023,3,21,92,C
2023,3,22,88,C
2023,3,23,86,C
2023,3,24,89,C
2023,3,25,92,C
2023,3,26,91,C
2023,3,27,86,C
2023,3,28,85,C
2023,3,29,87,C
2023,3,30,91,C
2023,3,31,94,C
2023,4,1,91,C
2023,4,2,91,C
2023,4,3,90,C
2023,4,4,95,C
2023,4,5,95,C
2023,4,6,89,C
2023,4,7,71,C
2023,4,8,73,C
2023,4,9,71,C
2023,4,10,79,C
2023,4,11,87,C
2023,4,12,85,C
2023,4,13,81,C
2023,4,14,86,C
2023,4,15,71,C
2023,4,16,76,C
2023,4,17,86,C
2023,4,18,91,C
2023,4,19,85,C
2023,4,20,94,C
2023,4,21,90,C
2023,4,22,89,C
2023,4,23,91,C
2023,4,24,89,C
2023,4,25,92,C
2023,4,26,70,C
2023,4,27,81,C
2023,4,28,84,C
2023,4,29,87,C
2023,4,30,72,C
2023,5,1,78,C
2023,5,2,72,C
2023,5,3,85,C
2023,5,4,88,C
2023,5,5,89,C
2023,5,6,88,C
2023,5,7,91,C
2023,5,8,85,C
2023,5,9,79,C
2023,5,10,70,C
2023,5,11,75,C
2023,5,12,79,C
2023,5,13,85,C
2023,5,14,92,C
2023,5,15,85,C
2023,5,16,90,C
2023,5,17,91,C
2023,5,18,82,C
2023,5,19,89,C
2023,5,20,88,C
2023,5,21,78,C
2023,5,22,72,C
2023,5,23,87,C
2023,5,24,86,C
2023,5,25,90,C
2023,5,26,89,C
2023,5,27,85,C
2023,5,28,80,C
2023,5,29,77,C
2023,5,30,80,C
2023,5,31,79,C
2023,6,1,79,C
2023,6,2,78,C
2023,6,3,81,C
2023,6,4,81,C
2023,6,5,81,C
2023,6,6,88,C
2023,6,7,89,C
2023,6,8,85,C
2023,6,9,83,C
2023,6,10,86,C
2023,6,11,88,C
2023,6,12,79,C
2023,6,13,83,C
2023,6,14,88,C
2023,6,15,92,C
2023,6,16,93,C
2023,6,17,95,C
2023,6,18,92,C
2023,6,19,83,C
2023,6,20,79,C
2023,6,21,76,C
2023,6,22,73,C
2023,6,23,82,C
2023,6,24,87,C
2023,6,25,85,C
2023,6,26,83,C
2023,6,27,82,C
2023,6,28,87,C
2023,6,29,84,C
2023,6,30,82,C
2023,7,1,84,C
2023,7,2,90,C
2023,7,3,86,C
2023,7,4,85,C
2023,7,5,75,C
2023,7,6,72,C
2023,7,7,73,C
2023,7,8,72,C
2023,7,9,72,C
2023,7,10,70,C
2023,7,11,75,C
2023,7,12,78,C
2023,7,13,77,C
2023,7,14,76,C
2023,7,15,78,C
2023,7,16,78,C
2023,7,17,83,C
2023,7,18,87,C
2023,7,19,87,C
2023,7,20,83,C
2023,7,21,83,C
2023,7,22,80,C
2023,7,23,80,C
2023,7,24,79,C
2023,7,25,71,C
2023,7,26,78,C
2023,7,27,66,C
2023,7,28,70,C
2023,7,29,86,C
2023,7,30,86,C
2023,7,31,84,C
2023,8,1,80,C
2023,8,2,73,C
2023,8,3,76,C
2023,8,4,73,C
2023,8,5,73,C
2023,8,6,73,C
2023,8,7,79,C
2023,8,8,77,C
2023,8,9,73,C
2023,8,10,85,C
2023,8,11,82,C
2023,8,12,80,C
2023,8,13,88,C
2023,8,14,84,C
2023,8,15,82,C
2023,8,16,73,C
2023,8,17,80,C
2023,8,18,87,C
2023,8,19,87,C
2023,8,20,88,C
2023,8,21,88,C
2023,8,22,86,C
2023,8,23,85,C
2023,8,24,86,C
2023,8,25,87,C
2023,8,26,85,C
2023,8,27,87,C
2023,8,28,87,C
2023,8,29,82,C
2023,8,30,70,C
2023,8,31,70,C
2023,9,1,79,C
2023,9,2,91,C
2023,9,3,80,C
2023,9,4,72,C
2023,9,5,73,C
2023,9,6,82,C
2023,9,7,92,C
2023,9,8,93,C
2023,9,9,91,C
2023,9,10,92,C
2023,9,11,93,C
2023,9,12,90,C
2023,9,13,89,C
2023,9,14,91,C
2023,9,15,91,C
2023,9,16,89,C
2023,9,17,86,C
2023,9,18,86,C
2023,9,19,84,C
2023,9,20,81,C
2023,9,21,81,C
2023,9,22,80,C
2023,9,23,76,C
2023,9,24,78,C
2023,9,25,79,C
2023,9,26,79,C
2023,9,27,76,C
2023,9,28,74,C
2023,9,29,78,C
2023,9,30,79,C
2023,10,1,80,C
2023,10,2,78,C
2023,10,3,80,C
2023,10,4,69,C
2023,10,5,60,C
2023,10,6,64,C
2023,10,7,75,C
2023,10,8,88,C
2023,10,9,91,C
2023,10,10,82,C
2023,10,11,75,C
2023,10,12,73,C
2023,10,13,67,C
2023,10,14,66,C
2023,10,15,73,C
2023,10,16,71,C
2023,10,17,62,C
2023,10,18,83,C
2023,10,19,88,C
2023,10,20,81,C
2023,10,21,77,C
2023,10,22,73,C
2023,10,23,78,C
2023,10,24,81,C
2023,10,25,84,C
2023,10,26,83,C
2023,10,27,84,C
2023,10,28,85,C
2023,10,29,78,C
2023,10,30,79,C
2023,10,31,72,C
2023,11,1,71,C
2023,11,2,77,C
2023,11,3,81,C
2023,11,4,81,C
2023,11,5,80,C
2023,11,6,65,C
2023,11,7,70,C
2023,11,8,78,C
2023,11,9,83,C
2023,11,10,84,C
2023,11,11,85,C
2023,11,12,78,C
2023,11,13,70,C
2023,11,14,71,C
2023,11,15,72,C
2023,11,16,65,C
2023,11,17,37,C
2023,11,18,44,C
2023,11,19,62,C
2023,11,20,69,C
2023,11,21,73,C
2023,11,22,78,C
