年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,69,C
2023,1,2,70,C
2023,1,3,74,C
2023,1,4,79,C
2023,1,5,81,C
2023,1,6,73,C
2023,1,7,63,C
2023,1,8,56,C
2023,1,9,77,C
2023,1,10,99,C
2023,1,11,93,C
2023,1,12,92,C
2023,1,13,99,C
2023,1,14,97,C
2023,1,15,86,C
2023,1,16,71,C
2023,1,17,78,C
2023,1,18,62,C
2023,1,19,70,C
2023,1,20,66,C
2023,1,21,82,C
2023,1,22,88,C
2023,1,23,92,C
2023,1,24,56,C
2023,1,25,59,C
2023,1,26,73,C
2023,1,27,52,C
2023,1,28,36,C
2023,1,29,37,C
2023,1,30,53,C
2023,1,31,65,C
2023,2,1,82,C
2023,2,2,83,C
2023,2,3,81,C
2023,2,4,86,C
2023,2,5,87,C
2023,2,6,88,C
2023,2,7,90,C
2023,2,8,89,C
2023,2,9,88,C
2023,2,10,92,C
2023,2,11,95,C
2023,2,12,94,C
2023,2,13,91,C
2023,2,14,71,C
2023,2,15,64,C
2023,2,16,66,C
2023,2,17,75,C
2023,2,18,74,C
2023,2,19,72,C
2023,2,20,71,C
2023,2,21,67,C
2023,2,22,66,C
2023,2,23,74,C
2023,2,24,73,C
2023,2,25,57,C
2023,2,26,62,C
2023,2,27,64,C
2023,2,28,74,C
2023,3,1,79,C
2023,3,2,73,C
2023,3,3,61,C
2023,3,4,71,C
2023,3,5,62,C
2023,3,6,56,C
2023,3,7,66,C
2023,3,8,85,C
2023,3,9,86,C
2023,3,10,74,C
2023,3,11,77,C
2023,3,12,78,C
2023,3,13,71,C
2023,3,14,79,C
2023,3,15,83,C
2023,3,16,77,C
2023,3,17,86,C
2023,3,18,86,C
2023,3,19,89,C
2023,3,20,90,C
2023,3,21,94,C
2023,3,22,94,C
2023,3,23,92,C
2023,3,24,91,C
2023,3,25,96,C
2023,3,26,99,C
2023,3,27,93,C
2023,3,28,89,C
2023,3,29,87,C
2023,3,30,93,C
2023,3,31,96,C
2023,4,1,92,C
2023,4,2,94,C
2023,4,3,94,C
2023,4,4,96,C
2023,4,5,97,C
2023,4,6,94,C
2023,4,7,79,C
2023,4,8,78,C
2023,4,9,73,C
2023,4,10,82,C
2023,4,11,86,C
2023,4,12,85,C
2023,4,13,85,C
2023,4,14,86,C
2023,4,15,80,C
2023,4,16,79,C
2023,4,17,87,C
2023,4,18,93,C
2023,4,19,95,C
2023,4,20,100,C
2023,4,21,98,C
2023,4,22,93,C
2023,4,23,94,C
2023,4,24,95,C
2023,4,25,93,C
2023,4,26,78,C
2023,4,27,84,C
2023,4,28,87,C
2023,4,29,86,C
2023,4,30,77,C
2023,5,1,82,C
2023,5,2,80,C
2023,5,3,87,C
2023,5,4,91,C
2023,5,5,92,C
2023,5,6,93,C
2023,5,7,97,C
2023,5,8,97,C
2023,5,9,84,C
2023,5,10,76,C
2023,5,11,80,C
2023,5,12,84,C
2023,5,13,92,C
2023,5,14,100,C
2023,5,15,93,C
2023,5,16,95,C
2023,5,17,98,C
2023,5,18,97,C
2023,5,19,93,C
2023,5,20,93,C
2023,5,21,91,C
2023,5,22,92,C
2023,5,23,94,C
2023,5,24,93,C
2023,5,25,93,C
2023,5,26,90,C
2023,5,27,88,C
2023,5,28,85,C
