年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,60,C
2023,1,2,59,C
2023,1,3,66,C
2023,1,4,67,C
2023,1,5,70,C
2023,1,6,56,C
2023,1,7,48,C
2023,1,8,49,C
2023,1,9,72,C
2023,1,10,89,C
2023,1,11,82,C
2023,1,12,82,C
2023,1,13,87,C
2023,1,14,86,C
2023,1,15,75,C
2023,1,16,57,C
2023,1,17,66,C
2023,1,18,49,C
2023,1,19,54,C
2023,1,20,53,C
2023,1,21,72,C
2023,1,22,75,C
2023,1,23,81,C
2023,1,24,43,C
2023,1,25,42,C
2023,1,26,60,C
2023,1,27,40,C
2023,1,28,19,C
2023,1,29,25,C
2023,1,30,36,C
2023,1,31,55,C
2023,2,1,70,C
2023,2,2,72,C
2023,2,3,68,C
2023,2,4,74,C
2023,2,5,77,C
2023,2,6,80,C
2023,2,7,78,C
2023,2,8,78,C
2023,2,9,76,C
2023,2,10,81,C
2023,2,11,83,C
2023,2,12,83,C
2023,2,13,77,C
2023,2,14,62,C
2023,2,15,52,C
2023,2,16,53,C
2023,2,17,62,C
2023,2,18,60,C
2023,2,19,61,C
2023,2,20,55,C
2023,2,21,58,C
2023,2,22,56,C
2023,2,23,62,C
2023,2,24,59,C
2023,2,25,47,C
2023,2,26,51,C
2023,2,27,53,C
2023,2,28,64,C
2023,3,1,62,C
2023,3,2,61,C
2023,3,3,46,C
2023,3,4,59,C
2023,3,5,48,C
2023,3,6,41,C
2023,3,7,44,C
2023,3,8,70,C
2023,3,9,64,C
2023,3,10,57,C
2023,3,11,63,C
2023,3,12,66,C
2023,3,13,52,C
2023,3,14,68,C
2023,3,15,70,C
2023,3,16,61,C
2023,3,17,74,C
2023,3,18,73,C
2023,3,19,79,C
2023,3,20,77,C
2023,3,21,77,C
2023,3,22,79,C
2023,3,23,75,C
2023,3,24,74,C
2023,3,25,85,C
2023,3,26,87,C
2023,3,27,84,C
2023,3,28,82,C
2023,3,29,79,C
2023,3,30,87,C
2023,3,31,87,C
2023,4,1,83,C
2023,4,2,85,C
2023,4,3,85,C
2023,4,4,83,C
2023,4,5,84,C
2023,4,6,82,C
2023,4,7,68,C
2023,4,8,65,C
2023,4,9,63,C
2023,4,10,72,C
2023,4,11,71,C
2023,4,12,71,C
2023,4,13,72,C
2023,4,14,77,C
2023,4,15,73,C
2023,4,16,64,C
2023,4,17,72,C
2023,4,18,79,C
2023,4,19,78,C
2023,4,20,89,C
2023,4,21,85,C
2023,4,22,83,C
2023,4,23,84,C
2023,4,24,84,C
2023,4,25,86,C
2023,4,26,68,C
2023,4,27,73,C
2023,4,28,77,C
2023,4,29,77,C
2023,4,30,66,C
2023,5,1,71,C
2023,5,2,68,C
2023,5,3,77,C
2023,5,4,74,C
2023,5,5,74,C
2023,5,6,75,C
2023,5,7,81,C
2023,5,8,83,C
2023,5,9,73,C
2023,5,10,63,C
2023,5,11,72,C
2023,5,12,76,C
2023,5,13,86,C
2023,5,14,89,C
2023,5,15,79,C
2023,5,16,78,C
2023,5,17,81,C
2023,5,18,76,C
2023,5,19,74,C
2023,5,20,75,C
2023,5,21,73,C
2023,5,22,71,C
2023,5,23,80,C
2023,5,24,81,C
2023,5,25,81,C
2023,5,26,77,C
2023,5,27,72,C
2023,5,28,71,C
2023,5,29,64,C
2023,5,30,65,C
2023,5,31,65,C
2023,6,1,77,C
2023,6,2,70,C
2023,6,3,73,C
2023,6,4,72,C
2023,6,5,72,C
2023,6,6,84,C
2023,6,7,77,C
2023,6,8,79,C
2023,6,9,81,C
2023,6,10,78,C
2023,6,11,77,C
2023,6,12,73,C
2023,6,13,76,C
2023,6,14,84,C
2023,6,15,85,C
2023,6,16,86,C
2023,6,17,89,C
2023,6,18,79,C
2023,6,19,75,C
2023,6,20,72,C
2023,6,21,71,C
2023,6,22,69,C
2023,6,23,74,C
2023,6,24,78,C
2023,6,25,78,C
2023,6,26,72,C
2023,6,27,72,C
2023,6,28,74,C
2023,6,29,72,C
2023,6,30,75,C
2023,7,1,80,C
2023,7,2,85,C
2023,7,3,77,C
2023,7,4,78,C
2023,7,5,71,C
2023,7,6,71,C
2023,7,7,69,C
2023,7,8,68,C
2023,7,9,68,C
2023,7,10,67,C
2023,7,11,70,C
2023,7,12,69,C
2023,7,13,66,C
2023,7,14,63,C
2023,7,15,69,C
2023,7,16,75,C
2023,7,17,79,C
2023,7,18,76,C
2023,7,19,79,C
2023,7,20,72,C
2023,7,21,69,C
2023,7,22,70,C
2023,7,23,73,C
2023,7,24,72,C
2023,7,25,66,C
2023,7,26,62,C
2023,7,27,63,C
2023,7,28,63,C
2023,7,29,79,C
2023,7,30,80,C
2023,7,31,74,C
2023,8,1,74,C
2023,8,2,68,C
2023,8,3,68,C
2023,8,4,72,C
2023,8,5,72,C
2023,8,6,72,C
2023,8,7,72,C
2023,8,8,69,C
2023,8,9,70,C
2023,8,10,79,C
2023,8,11,81,C
2023,8,12,75,C
2023,8,13,75,C
2023,8,14,77,C
2023,8,15,75,C
2023,8,16,72,C
2023,8,17,76,C
2023,8,18,82,C
2023,8,19,80,C
2023,8,20,76,C
2023,8,21,75,C
2023,8,22,74,C
2023,8,23,72,C
2023,8,24,79,C
2023,8,25,76,C
2023,8,26,75,C
2023,8,27,77,C
2023,8,28,76,C
2023,8,29,81,C
2023,8,30,68,C
2023,8,31,69,C
2023,9,1,79,C
2023,9,2,88,C
2023,9,3,70,C
2023,9,4,73,C
2023,9,5,68,C
2023,9,6,70,C
2023,9,7,84,C
2023,9,8,88,C
2023,9,9,86,C
2023,9,10,87,C
2023,9,11,85,C
2023,9,12,79,C
2023,9,13,78,C
2023,9,14,87,C
2023,9,15,80,C
2023,9,16,81,C
2023,9,17,75,C
2023,9,18,73,C
2023,9,19,73,C
2023,9,20,71,C
2023,9,21,68,C
2023,9,22,68,C
2023,9,23,65,C
2023,9,24,66,C
2023,9,25,67,C
2023,9,26,66,C
2023,9,27,64,C
2023,9,28,62,C
2023,9,29,68,C
2023,9,30,69,C
2023,10,1,70,C
2023,10,2,66,C
2023,10,3,69,C
2023,10,4,72,C
2023,10,5,56,C
2023,10,6,58,C
2023,10,7,75,C
2023,10,8,84,C
2023,10,9,93,C
2023,10,10,80,C
2023,10,11,69,C
2023,10,12,66,C
2023,10,13,58,C
2023,10,14,56,C
2023,10,15,63,C
2023,10,16,61,C
2023,10,17,50,C
2023,10,18,79,C
2023,10,19,85,C
2023,10,20,76,C
2023,10,21,71,C
2023,10,22,69,C
2023,10,23,71,C
2023,10,24,70,C
2023,10,25,71,C
2023,10,26,66,C
2023,10,27,71,C
2023,10,28,76,C
2023,10,29,70,C
2023,10,30,69,C
2023,10,31,65,C
2023,11,1,64,C
2023,11,2,67,C
2023,11,3,68,C
2023,11,4,67,C
2023,11,5,70,C
2023,11,6,59,C
2023,11,7,60,C
2023,11,8,70,C
2023,11,9,74,C
2023,11,10,77,C
2023,11,11,80,C
2023,11,12,69,C
2023,11,13,60,C
2023,11,14,62,C
2023,11,15,64,C
2023,11,16,61,C
2023,11,17,32,C
2023,11,18,31,C
2023,11,19,50,C
2023,11,20,56,C
2023,11,21,62,C
2023,11,22,67,C
2023,11,23,65,C
2023,11,24,59,C
2023,11,25,57,C
2023,11,26,59,C
2023,11,27,57,C
2023,11,28,52,C
2023,11,29,65,C
2023,11,30,66,C
2023,12,1,61,C
2023,12,2,59,C
2023,12,3,63,C
2023,12,4,67,C
2023,12,5,66,C
2023,12,6,63,C
2023,12,7,39,C
2023,12,8,57,C
2023,12,9,73,C
2023,12,10,71,C
2023,12,11,78,C
2023,12,12,72,C
2023,12,13,74,C
2023,12,14,72,C
2023,12,15,70,C
2023,12,16,65,C
2023,12,17,61,C
2023,12,18,69,C
2023,12,19,75,C
2023,12,20,58,C
2023,12,21,56,C
2023,12,22,35,C
2023,12,23,43,C
2023,12,24,37,C
2023,12,25,36,C
2023,12,26,49,C
2023,12,27,54,C
2023,12,28,60,C
2023,12,29,69,C
2023,12,30,68,C
2023,12,31,72,C
