年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,74,C
2023,1,2,73,C
2023,1,3,76,C
2023,1,4,81,C
2023,1,5,84,C
2023,1,6,70,C
2023,1,7,67,C
2023,1,8,73,C
2023,1,9,88,C
2023,1,10,96,C
2023,1,11,92,C
2023,1,12,91,C
2023,1,13,98,C
2023,1,14,93,C
2023,1,15,82,C
2023,1,16,70,C
2023,1,17,73,C
2023,1,18,69,C
2023,1,19,81,C
2023,1,20,71,C
2023,1,21,83,C
2023,1,22,89,C
2023,1,23,92,C
2023,1,24,52,C
2023,1,25,61,C
2023,1,26,79,C
2023,1,27,47,C
2023,1,28,42,C
2023,1,29,53,C
2023,1,30,72,C
2023,1,31,77,C
2023,2,1,85,C
2023,2,2,86,C
2023,2,3,80,C
2023,2,4,87,C
2023,2,5,90,C
2023,2,6,93,C
2023,2,7,90,C
2023,2,8,87,C
2023,2,9,88,C
2023,2,10,92,C
2023,2,11,94,C
2023,2,12,95,C
2023,2,13,92,C
2023,2,14,66,C
2023,2,15,68,C
2023,2,16,67,C
2023,2,17,77,C
2023,2,18,94,#
2023,2,19,***,
2023,2,20,***,
2023,2,21,63,#
2023,2,22,72,C
2023,2,23,79,C
2023,2,24,71,C
2023,2,25,58,C
2023,2,26,63,C
2023,2,27,69,C
2023,2,28,80,C
2023,3,1,82,C
2023,3,2,77,C
2023,3,3,67,C
2023,3,4,78,C
2023,3,5,72,C
2023,3,6,65,C
2023,3,7,75,C
2023,3,8,87,C
2023,3,9,82,C
2023,3,10,76,C
2023,3,11,80,C
2023,3,12,74,C
2023,3,13,71,C
2023,3,14,81,C
2023,3,15,87,C
2023,3,16,79,C
2023,3,17,86,C
2023,3,18,84,C
2023,3,19,87,C
2023,3,20,89,C
2023,3,21,92,C
2023,3,22,89,C
2023,3,23,87,C
2023,3,24,88,C
2023,3,25,94,C
2023,3,26,97,C
2023,3,27,91,C
2023,3,28,93,C
2023,3,29,91,C
2023,3,30,93,C
2023,3,31,96,C
2023,4,1,92,C
2023,4,2,92,C
2023,4,3,90,C
2023,4,4,95,C
2023,4,5,98,C
2023,4,6,93,C
2023,4,7,76,C
2023,4,8,81,C
2023,4,9,81,C
2023,4,10,83,C
2023,4,11,88,C
2023,4,12,85,C
2023,4,13,81,C
2023,4,14,88,C
2023,4,15,79,C
2023,4,16,82,C
2023,4,17,88,C
2023,4,18,92,C
2023,4,19,94,C
2023,4,20,96,C
2023,4,21,94,C
2023,4,22,87,C
2023,4,23,90,C
2023,4,24,91,C
2023,4,25,94,C
2023,4,26,71,C
2023,4,27,81,C
2023,4,28,85,C
2023,4,29,91,C
2023,4,30,75,C
2023,5,1,81,C
2023,5,2,78,C
2023,5,3,85,C
2023,5,4,87,C
2023,5,5,88,C
2023,5,6,90,C
2023,5,7,96,C
2023,5,8,93,C
2023,5,9,83,C
2023,5,10,73,C
2023,5,11,84,C
2023,5,12,86,C
2023,5,13,91,C
2023,5,14,97,C
2023,5,15,91,C
2023,5,16,94,C
2023,5,17,96,C
2023,5,18,89,C
2023,5,19,90,C
2023,5,20,92,C
2023,5,21,87,C
2023,5,22,83,C
2023,5,23,94,C
2023,5,24,89,C
2023,5,25,91,C
2023,5,26,90,C
2023,5,27,86,C
2023,5,28,86,C
2023,5,29,84,C
2023,5,30,86,C
2023,5,31,87,C
2023,6,1,88,C
2023,6,2,85,C
2023,6,3,86,C
2023,6,4,86,C
2023,6,5,85,C
2023,6,6,92,C
2023,6,7,95,C
2023,6,8,91,C
2023,6,9,90,C
2023,6,10,91,C
2023,6,11,93,C
2023,6,12,87,C
2023,6,13,92,C
2023,6,14,95,C
2023,6,15,97,C
2023,6,16,98,C
2023,6,17,99,C
2023,6,18,97,C
2023,6,19,92,C
2023,6,20,90,C
2023,6,21,87,C
2023,6,22,86,C
2023,6,23,93,C
2023,6,24,94,C
2023,6,25,92,C
2023,6,26,88,C
2023,6,27,87,C
2023,6,28,94,C
2023,6,29,90,C
2023,6,30,90,C
2023,7,1,93,C
2023,7,2,97,C
2023,7,3,92,C
2023,7,4,93,C
2023,7,5,87,C
2023,7,6,87,C
2023,7,7,86,C
2023,7,8,84,C
2023,7,9,85,C
2023,7,10,83,C
2023,7,11,85,C
2023,7,12,87,C
2023,7,13,84,C
2023,7,14,85,C
