年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,65,C
2023,1,2,68,C
2023,1,3,69,C
2023,1,4,75,C
2023,1,5,79,C
2023,1,6,70,C
2023,1,7,57,C
2023,1,8,49,C
2023,1,9,73,C
2023,1,10,91,C
2023,1,11,86,C
2023,1,12,88,C
2023,1,13,97,C
2023,1,14,96,C
2023,1,15,83,C
2023,1,16,68,C
2023,1,17,73,C
2023,1,18,64,C
2023,1,19,72,C
2023,1,20,66,C
2023,1,21,79,C
2023,1,22,85,C
2023,1,23,90,C
2023,1,24,53,C
2023,1,25,55,C
2023,1,26,65,C
2023,1,27,47,C
2023,1,28,29,C
2023,1,29,42,C
2023,1,30,54,C
2023,1,31,62,C
2023,2,1,80,C
2023,2,2,80,C
2023,2,3,77,C
2023,2,4,82,C
2023,2,5,82,C
2023,2,6,84,C
2023,2,7,86,C
2023,2,8,86,C
2023,2,9,84,C
2023,2,10,88,C
2023,2,11,91,C
2023,2,12,90,C
2023,2,13,86,C
2023,2,14,67,C
2023,2,15,63,C
2023,2,16,63,C
2023,2,17,73,C
2023,2,18,69,C
2023,2,19,71,C
2023,2,20,68,C
2023,2,21,63,C
2023,2,22,64,C
2023,2,23,72,C
2023,2,24,72,C
2023,2,25,57,C
2023,2,26,59,C
2023,2,27,61,C
2023,2,28,71,C
2023,3,1,88,#
2023,3,2,***,
2023,3,3,57,#
2023,3,4,67,C
2023,3,5,58,C
2023,3,6,49,C
2023,3,7,52,C
2023,3,8,85,C
2023,3,9,84,C
2023,3,10,69,C
2023,3,11,73,C
2023,3,12,78,C
2023,3,13,71,C
2023,3,14,77,C
2023,3,15,83,C
2023,3,16,74,C
2023,3,17,85,C
2023,3,18,85,C
2023,3,19,87,C
2023,3,20,87,C
2023,3,21,92,C
2023,3,22,92,C
2023,3,23,89,C
2023,3,24,87,C
2023,3,25,92,C
2023,3,26,92,C
2023,3,27,87,C
2023,3,28,85,C
2023,3,29,86,C
2023,3,30,89,C
2023,3,31,93,C
2023,4,1,89,C
2023,4,2,91,C
2023,4,3,91,C
2023,4,4,94,C
2023,4,5,96,C
2023,4,6,94,C
2023,4,7,76,C
2023,4,8,75,C
2023,4,9,72,C
2023,4,10,80,C
2023,4,11,83,C
2023,4,12,81,C
2023,4,13,80,C
2023,4,14,84,C
2023,4,15,81,C
2023,4,16,78,C
2023,4,17,84,C
2023,4,18,90,C
2023,4,19,92,C
2023,4,20,97,C
2023,4,21,93,C
2023,4,22,90,C
2023,4,23,92,C
2023,4,24,92,C
2023,4,25,92,C
2023,4,26,75,C
2023,4,27,83,C
2023,4,28,84,C
2023,4,29,85,C
2023,4,30,75,C
2023,5,1,79,C
2023,5,2,77,C
2023,5,3,84,C
2023,5,4,86,C
2023,5,5,87,C
2023,5,6,91,C
2023,5,7,94,C
2023,5,8,91,C
2023,5,9,80,C
2023,5,10,73,C
2023,5,11,76,C
2023,5,12,80,C
2023,5,13,93,C
2023,5,14,96,C
2023,5,15,90,C
2023,5,16,92,C
2023,5,17,95,C
2023,5,18,95,C
2023,5,19,91,C
2023,5,20,91,C
2023,5,21,91,C
2023,5,22,87,C
2023,5,23,93,C
2023,5,24,90,C
2023,5,25,91,C
2023,5,26,88,C
2023,5,27,83,C
2023,5,28,79,C
2023,5,29,84,C
2023,5,30,87,C
2023,5,31,86,C
2023,6,1,86,C
2023,6,2,85,C
2023,6,3,85,C
2023,6,4,85,C
2023,6,5,84,C
2023,6,6,92,C
2023,6,7,94,C
2023,6,8,89,C
2023,6,9,92,C
2023,6,10,88,C
2023,6,11,90,C
2023,6,12,85,C
2023,6,13,89,C
2023,6,14,95,C
2023,6,15,97,C
2023,6,16,99,C
2023,6,17,100,C
2023,6,18,98,C
2023,6,19,93,C
2023,6,20,89,C
2023,6,21,88,C
2023,6,22,85,C
2023,6,23,88,C
2023,6,24,92,C
2023,6,25,89,C
2023,6,26,88,C
2023,6,27,82,#
2023,6,28,83,C
2023,6,29,85,C
2023,6,30,85,C
2023,7,1,83,C
2023,7,2,94,C
2023,7,3,89,C
2023,7,4,84,C
2023,7,5,82,C
2023,7,6,81,C
2023,7,7,81,C
2023,7,8,82,C
2023,7,9,83,C
2023,7,10,81,C
2023,7,11,81,C
2023,7,12,79,C
2023,7,13,78,C
2023,7,14,78,C
2023,7,15,76,C
2023,7,16,75,C
2023,7,17,85,C
2023,7,18,87,C
2023,7,19,87,C
2023,7,20,84,C
2023,7,21,82,C
2023,7,22,81,C
2023,7,23,82,C
2023,7,24,80,C
2023,7,25,79,C
2023,7,26,77,C
2023,7,27,71,C
2023,7,28,79,C
2023,7,29,87,C
2023,7,30,91,C
2023,7,31,84,C
2023,8,1,84,C
2023,8,2,77,C
2023,8,3,81,C
2023,8,4,84,C
2023,8,5,85,C
2023,8,6,83,C
2023,8,7,83,C
2023,8,8,82,C
2023,8,9,81,C
2023,8,10,90,C
2023,8,11,91,C
2023,8,12,86,C
2023,8,13,90,C
2023,8,14,91,C
2023,8,15,89,C
2023,8,16,86,C
2023,8,17,86,C
2023,8,18,90,C
2023,8,19,92,C
2023,8,20,86,C
2023,8,21,86,C
2023,8,22,86,C
2023,8,23,84,C
2023,8,24,88,C
2023,8,25,85,C
2023,8,26,85,C
2023,8,27,87,C
2023,8,28,85,C
2023,8,29,83,C
2023,8,30,71,C
2023,8,31,71,C
2023,9,1,82,C
2023,9,2,93,C
2023,9,3,78,C
2023,9,4,76,C
2023,9,5,75,C
2023,9,6,77,C
2023,9,7,91,C
2023,9,8,95,C
2023,9,9,91,C
2023,9,10,93,C
2023,9,11,91,C
2023,9,12,88,C
2023,9,13,84,C
2023,9,14,92,C
2023,9,15,88,C
2023,9,16,88,C
2023,9,17,84,C
2023,9,18,84,C
2023,9,19,83,C
2023,9,20,82,C
2023,9,21,83,C
2023,9,22,79,C
2023,9,23,74,C
2023,9,24,76,C
2023,9,25,75,C
2023,9,26,76,C
2023,9,27,74,C
2023,9,28,72,C
2023,9,29,79,C
2023,9,30,81,C
2023,10,1,79,C
2023,10,2,76,C
2023,10,3,84,C
2023,10,4,76,C
2023,10,5,58,C
2023,10,6,62,C
2023,10,7,74,C
2023,10,8,89,C
2023,10,9,94,C
2023,10,10,83,C
2023,10,11,73,C
2023,10,12,71,C
2023,10,13,66,C
2023,10,14,68,C
2023,10,15,74,C
2023,10,16,69,C
2023,10,17,61,C
2023,10,18,86,C
2023,10,19,90,C
2023,10,20,80,C
2023,10,21,74,C
2023,10,22,69,C
2023,10,23,74,C
2023,10,24,74,C
2023,10,25,80,C
2023,10,26,77,C
2023,10,27,81,C
2023,10,28,82,C
2023,10,29,78,C
2023,10,30,81,C
2023,10,31,70,C
2023,11,1,69,C
2023,11,2,75,C
2023,11,3,80,C
2023,11,4,77,C
2023,11,5,80,C
2023,11,6,68,C
2023,11,7,71,C
2023,11,8,77,C
2023,11,9,81,C
2023,11,10,81,C
2023,11,11,85,C
2023,11,12,77,C
2023,11,13,66,C
2023,11,14,71,C
2023,11,15,71,C
2023,11,16,63,C
2023,11,17,34,C
2023,11,18,43,C
2023,11,19,65,C
2023,11,20,68,C
2023,11,21,73,C
2023,11,22,78,C
2023,11,23,82,C
2023,11,24,69,C
2023,11,25,64,C
2023,11,26,69,C
2023,11,27,75,C
2023,11,28,63,C
2023,11,29,70,C
2023,11,30,68,C
2023,12,1,67,C
2023,12,2,70,C
2023,12,3,72,C
2023,12,4,79,C
2023,12,5,77,C
2023,12,6,68,C
2023,12,7,48,C
2023,12,8,69,C
2023,12,9,81,C
2023,12,10,79,C
2023,12,11,85,C
2023,12,12,84,C
2023,12,13,81,C
2023,12,14,77,C
2023,12,15,78,C
2023,12,16,69,C
2023,12,17,67,C
2023,12,18,79,C
2023,12,19,74,C
2023,12,20,62,C
2023,12,21,63,C
2023,12,22,47,C
2023,12,23,54,C
2023,12,24,48,C
2023,12,25,48,C
2023,12,26,62,C
2023,12,27,57,C
2023,12,28,70,C
2023,12,29,77,C
2023,12,30,66,C
2023,12,31,76,C
