年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,0.5,C
2023,1,2,0,C
2023,1,3,0,C
2023,1,4,0,C
2023,1,5,0.5,C
2023,1,6,0,C
2023,1,7,0,C
2023,1,8,0,C
2023,1,9,0.5,C
2023,1,10,5,C
2023,1,11,2.5,C
2023,1,12,5.5,C
2023,1,13,9,C
2023,1,14,3,C
2023,1,15,0.5,C
2023,1,16,0,C
2023,1,17,0,C
2023,1,18,0,C
2023,1,19,0,C
2023,1,20,0.5,C
2023,1,21,0.5,C
2023,1,22,0,C
2023,1,23,0.5,C
2023,1,24,0,C
2023,1,25,0,C
2023,1,26,0,C
2023,1,27,0,C
2023,1,28,0,C
2023,1,29,0,C
2023,1,30,0,C
2023,1,31,0,C
2023,2,1,0,C
2023,2,2,0.5,C
2023,2,3,0.5,C
2023,2,4,1,C
2023,2,5,0.5,C
2023,2,6,0,C
2023,2,7,0.5,C
2023,2,8,1.5,C
2023,2,9,1,C
2023,2,10,1,C
2023,2,11,2,C
2023,2,12,1,C
2023,2,13,0.5,C
2023,2,14,0,C
2023,2,15,0,C
2023,2,16,0,C
2023,2,17,0,C
2023,2,18,0,C
2023,2,19,0.5,C
2023,2,20,0,C
2023,2,21,0,C
2023,2,22,0,C
2023,2,23,0,C
2023,2,24,0,C
2023,2,25,0,C
2023,2,26,0,C
2023,2,27,0,C
2023,2,28,0,C
2023,3,1,0,C
2023,3,2,0,C
2023,3,3,0,C
2023,3,4,0,C
2023,3,5,0,C
2023,3,6,0,C
2023,3,7,0,C
2023,3,8,0,C
2023,3,9,0,C
2023,3,10,0,C
2023,3,11,0,C
2023,3,12,0,C
2023,3,13,0,C
2023,3,14,0,C
2023,3,15,0,C
2023,3,16,0.5,C
2023,3,17,3.5,C
2023,3,18,0,C
2023,3,19,3.5,C
2023,3,20,1.5,C
2023,3,21,0,C
2023,3,22,0.5,C
2023,3,23,0,C
2023,3,24,0,C
2023,3,25,24.5,C
2023,3,26,8,C
2023,3,27,11.5,C
2023,3,28,1,C
2023,3,29,5,C
2023,3,30,2,C
2023,3,31,6.5,C
2023,4,1,1.5,C
2023,4,2,4,C
2023,4,3,6.5,C
2023,4,4,13.5,C
2023,4,5,3,C
2023,4,6,8,C
2023,4,7,3,C
2023,4,8,0,C
2023,4,9,0.5,C
2023,4,10,0,C
2023,4,11,0.5,C
2023,4,12,0,C
2023,4,13,0.5,C
2023,4,14,0,C
2023,4,15,0,C
2023,4,16,0,C
2023,4,17,0,C
2023,4,18,1.5,C
2023,4,19,13,C
2023,4,20,20,C
2023,4,21,4.5,C
2023,4,22,4,C
2023,4,23,2,C
2023,4,24,2,C
2023,4,25,4,C
2023,4,26,0,C
2023,4,27,2,C
2023,4,28,1.5,C
2023,4,29,2,C
2023,4,30,0,C
2023,5,1,3.5,C
2023,5,2,0,C
2023,5,3,1,C
2023,5,4,0,C
2023,5,5,0,C
2023,5,6,0,C
2023,5,7,32,C
2023,5,8,11.5,C
2023,5,9,2.5,C
2023,5,10,0,C
2023,5,11,2.5,C
2023,5,12,0,C
2023,5,13,9,C
2023,5,14,30,C
2023,5,15,0,C
2023,5,16,2,C
2023,5,17,17.5,C
2023,5,18,0,C
2023,5,19,0,C
2023,5,20,0,C
2023,5,21,0,C
2023,5,22,0,C
2023,5,23,14.5,C
2023,5,24,5.5,C
2023,5,25,1,C
2023,5,26,1,C
2023,5,27,0,C
2023,5,28,0.5,C
2023,5,29,0,C
2023,5,30,0,C
2023,5,31,2,C
2023,6,1,8.5,C
2023,6,2,0,C
2023,6,3,0,C
2023,6,4,0,C
2023,6,5,9.5,C
2023,6,6,18.5,C
2023,6,7,32,C
