年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,0,C
2023,1,2,0,C
2023,1,3,0.5,C
2023,1,4,0.5,C
2023,1,5,0,C
2023,1,6,0,C
2023,1,7,0,#
2023,1,8,0,C
2023,1,9,0,C
2023,1,10,7,C
2023,1,11,4.5,C
2023,1,12,0.5,C
2023,1,13,5.5,C
2023,1,14,4.5,C
2023,1,15,0.5,#
2023,1,16,0,C
2023,1,17,0,C
2023,1,18,0,C
2023,1,19,0,C
2023,1,20,1,C
2023,1,21,0,C
2023,1,22,1,C
2023,1,23,0.5,C
2023,1,24,0,C
2023,1,25,0,C
2023,1,26,0,C
2023,1,27,0,C
2023,1,28,0,C
2023,1,29,0,C
2023,1,30,0,C
2023,1,31,0,C
2023,2,1,0,C
2023,2,2,0,C
2023,2,3,0,C
2023,2,4,0.5,#
2023,2,5,0,C
2023,2,6,0.5,C
2023,2,7,0,C
2023,2,8,0.5,C
2023,2,9,0.5,C
2023,2,10,0,#
2023,2,11,0.5,C
2023,2,12,0,C
2023,2,13,1.5,C
2023,2,14,1.5,C
2023,2,15,0,C
2023,2,16,2,#
2023,2,17,***,
2023,2,18,***,
2023,2,19,***,
2023,2,20,***,
2023,2,21,***,
2023,2,22,***,
2023,2,23,***,
2023,2,24,***,
2023,2,25,***,
2023,2,26,***,
2023,2,27,***,
2023,2,28,0,#
2023,3,1,0,C
2023,3,2,0.5,C
2023,3,3,0,C
2023,3,4,0.5,C
2023,3,5,1.5,C
2023,3,6,2,C
2023,3,7,0.5,C
2023,3,8,0.5,C
2023,3,9,0,C
2023,3,10,0,C
2023,3,11,0,C
2023,3,12,0,C
2023,3,13,0,C
2023,3,14,0,C
2023,3,15,0,C
2023,3,16,0,C
2023,3,17,0,C
2023,3,18,0,C
2023,3,19,0,C
2023,3,20,0.5,C
2023,3,21,0,C
2023,3,22,0.5,C
2023,3,23,0,C
2023,3,24,0,C
2023,3,25,24,C
2023,3,26,8,C
2023,3,27,8.5,C
2023,3,28,0.5,C
2023,3,29,0.5,C
2023,3,30,0.5,C
2023,3,31,1,C
2023,4,1,0,C
2023,4,2,0.5,C
2023,4,3,0,C
2023,4,4,4,C
2023,4,5,0,C
2023,4,6,4,C
2023,4,7,7.5,C
2023,4,8,0,C
2023,4,9,1.5,C
2023,4,10,0,C
2023,4,11,0,C
2023,4,12,0,C
2023,4,13,0,C
2023,4,14,0,C
2023,4,15,0,C
2023,4,16,0,C
2023,4,17,0,C
2023,4,18,0,C
2023,4,19,31,C
2023,4,20,17.5,C
2023,4,21,7.5,C
2023,4,22,0.5,C
2023,4,23,0.5,C
2023,4,24,1.5,C
2023,4,25,1,C
2023,4,26,0,C
2023,4,27,0,C
2023,4,28,0.5,C
2023,4,29,0.5,C
2023,4,30,0,C
2023,5,1,0,C
2023,5,2,0,C
2023,5,3,0,C
2023,5,4,0,C
2023,5,5,0,C
2023,5,6,0,C
2023,5,7,37,C
2023,5,8,43,C
2023,5,9,0.5,C
2023,5,10,0,C
2023,5,11,1,C
2023,5,12,0,C
2023,5,13,9.5,C
2023,5,14,44.5,C
2023,5,15,0.5,C
2023,5,16,0,C
2023,5,17,9,C
2023,5,18,0,C
2023,5,19,0,C
2023,5,20,0,C
2023,5,21,5,C
2023,5,22,0,C
2023,5,23,10,C
2023,5,24,5,C
2023,5,25,0,C
2023,5,26,0,C
2023,5,27,0,C
2023,5,28,0,C
2023,5,29,0,C
2023,5,30,0,C
2023,5,31,0,C
2023,6,1,23.5,C
2023,6,2,0,C
2023,6,3,0.5,C
2023,6,4,2.5,C
2023,6,5,17.5,C
2023,6,6,52,C
2023,6,7,7,C
2023,6,8,0,C
2023,6,9,6.5,C
2023,6,10,0,C
2023,6,11,19,C
2023,6,12,0,C
2023,6,13,18.5,C
2023,6,14,92,C
2023,6,15,73,C
2023,6,16,58,C
2023,6,17,69,C
2023,6,18,24,C
2023,6,19,4,C
2023,6,20,0.5,C
2023,6,21,0.5,C
2023,6,22,0,C
2023,6,23,1,C
2023,6,24,9,C
2023,6,25,12.5,C
2023,6,26,9,C
2023,6,27,0,C
2023,6,28,0.5,C
2023,6,29,0.5,C
2023,6,30,0,C
2023,7,1,6,C
2023,7,2,26,C
2023,7,3,11.5,C
2023,7,4,25.5,C
2023,7,5,1,#
2023,7,6,0,#
2023,7,7,0.5,C
2023,7,8,0,C
2023,7,9,0,C
2023,7,10,0,C
2023,7,11,0,C
2023,7,12,0,C
2023,7,13,0,C
2023,7,14,0,C
2023,7,15,1.5,C
2023,7,16,5,C
2023,7,17,24,C
2023,7,18,6.5,C
2023,7,19,10,C
2023,7,20,1.5,C
2023,7,21,0,C
2023,7,22,0,C
2023,7,23,0,C
2023,7,24,0,C
2023,7,25,0,C
2023,7,26,0.5,C
2023,7,27,11.5,C
2023,7,28,0,C
2023,7,29,18.5,C
2023,7,30,14.5,C
2023,7,31,22,C
2023,8,1,0,C
2023,8,2,0,C
2023,8,3,0,C
2023,8,4,5.5,C
2023,8,5,11.5,C
2023,8,6,0,C
2023,8,7,2,C
2023,8,8,0.5,C
2023,8,9,0,C
2023,8,10,31.5,C
2023,8,11,32,C
2023,8,12,0.5,C
2023,8,13,19,C
2023,8,14,3,C
2023,8,15,0,C
2023,8,16,0,C
2023,8,17,0,C
2023,8,18,6,C
2023,8,19,2.5,C
2023,8,20,0,C
2023,8,21,1,C
2023,8,22,5.5,C
2023,8,23,2.5,C
2023,8,24,7,C
2023,8,25,0,C
2023,8,26,0,C
2023,8,27,12,C
2023,8,28,0,C
2023,8,29,4.5,C
2023,8,30,0,C
2023,8,31,2,C
2023,9,1,94.5,C
2023,9,2,97.5,C
2023,9,3,0,C
2023,9,4,0,C
2023,9,5,0.5,C
2023,9,6,0.5,C
2023,9,7,135.5,C
2023,9,8,276,C
2023,9,9,12,C
2023,9,10,56,C
2023,9,11,10.5,C
2023,9,12,0,C
2023,9,13,0,C
2023,9,14,22,C
2023,9,15,9,C
2023,9,16,5,C
2023,9,17,0,C
2023,9,18,0,C
2023,9,19,0,C
2023,9,20,0,C
2023,9,21,0,C
2023,9,22,0,C
2023,9,23,0,C
2023,9,24,0,C
2023,9,25,0,C
2023,9,26,0,C
2023,9,27,0,C
2023,9,28,2,C
2023,9,29,8,C
2023,9,30,0,C
2023,10,1,0,C
2023,10,2,0.5,C
2023,10,3,0,C
2023,10,4,0,C
2023,10,5,0,C
2023,10,6,0.5,C
2023,10,7,2.5,C
2023,10,8,142.5,C
2023,10,9,371.5,C
2023,10,10,5,C
2023,10,11,0,C
