年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,0,C
2023,1,2,0,C
2023,1,3,0.5,C
2023,1,4,0,C
2023,1,5,0,C
2023,1,6,0,C
2023,1,7,0,C
2023,1,8,0,C
2023,1,9,0,C
2023,1,10,4,C
2023,1,11,3,C
2023,1,12,2,C
2023,1,13,3,C
2023,1,14,3.5,C
2023,1,15,0,C
2023,1,16,0,C
2023,1,17,0,C
2023,1,18,0,C
2023,1,19,0,C
2023,1,20,0,C
2023,1,21,0,C
2023,1,22,0.5,C
2023,1,23,0.5,C
2023,1,24,0,C
2023,1,25,0,C
2023,1,26,0,C
2023,1,27,0,C
2023,1,28,0,C
2023,1,29,0,C
2023,1,30,0,C
2023,1,31,0,C
2023,2,1,0,C
2023,2,2,0,C
2023,2,3,0,C
2023,2,4,1,C
2023,2,5,0,C
2023,2,6,0,C
2023,2,7,0.5,C
2023,2,8,0,C
2023,2,9,0,C
2023,2,10,0,C
2023,2,11,1,C
2023,2,12,0.5,C
2023,2,13,0,C
2023,2,14,0,C
2023,2,15,0,C
2023,2,16,0,C
2023,2,17,0,C
2023,2,18,0,C
2023,2,19,0,C
2023,2,20,0,C
2023,2,21,0,C
2023,2,22,0,C
2023,2,23,0,C
2023,2,24,0,C
2023,2,25,0,#
2023,2,26,0,C
2023,2,27,0,C
2023,2,28,0,C
2023,3,1,0,C
2023,3,2,0,C
2023,3,3,0,C
2023,3,4,0,C
2023,3,5,0,C
2023,3,6,0,C
2023,3,7,0,C
2023,3,8,0,C
2023,3,9,0,C
2023,3,10,0,C
2023,3,11,0,C
2023,3,12,0,C
2023,3,13,0,C
2023,3,14,0,C
2023,3,15,0,C
2023,3,16,0.5,C
2023,3,17,0,C
2023,3,18,0,C
2023,3,19,0.5,C
2023,3,20,0,C
2023,3,21,0,C
2023,3,22,0,C
2023,3,23,0,C
2023,3,24,0,C
2023,3,25,30,C
2023,3,26,5,#
2023,3,27,3,C
2023,3,28,0.5,C
2023,3,29,0.5,#
2023,3,30,0,#
2023,3,31,3.5,C
2023,4,1,0.5,C
2023,4,2,6.5,C
2023,4,3,2,C
2023,4,4,2.5,C
2023,4,5,11.5,C
2023,4,6,7.5,C
2023,4,7,4.5,C
2023,4,8,0,C
2023,4,9,0.5,C
2023,4,10,0,C
2023,4,11,0,C
2023,4,12,0,C
2023,4,13,0,C
2023,4,14,0,C
2023,4,15,0,#
2023,4,16,***,
2023,4,17,***,
2023,4,18,2,#
2023,4,19,14,C
2023,4,20,18.5,C
2023,4,21,3,C
2023,4,22,0.5,C
2023,4,23,0,C
2023,4,24,0.5,C
2023,4,25,2,C
2023,4,26,0,C
2023,4,27,0,C
2023,4,28,0,C
2023,4,29,1.5,C
2023,4,30,0,C
2023,5,1,0,C
2023,5,2,0,C
2023,5,3,0,C
2023,5,4,0,C
2023,5,5,0,C
2023,5,6,0,C
2023,5,7,22.5,C
2023,5,8,11.5,C
2023,5,9,0.5,C
2023,5,10,0,C
2023,5,11,0,C
2023,5,12,0,C
2023,5,13,6.5,C
2023,5,14,28.5,C
2023,5,15,0,C
2023,5,16,1.5,C
2023,5,17,15,C
2023,5,18,0,C
2023,5,19,0,C
2023,5,20,0,C
2023,5,21,0,C
2023,5,22,0,C
2023,5,23,2.5,C
2023,5,24,1.5,C
2023,5,25,0,C
2023,5,26,0,C
2023,5,27,0,C
2023,5,28,0,C
2023,5,29,0,C
2023,5,30,0,C
2023,5,31,0,C
2023,6,1,14.5,C
2023,6,2,0,C
2023,6,3,0,C
2023,6,4,0,C
2023,6,5,0,C
2023,6,6,18,C
2023,6,7,6.5,C
2023,6,8,2.5,C
2023,6,9,2.5,C
2023,6,10,17,C
2023,6,11,4.5,C
2023,6,12,0,C
2023,6,13,15.5,C
2023,6,14,13,#
2023,6,15,0.5,#
2023,6,16,21,C
2023,6,17,83,C
2023,6,18,10.5,C
2023,6,19,2,C
2023,6,20,0,C
2023,6,21,0,C
2023,6,22,0,C
2023,6,23,0,C
2023,6,24,0,C
2023,6,25,0,C
2023,6,26,0,C
2023,6,27,0,C
2023,6,28,0,C
2023,6,29,0,C
2023,6,30,0,C
2023,7,1,0,C
2023,7,2,0,C
2023,7,3,0,C
2023,7,4,0,C
2023,7,5,0,C
2023,7,6,0,C
2023,7,7,0,C
2023,7,8,0,C
2023,7,9,0,C
2023,7,10,0,C
2023,7,11,0,#
2023,7,12,0,C
2023,7,13,0,C
2023,7,14,0,C
2023,7,15,6,C
2023,7,16,3,C
2023,7,17,15,C
2023,7,18,15,C
2023,7,19,1,C
2023,7,20,7.5,C
2023,7,21,0,C
2023,7,22,0,C
2023,7,23,0,C
2023,7,24,3,C
2023,7,25,0,C
2023,7,26,0,C
2023,7,27,5.5,C
2023,7,28,0,C
2023,7,29,25,C
2023,7,30,0,C
2023,7,31,8.5,C
2023,8,1,0,C
2023,8,2,0,C
2023,8,3,0,C
2023,8,4,1.5,C
2023,8,5,5,C
2023,8,6,0.5,C
2023,8,7,14,C
2023,8,8,0,C
2023,8,9,0,C
2023,8,10,10.5,C
2023,8,11,16,C
2023,8,12,2.5,C
2023,8,13,16.5,C
2023,8,14,15.5,C
2023,8,15,0.5,C
2023,8,16,0,C
2023,8,17,0,C
2023,8,18,39.5,C
2023,8,19,0,C
2023,8,20,16,C
2023,8,21,0.5,C
2023,8,22,0.5,C
2023,8,23,0,C
2023,8,24,25,C
2023,8,25,2,C
2023,8,26,0,C
2023,8,27,3.5,C
2023,8,28,3,C
2023,8,29,2,C
2023,8,30,0,C
2023,8,31,0,C
2023,9,1,82,C
2023,9,2,17,C
2023,9,3,0,C
2023,9,4,0.5,C
2023,9,5,0.5,C
2023,9,6,1,C
2023,9,7,41,C
2023,9,8,101,C
2023,9,9,6,C
2023,9,10,39,C
2023,9,11,42,C
2023,9,12,20.5,C
2023,9,13,0,C
2023,9,14,19.5,C
2023,9,15,35.5,C
2023,9,16,4,C
2023,9,17,0,C
2023,9,18,0.5,C
2023,9,19,0,C
2023,9,20,0,C
2023,9,21,0,C
2023,9,22,0,C
2023,9,23,0,C
2023,9,24,0,C
2023,9,25,0,C
2023,9,26,0,C
2023,9,27,0,C
2023,9,28,0,C
2023,9,29,0.5,C
2023,9,30,0,C
2023,10,1,0,C
2023,10,2,1.5,C
2023,10,3,0,C
2023,10,4,0,C
2023,10,5,0,C
2023,10,6,0,C
2023,10,7,0,#
2023,10,8,65.5,C
2023,10,9,201,C
2023,10,10,0.5,C
2023,10,11,0,C
2023,10,12,0,C
2023,10,13,0,C
2023,10,14,0,C
