年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,7.6,C
2023,1,2,8.7,C
2023,1,3,8.7,C
2023,1,4,11,C
2023,1,5,10.8,C
2023,1,6,9,C
2023,1,7,12.1,C
2023,1,8,20.9,C
2023,1,9,11.6,C
2023,1,10,10.2,C
2023,1,11,19.4,C
2023,1,12,21.6,C
2023,1,13,8.5,C
2023,1,14,5.5,C
2023,1,15,10.8,C
2023,1,16,9.3,C
2023,1,17,9.3,C
2023,1,18,9.2,C
2023,1,19,8.9,C
2023,1,20,10,C
2023,1,21,20.9,C
2023,1,22,10.5,C
2023,1,23,9.3,C
2023,1,24,16.3,C
2023,1,25,13.9,C
2023,1,26,13.8,C
2023,1,27,13.2,C
2023,1,28,11.2,C
2023,1,29,9.5,C
2023,1,30,10.1,C
2023,1,31,16.1,C
2023,2,1,11.8,C
2023,2,2,18.6,C
2023,2,3,20.5,C
2023,2,4,21,C
2023,2,5,16.3,C
2023,2,6,12.1,C
2023,2,7,7.3,C
2023,2,8,22.8,C
2023,2,9,14.9,C
2023,2,10,9.6,C
2023,2,11,21.8,C
2023,2,12,15,C
2023,2,13,10.5,C
2023,2,14,11,C
2023,2,15,11,C
2023,2,16,13.2,C
2023,2,17,12.7,C
2023,2,18,9.1,C
2023,2,19,10.1,C
2023,2,20,13,C
2023,2,21,26.9,C
2023,2,22,21.3,C
2023,2,23,15.8,C
2023,2,24,11.8,C
2023,2,25,12.5,C
2023,2,26,15.4,C
2023,2,27,23.3,C
2023,2,28,19.6,C
2023,3,1,8.9,C
2023,3,2,17.9,C
2023,3,3,20.8,C
2023,3,4,11.8,C
2023,3,5,16.8,C
2023,3,6,17.5,C
2023,3,7,13.9,C
2023,3,8,5.1,C
2023,3,9,5.6,C
2023,3,10,15.9,C
2023,3,11,13.9,C
2023,3,12,8.7,C
2023,3,13,11.5,C
2023,3,14,16.8,C
2023,3,15,12.4,C
2023,3,16,13.2,C
2023,3,17,15,C
2023,3,18,11.9,C
2023,3,19,21.3,C
2023,3,20,15.5,C
2023,3,21,7.5,C
2023,3,22,7.6,C
2023,3,23,8.5,C
2023,3,24,11.8,C
2023,3,25,17.2,C
2023,3,26,14.5,C
2023,3,27,20.7,C
2023,3,28,19.3,C
2023,3,29,19.5,C
2023,3,30,14.8,C
2023,3,31,18.5,C
2023,4,1,18.7,C
2023,4,2,17.6,C
2023,4,3,23,C
2023,4,4,15,C
2023,4,5,10,C
2023,4,6,10.8,C
2023,4,7,10.8,C
2023,4,8,17,C
2023,4,9,13.9,C
2023,4,10,19.5,C
2023,4,11,14,C
2023,4,12,8,C
2023,4,13,21.6,C
2023,4,14,9.8,C
2023,4,15,7.9,C
2023,4,16,10.7,C
2023,4,17,15.8,C
2023,4,18,10.1,C
2023,4,19,9,C
2023,4,20,10.3,C
2023,4,21,16.9,C
2023,4,22,26.5,C
2023,4,23,20.8,C
2023,4,24,13.1,C
2023,4,25,10.3,C
2023,4,26,11.1,C
2023,4,27,21.8,C
2023,4,28,16.6,C
2023,4,29,8.9,C
2023,4,30,12.1,C
2023,5,1,21,C
2023,5,2,19.6,C
2023,5,3,16,C
2023,5,4,12.3,C
2023,5,5,9.9,C
2023,5,6,8.7,C
2023,5,7,6.8,C
2023,5,8,7.7,#
2023,5,9,24.8,#
2023,5,10,26.9,C
2023,5,11,21.8,C
2023,5,12,11.4,C
2023,5,13,6.9,C
2023,5,14,8.7,C
2023,5,15,5.6,C
2023,5,16,10.4,C
2023,5,17,9,C
2023,5,18,7.1,C
2023,5,19,7.6,C
2023,5,20,8,#
2023,5,21,***,
2023,5,22,9.1,#
2023,5,23,16.2,C
2023,5,24,21.6,C
2023,5,25,19.3,C
2023,5,26,17.3,C
2023,5,27,18,C
2023,5,28,14.3,C
2023,5,29,9.9,C
2023,5,30,10.5,C
2023,5,31,8.7,C
2023,6,1,10.3,C
2023,6,2,8.8,C
2023,6,3,9.1,C
2023,6,4,17.4,C
2023,6,5,21.4,C
2023,6,6,15.2,C
2023,6,7,10,C
2023,6,8,10.7,#
2023,6,9,7,#
2023,6,10,8.4,C
2023,6,11,9.9,C
2023,6,12,13.3,C
2023,6,13,8.7,C
2023,6,14,5.6,C
2023,6,15,8,C
2023,6,16,5.5,C
2023,6,17,7.8,C
2023,6,18,7.2,C
2023,6,19,7.6,C
2023,6,20,9.8,#
2023,6,21,***,
2023,6,22,8.5,#
2023,6,23,7.3,C
2023,6,24,6.5,C
2023,6,25,9.8,C
2023,6,26,11.1,C
2023,6,27,15.1,C
2023,6,28,12.2,C
2023,6,29,8.5,C
2023,6,30,8.5,C
2023,7,1,6,C
2023,7,2,5.9,C
2023,7,3,7.1,C
2023,7,4,10,C
2023,7,5,9.6,C
2023,7,6,11.4,C
2023,7,7,11.2,C
2023,7,8,9.8,C
2023,7,9,10.9,C
2023,7,10,9.5,C
2023,7,11,10.8,C
2023,7,12,7.7,C
2023,7,13,9.1,C
2023,7,14,8.5,C
2023,7,15,9.8,C
2023,7,16,23.1,C
2023,7,17,36.4,C
2023,7,18,15.5,C
2023,7,19,12.4,C
2023,7,20,10.1,C
2023,7,21,5.9,C
2023,7,22,6.9,C
2023,7,23,9.7,C
2023,7,24,8.1,C
2023,7,25,9.7,C
2023,7,26,10.2,C
2023,7,27,10.7,C
2023,7,28,11.3,C
2023,7,29,10.8,C
2023,7,30,9.9,C
2023,7,31,14.5,C
2023,8,1,10.1,C
2023,8,2,11,C
2023,8,3,8.1,C
2023,8,4,10.8,C
2023,8,5,10.5,C
2023,8,6,11.4,C
2023,8,7,10.3,C
2023,8,8,9.2,C
2023,8,9,10.5,C
2023,8,10,9.3,C
2023,8,11,9.3,C
2023,8,12,8.4,C
2023,8,13,7.8,C
2023,8,14,8.3,C
2023,8,15,8.8,C
2023,8,16,10.3,C
2023,8,17,9.8,C
2023,8,18,8.8,C
2023,8,19,6.1,C
2023,8,20,6,C
2023,8,21,9.3,C
2023,8,22,6.1,C
2023,8,23,7,C
2023,8,24,9,C
2023,8,25,5.9,C
2023,8,26,6.3,C
2023,8,27,6.5,C
2023,8,28,6.6,C
2023,8,29,8.9,C
2023,8,30,8.4,C
2023,8,31,10,C
2023,9,1,33.5,C
2023,9,2,30.5,C
2023,9,3,15.7,C
2023,9,4,12.8,C
2023,9,5,12.4,C
2023,9,6,11.9,C
2023,9,7,8.5,C
2023,9,8,14.7,C
2023,9,9,17.7,C
2023,9,10,15.3,C
2023,9,11,15.2,C
2023,9,12,14.4,C
2023,9,13,17.3,C
2023,9,14,10.5,C
2023,9,15,12.7,C
2023,9,16,14.3,C
2023,9,17,14,C
2023,9,18,10.4,C
2023,9,19,8.2,C
2023,9,20,5.1,C
2023,9,21,7.7,C
2023,9,22,8.8,C
2023,9,23,17.6,C
2023,9,24,21.2,C
2023,9,25,22.1,C
2023,9,26,22.4,C
2023,9,27,19.3,C
2023,9,28,20.5,C
2023,9,29,14.5,C
2023,9,30,7.4,C
2023,10,1,13,C
2023,10,2,17.5,C
2023,10,3,9.3,C
2023,10,4,12.2,C
2023,10,5,12.7,C
2023,10,6,12.8,C
2023,10,7,18.3,C
2023,10,8,20.8,C
2023,10,9,19,C
2023,10,10,15.2,C
2023,10,11,13,C
2023,10,12,11.6,C
2023,10,13,9.3,C
2023,10,14,6.6,C
2023,10,15,12.8,C
2023,10,16,20.8,C
2023,10,17,28.6,C
2023,10,18,27.2,C
2023,10,19,18.3,C
2023,10,20,13.4,C
2023,10,21,14,C
2023,10,22,10.8,C
2023,10,23,12.9,C
2023,10,24,13.2,C
2023,10,25,14.1,C
2023,10,26,14.3,C
2023,10,27,14.1,C
2023,10,28,15.9,C
2023,10,29,17.1,C
2023,10,30,14,#
2023,10,31,16.7,#
2023,11,1,16,C
2023,11,2,15.3,C
2023,11,3,12.3,C
2023,11,4,13.5,C
2023,11,5,11.5,C
2023,11,6,7.7,C
2023,11,7,18.9,C
2023,11,8,23.1,C
2023,11,9,20.1,C
2023,11,10,14.3,C
2023,11,11,20.3,C
2023,11,12,14.5,C
2023,11,13,10.5,C
2023,11,14,8.5,#
2023,11,15,18.6,#
2023,11,16,14.4,C
2023,11,17,11.9,C
2023,11,18,9.9,C
2023,11,19,8.2,C
2023,11,20,8.8,C
2023,11,21,12.2,C
2023,11,22,9.5,C
2023,11,23,4.6,C
2023,11,24,22.8,C
2023,11,25,22.7,C
2023,11,26,10.7,C
2023,11,27,5.5,C
2023,11,28,16.8,C
2023,11,29,18.4,C
2023,11,30,13.3,C
2023,12,1,12.2,C
2023,12,2,10,C
2023,12,3,12.3,C
2023,12,4,10.1,C
2023,12,5,8.3,C
2023,12,6,8.9,C
2023,12,7,8,C
2023,12,8,12.4,C
2023,12,9,15.7,C
2023,12,10,13.8,C
2023,12,11,7.3,C
2023,12,12,9,C
2023,12,13,21.9,C
2023,12,14,17.3,C
2023,12,15,13.3,C
2023,12,16,12.2,C
2023,12,17,11,C
2023,12,18,14.5,C
2023,12,19,17,C
2023,12,20,13,C
2023,12,21,12.2,C
2023,12,22,9.9,C
2023,12,23,8.9,C
2023,12,24,8.5,C
2023,12,25,6.5,C
2023,12,26,9,C
2023,12,27,9.1,C
2023,12,28,11.3,C
2023,12,29,18,C
2023,12,30,9.8,C
2023,12,31,8.3,C
