年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,6.9,C
2023,1,2,7.8,C
2023,1,3,10,C
2023,1,4,9.4,C
2023,1,5,7,C
2023,1,6,9.1,C
2023,1,7,10.2,C
2023,1,8,12.7,C
2023,1,9,7.6,C
2023,1,10,7.3,C
2023,1,11,11.1,C
2023,1,12,15,C
2023,1,13,6.5,C
2023,1,14,5.7,C
2023,1,15,9,C
2023,1,16,9.6,C
2023,1,17,7.5,C
2023,1,18,7.3,C
2023,1,19,6,C
2023,1,20,7.4,C
2023,1,21,13,C
2023,1,22,7.8,C
2023,1,23,6.6,C
2023,1,24,16.4,C
2023,1,25,10.9,C
2023,1,26,7.6,C
2023,1,27,12.8,C
2023,1,28,11.9,C
2023,1,29,8.3,C
2023,1,30,8.1,C
2023,1,31,11.4,C
2023,2,1,9,C
2023,2,2,13.9,C
2023,2,3,13,C
2023,2,4,12.8,C
2023,2,5,10.8,C
2023,2,6,7.8,C
2023,2,7,6.5,C
2023,2,8,13.8,C
2023,2,9,12.2,C
2023,2,10,7.6,C
2023,2,11,13.7,C
2023,2,12,11.7,C
2023,2,13,8.1,C
2023,2,14,10.3,C
2023,2,15,10.2,C
2023,2,16,10.4,C
2023,2,17,8.8,C
2023,2,18,6.4,C
2023,2,19,7.1,C
2023,2,20,10.3,C
2023,2,21,17.2,C
2023,2,22,13.8,C
2023,2,23,10.3,C
2023,2,24,9.3,C
2023,2,25,13.5,C
2023,2,26,12.3,C
2023,2,27,13.8,C
2023,2,28,12.8,C
2023,3,1,5.8,C
2023,3,2,12,C
2023,3,3,13.5,C
2023,3,4,8.5,C
2023,3,5,14,C
2023,3,6,11.2,C
2023,3,7,11.8,C
2023,3,8,4,C
2023,3,9,4.5,C
2023,3,10,10.8,C
2023,3,11,9.8,C
2023,3,12,8.6,C
2023,3,13,9.6,C
2023,3,14,10.2,C
2023,3,15,9.2,C
2023,3,16,9.1,C
2023,3,17,9.7,C
2023,3,18,7.8,C
2023,3,19,12.5,C
2023,3,20,10.5,C
2023,3,21,6.5,#
2023,3,22,8.2,#
2023,3,23,6.9,C
2023,3,24,8.4,C
2023,3,25,12.7,C
2023,3,26,9,C
2023,3,27,13.6,C
2023,3,28,11.4,C
2023,3,29,12.7,C
2023,3,30,9.5,C
2023,3,31,12,C
2023,4,1,11.3,C
2023,4,2,11.8,C
2023,4,3,14.3,C
2023,4,4,10.5,C
2023,4,5,8.7,C
2023,4,6,8.2,C
2023,4,7,7.9,C
2023,4,8,10.7,C
2023,4,9,9.3,C
2023,4,10,11.7,C
2023,4,11,9.7,C
2023,4,12,6.8,C
2023,4,13,14.8,C
2023,4,14,7.8,C
2023,4,15,6,C
2023,4,16,9.8,C
2023,4,17,9.9,C
2023,4,18,7.6,C
2023,4,19,9.3,C
2023,4,20,8.3,C
2023,4,21,12.2,C
2023,4,22,17.7,C
2023,4,23,14.4,C
2023,4,24,8.9,C
2023,4,25,4.9,C
2023,4,26,8.8,C
2023,4,27,13.3,C
2023,4,28,12.3,C
2023,4,29,6.5,C
2023,4,30,8.4,C
2023,5,1,13.2,C
2023,5,2,12.7,C
2023,5,3,10.3,C
2023,5,4,11.1,C
2023,5,5,7.6,C
2023,5,6,8,C
2023,5,7,6.5,C
2023,5,8,9.1,C
2023,5,9,14.4,C
2023,5,10,16,C
2023,5,11,12.6,C
2023,5,12,8.5,C
2023,5,13,3.9,C
2023,5,14,5.6,C
2023,5,15,5.2,C
2023,5,16,8.4,C
2023,5,17,6.9,C
2023,5,18,8.7,C
2023,5,19,7.3,C
2023,5,20,7.6,C
2023,5,21,9.3,C
2023,5,22,9,C
2023,5,23,10.9,C
2023,5,24,13.7,C
2023,5,25,11.8,C
2023,5,26,10.3,C
2023,5,27,10.8,C
2023,5,28,9.6,C
2023,5,29,8.4,C
2023,5,30,7.2,C
2023,5,31,7,C
2023,6,1,7.3,C
2023,6,2,8.1,C
2023,6,3,8.7,C
2023,6,4,12.4,C
2023,6,5,15.3,C
2023,6,6,11.5,C
2023,6,7,8,C
2023,6,8,7.3,C
2023,6,9,6.6,C
2023,6,10,6.7,C
2023,6,11,7.6,C
2023,6,12,10,C
2023,6,13,6.3,C
2023,6,14,5.8,C
2023,6,15,5.8,C
