年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,7.5,C
2023,1,2,8.4,C
2023,1,3,7.5,C
2023,1,4,14.3,C
2023,1,5,11.8,C
2023,1,6,8.7,C
2023,1,7,12.3,C
2023,1,8,23,C
2023,1,9,12.4,C
2023,1,10,12.5,C
2023,1,11,22.1,C
2023,1,12,20.6,C
2023,1,13,5.2,C
2023,1,14,2.6,C
2023,1,15,10.5,C
2023,1,16,10.9,C
2023,1,17,9.8,C
2023,1,18,9.3,C
2023,1,19,5.2,C
2023,1,20,7.7,C
2023,1,21,22.2,C
2023,1,22,9,C
2023,1,23,9.3,C
2023,1,24,19.8,C
2023,1,25,14.8,C
2023,1,26,14.1,C
2023,1,27,10.9,C
2023,1,28,12.7,C
2023,1,29,7.6,C
2023,1,30,9.1,C
2023,1,31,16.3,C
2023,2,1,9.9,C
2023,2,2,19.3,C
2023,2,3,21.7,C
2023,2,4,22.5,C
2023,2,5,17,C
2023,2,6,10.8,C
2023,2,7,8.5,C
2023,2,8,21.4,C
2023,2,9,15.5,C
2023,2,10,9.8,C
2023,2,11,19.5,C
2023,2,12,11.3,C
2023,2,13,11,C
2023,2,14,10.4,C
2023,2,15,12.5,C
2023,2,16,15.8,C
2023,2,17,14,C
2023,2,18,6.6,C
2023,2,19,7.2,C
2023,2,20,14.5,C
2023,2,21,26.7,C
2023,2,22,23.1,C
2023,2,23,15.1,C
2023,2,24,9.7,C
2023,2,25,11.4,C
2023,2,26,15.6,C
2023,2,27,25,C
2023,2,28,20.3,C
2023,3,1,6.1,C
2023,3,2,19.5,C
2023,3,3,22.3,C
2023,3,4,12.7,C
2023,3,5,16.3,C
2023,3,6,14.7,C
2023,3,7,12.2,C
2023,3,8,5.3,C
2023,3,9,3.3,C
2023,3,10,15,C
2023,3,11,12.4,C
2023,3,12,6.7,C
2023,3,13,10.6,C
2023,3,14,15,C
2023,3,15,11.2,C
2023,3,16,11.8,C
2023,3,17,15.8,C
2023,3,18,12.7,C
2023,3,19,17.5,C
2023,3,20,13.4,C
2023,3,21,3.6,C
2023,3,22,4.1,C
2023,3,23,6.5,C
2023,3,24,10,C
2023,3,25,14.3,C
2023,3,26,13.5,C
2023,3,27,22.2,C
2023,3,28,21,C
2023,3,29,19.3,C
2023,3,30,13,C
2023,3,31,17.4,C
2023,4,1,17,C
2023,4,2,14.8,C
2023,4,3,21.5,C
2023,4,4,8.1,C
2023,4,5,3.7,C
2023,4,6,7.3,C
2023,4,7,10.6,C
2023,4,8,17.5,C
2023,4,9,15.3,C
2023,4,10,17.6,C
2023,4,11,12.3,C
2023,4,12,10.6,C
2023,4,13,19.9,C
2023,4,14,9,C
2023,4,15,5.6,C
2023,4,16,11.9,C
2023,4,17,13.7,C
2023,4,18,6.6,C
2023,4,19,8.5,C
2023,4,20,9.5,C
2023,4,21,13.2,C
2023,4,22,24.4,C
2023,4,23,18,C
2023,4,24,10.6,C
2023,4,25,6.5,C
2023,4,26,11.4,C
2023,4,27,20.6,C
2023,4,28,14.5,C
2023,4,29,8.4,C
2023,4,30,10.3,C
2023,5,1,22.1,C
2023,5,2,18.4,C
2023,5,3,13.2,C
2023,5,4,13.5,C
2023,5,5,7.3,C
2023,5,6,7.8,C
2023,5,7,5.3,C
2023,5,8,11,C
2023,5,9,26,C
2023,5,10,26.5,C
2023,5,11,20.5,C
2023,5,12,10.3,C
2023,5,13,2.3,C
2023,5,14,6.8,C
2023,5,15,6.7,C
2023,5,16,9.2,C
2023,5,17,7.8,C
2023,5,18,9.8,C
2023,5,19,6.5,C
2023,5,20,7.1,C
2023,5,21,6.9,C
2023,5,22,12.5,C
2023,5,23,14.8,C
2023,5,24,20,C
2023,5,25,16.5,C
2023,5,26,11.4,C
2023,5,27,16.1,C
2023,5,28,13.3,C
2023,5,29,9.8,C
2023,5,30,7.5,C
2023,5,31,10.3,C
2023,6,1,10.5,C
2023,6,2,10.7,C
2023,6,3,11.3,C
2023,6,4,17.6,C
2023,6,5,21.1,C
2023,6,6,13.8,C
2023,6,7,6.5,C
2023,6,8,6.4,C
2023,6,9,5.3,C
2023,6,10,4.2,C
2023,6,11,9.4,C
2023,6,12,14,C
2023,6,13,6,C
2023,6,14,4.1,C
2023,6,15,7,C
2023,6,16,3.8,C
2023,6,17,7.2,C
2023,6,18,3,C
2023,6,19,4.5,C
2023,6,20,8.1,C
2023,6,21,11.2,C
2023,6,22,10.1,C
2023,6,23,4.5,C
2023,6,24,4,C
2023,6,25,8.3,C
2023,6,26,11.7,C
2023,6,27,15.8,C
2023,6,28,11.1,C
2023,6,29,7,C
2023,6,30,6.6,C
2023,7,1,5.5,C
2023,7,2,4.8,C
2023,7,3,5.1,C
2023,7,4,8.8,C
2023,7,5,12.3,C
2023,7,6,14.3,C
2023,7,7,12.5,C
2023,7,8,11.1,C
2023,7,9,13.5,C
2023,7,10,15,C
2023,7,11,11.7,C
2023,7,12,5.5,C
2023,7,13,9.7,C
2023,7,14,6.5,C
2023,7,15,10.8,C
2023,7,16,26.4,C
2023,7,17,35.7,C
2023,7,18,11,C
2023,7,19,12.5,C
2023,7,20,11.7,C
2023,7,21,5.6,C
2023,7,22,9.7,C
2023,7,23,12.3,C
2023,7,24,9,C
2023,7,25,9.4,C
2023,7,26,7.8,C
2023,7,27,7.5,C
2023,7,28,11.6,C
2023,7,29,9.7,C
2023,7,30,7.6,C
2023,7,31,13.4,C
2023,8,1,10.6,C
2023,8,2,8.4,C
2023,8,3,7.1,C
2023,8,4,12.7,C
2023,8,5,16.3,C
2023,8,6,14.6,C
2023,8,7,10.6,C
2023,8,8,10.7,C
2023,8,9,13.2,C
2023,8,10,9.4,C
2023,8,11,***,
2023,8,12,***,
2023,8,13,***,
2023,8,14,***,
2023,8,15,***,
2023,8,16,***,
2023,8,17,9.3,#
2023,8,18,8.5,C
2023,8,19,6.4,C
2023,8,20,5.4,C
2023,8,21,11.2,C
2023,8,22,3.8,C
2023,8,23,5.7,C
2023,8,24,11.7,C
2023,8,25,10.5,C
2023,8,26,9.5,C
2023,8,27,8.2,C
2023,8,28,7,C
2023,8,29,7.7,C
2023,8,30,7.1,C
2023,8,31,7.3,C
2023,9,1,27,C
2023,9,2,31.8,C
2023,9,3,15.6,C
2023,9,4,9.8,C
2023,9,5,10.8,C
2023,9,6,11.7,C
2023,9,7,9.4,C
2023,9,8,15.5,C
2023,9,9,14.1,C
2023,9,10,11.7,C
2023,9,11,8.6,C
2023,9,12,12.3,C
2023,9,13,14,C
2023,9,14,6.5,C
2023,9,15,10,C
2023,9,16,12,C
2023,9,17,11.7,C
2023,9,18,13,C
2023,9,19,10.3,C
2023,9,20,6.8,C
2023,9,21,5.4,C
2023,9,22,9.6,C
2023,9,23,16.7,C
2023,9,24,20.7,C
2023,9,25,21.3,C
2023,9,26,20.6,C
2023,9,27,18.5,C
2023,9,28,20.3,C
2023,9,29,16.5,C
2023,9,30,8.9,C
2023,10,1,11.3,C
2023,10,2,18.5,C
2023,10,3,8.1,C
2023,10,4,9.3,C
2023,10,5,9.6,C
2023,10,6,9.7,C
2023,10,7,14.7,C
2023,10,8,34.1,C
2023,10,9,21.1,C
2023,10,10,15.7,C
2023,10,11,13,C
2023,10,12,11.7,C
2023,10,13,11.4,C
2023,10,14,4.2,C
2023,10,15,12.3,C
2023,10,16,20,C
2023,10,17,25,C
2023,10,18,24.2,C
2023,10,19,15.3,C
2023,10,20,11.9,C
2023,10,21,12,C
2023,10,22,11.7,C
2023,10,23,12.5,C
2023,10,24,13.4,C
2023,10,25,14.6,C
2023,10,26,14,C
2023,10,27,13.5,C
2023,10,28,15,C
2023,10,29,17,C
2023,10,30,11.5,C
2023,10,31,16.3,C
2023,11,1,16.8,C
2023,11,2,16.3,C
2023,11,3,11.7,C
2023,11,4,10.3,C
2023,11,5,9.2,C
2023,11,6,6.3,C
2023,11,7,17.6,C
2023,11,8,21.3,C
2023,11,9,16.6,C
2023,11,10,12.7,C
2023,11,11,20,C
2023,11,12,13.2,C
2023,11,13,11.9,C
2023,11,14,9,C
2023,11,15,16.4,C
2023,11,16,10.4,C
2023,11,17,12.9,C
2023,11,18,10.1,C
2023,11,19,6.7,C
2023,11,20,7.4,C
2023,11,21,11.9,C
2023,11,22,6.7,C
2023,11,23,2.6,C
2023,11,24,22,C
2023,11,25,22.7,C
2023,11,26,11.4,C
2023,11,27,3,C
2023,11,28,16.4,C
2023,11,29,18.9,C
2023,11,30,11.1,C
2023,12,1,13,C
2023,12,2,11.5,C
2023,12,3,13.2,C
2023,12,4,7.3,C
2023,12,5,4.4,C
2023,12,6,7.2,C
2023,12,7,6.6,C
2023,12,8,10.5,C
2023,12,9,12,C
2023,12,10,11.9,C
2023,12,11,5.5,C
2023,12,12,9.4,C
2023,12,13,22,C
2023,12,14,16.9,C
2023,12,15,10.1,C
2023,12,16,12.8,C
2023,12,17,12.4,C
2023,12,18,15.1,C
2023,12,19,14.2,C
2023,12,20,12.6,C
2023,12,21,13.8,C
2023,12,22,10.6,C
2023,12,23,9,C
2023,12,24,6.6,C
2023,12,25,7.1,C
2023,12,26,10.2,C
2023,12,27,8.2,C
2023,12,28,11.7,C
2023,12,29,19.1,C
2023,12,30,5.3,C
2023,12,31,6.8,C
