年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,12.9,C
2023,1,2,10.3,C
2023,1,3,14.6,C
2023,1,4,8.9,C
2023,1,5,7.2,C
2023,1,6,7.9,C
2023,1,7,11,C
2023,1,8,12.4,C
2023,1,9,8.2,C
2023,1,10,5,C
2023,1,11,14.1,C
2023,1,12,24.4,C
2023,1,13,8.1,C
2023,1,14,3.5,C
2023,1,15,20.1,C
2023,1,16,21,C
2023,1,17,20.8,C
2023,1,18,17.8,C
2023,1,19,8,C
2023,1,20,9.7,C
2023,1,21,14.5,C
2023,1,22,6.5,C
2023,1,23,5.5,C
2023,1,24,16.4,C
2023,1,25,9.2,C
2023,1,26,6.9,C
2023,1,27,18.4,C
2023,1,28,11,C
2023,1,29,9.5,C
2023,1,30,9.6,C
2023,1,31,12,C
2023,2,1,6,C
2023,2,2,16.7,C
2023,2,3,15.5,C
2023,2,4,14.5,C
2023,2,5,9.1,C
2023,2,6,6.5,C
2023,2,7,5.5,C
2023,2,8,15.6,C
2023,2,9,13,C
2023,2,10,7.3,C
2023,2,11,16.9,C
2023,2,12,18.6,C
2023,2,13,9.1,C
2023,2,14,19.7,C
2023,2,15,11.4,C
2023,2,16,10,C
2023,2,17,8,C
2023,2,18,5.5,C
2023,2,19,8.4,C
2023,2,20,10.5,C
2023,2,21,20.5,C
2023,2,22,17.6,C
2023,2,23,11.7,C
2023,2,24,8.1,C
2023,2,25,13.1,C
2023,2,26,13.3,C
2023,2,27,17.1,C
2023,2,28,13.5,C
2023,3,1,5.1,C
2023,3,2,16.5,C
2023,3,3,17.7,C
2023,3,4,8.8,C
2023,3,5,14.8,C
2023,3,6,14.8,C
2023,3,7,13,C
2023,3,8,4.1,C
2023,3,9,4.9,C
2023,3,10,11.7,C
2023,3,11,11.3,C
2023,3,12,7,C
2023,3,13,8.5,C
2023,3,14,14.5,C
2023,3,15,9.9,C
2023,3,16,11.7,C
2023,3,17,13.3,C
2023,3,18,9.3,C
2023,3,19,19.6,C
2023,3,20,15.7,C
2023,3,21,9.4,C
2023,3,22,8.4,C
2023,3,23,9,C
2023,3,24,12.5,C
2023,3,25,20.8,C
2023,3,26,10,C
2023,3,27,15.2,C
2023,3,28,12.3,C
2023,3,29,20.7,C
2023,3,30,15.3,C
2023,3,31,19.8,C
2023,4,1,16.2,C
2023,4,2,17.1,C
2023,4,3,26.6,C
2023,4,4,19.4,C
2023,4,5,13.3,C
2023,4,6,10.5,C
2023,4,7,21.7,C
2023,4,8,12.6,C
2023,4,9,9.8,C
2023,4,10,13.6,C
2023,4,11,10.1,C
2023,4,12,7.8,C
2023,4,13,17.1,C
2023,4,14,5.8,C
2023,4,15,7.1,C
2023,4,16,11.9,C
2023,4,17,12.3,C
2023,4,18,11,C
2023,4,19,8.1,C
2023,4,20,8,C
2023,4,21,15.5,C
2023,4,22,27.5,C
2023,4,23,20.6,C
2023,4,24,10.9,C
2023,4,25,18.7,C
2023,4,26,20,C
2023,4,27,20,C
2023,4,28,17.5,C
2023,4,29,8.4,C
2023,4,30,18.6,C
2023,5,1,19.7,C
2023,5,2,14.9,C
2023,5,3,15.8,C
2023,5,4,13.1,C
2023,5,5,10.9,C
2023,5,6,10.2,C
2023,5,7,8.6,C
2023,5,8,8.1,C
2023,5,9,19.7,C
2023,5,10,21,C
2023,5,11,15.4,C
2023,5,12,6.6,C
2023,5,13,8.6,C
2023,5,14,6.8,C
2023,5,15,5.6,C
2023,5,16,9.2,C
2023,5,17,9.1,C
2023,5,18,8.1,C
2023,5,19,6.6,C
2023,5,20,9.7,C
2023,5,21,11,C
2023,5,22,11.3,C
2023,5,23,16.4,C
2023,5,24,22.2,C
2023,5,25,17.8,C
2023,5,26,17.5,C
2023,5,27,14.4,C
2023,5,28,12.2,C
2023,5,29,8,C
2023,5,30,6.6,C
2023,5,31,6.7,C
2023,6,1,9.7,C
2023,6,2,7.8,C
2023,6,3,7.6,C
2023,6,4,15.7,C
2023,6,5,19.9,C
2023,6,6,14.5,C
2023,6,7,12.5,C
2023,6,8,10.4,C
2023,6,9,7.3,C
2023,6,10,5.5,C
2023,6,11,7.9,C
2023,6,12,12.9,C
2023,6,13,6.9,C
2023,6,14,7.9,C
2023,6,15,8,C
2023,6,16,7.7,C
2023,6,17,9,C
2023,6,18,9.5,C
2023,6,19,11.3,C
2023,6,20,12.9,C
2023,6,21,13.6,C
2023,6,22,12.8,C
2023,6,23,13.5,C
2023,6,24,8.8,C
2023,6,25,10.5,C
2023,6,26,8.4,C
2023,6,27,12.5,C
2023,6,28,11.1,C
2023,6,29,6.8,C
2023,6,30,9.7,C
2023,7,1,7.8,C
2023,7,2,7.3,C
2023,7,3,10.2,C
2023,7,4,10.2,C
2023,7,5,12.6,C
2023,7,6,10,C
2023,7,7,11.6,C
2023,7,8,7.8,C
2023,7,9,8.3,C
2023,7,10,9.2,C
2023,7,11,7.8,C
2023,7,12,8.7,C
2023,7,13,7,C
2023,7,14,6.3,C
2023,7,15,6.9,C
2023,7,16,16.9,C
2023,7,17,37.3,C
2023,7,18,24.3,C
2023,7,19,13,C
2023,7,20,9,C
2023,7,21,5,C
2023,7,22,6.6,C
2023,7,23,9.2,C
2023,7,24,6.5,C
2023,7,25,8.3,C
2023,7,26,6.6,C
2023,7,27,11,C
2023,7,28,8.3,C
2023,7,29,12.4,C
2023,7,30,10.5,C
2023,7,31,13.9,C
2023,8,1,7.7,C
2023,8,2,7.6,C
2023,8,3,8.2,C
2023,8,4,14.9,C
2023,8,5,14,C
2023,8,6,13.6,C
2023,8,7,9.4,C
2023,8,8,8.7,C
2023,8,9,10.3,C
2023,8,10,5.8,C
2023,8,11,13.4,C
2023,8,12,7.5,C
2023,8,13,8,C
2023,8,14,8,C
2023,8,15,5.4,C
2023,8,16,9.3,C
2023,8,17,8.8,C
2023,8,18,7.5,C
2023,8,19,5,C
2023,8,20,6,C
2023,8,21,9.1,C
2023,8,22,6.5,C
2023,8,23,7.3,C
2023,8,24,9.7,C
2023,8,25,5.9,C
2023,8,26,7.6,C
2023,8,27,8.1,C
2023,8,28,6.6,C
2023,8,29,6.6,C
2023,8,30,15.2,C
2023,8,31,19,C
2023,9,1,43.3,C
2023,9,2,33.5,C
2023,9,3,13,C
2023,9,4,4.8,C
2023,9,5,5.3,C
2023,9,6,6.3,C
2023,9,7,8,C
2023,9,8,15,C
2023,9,9,17,C
2023,9,10,15.2,C
2023,9,11,16,C
2023,9,12,11.5,C
2023,9,13,15.8,C
2023,9,14,8.6,C
2023,9,15,10,C
2023,9,16,11.9,C
2023,9,17,11.5,C
2023,9,18,8.5,C
2023,9,19,6.7,C
2023,9,20,6.4,C
2023,9,21,6,C
2023,9,22,7,C
2023,9,23,14.1,C
2023,9,24,16.7,C
2023,9,25,17.3,C
2023,9,26,17.5,C
2023,9,27,15.5,C
2023,9,28,15.5,C
2023,9,29,12,C
2023,9,30,5.3,C
2023,10,1,9.2,C
2023,10,2,15.8,C
2023,10,3,9.2,C
2023,10,4,9,C
2023,10,5,16.5,C
2023,10,6,17.7,C
2023,10,7,34.1,C
2023,10,8,28.3,C
2023,10,9,16.8,C
2023,10,10,9.8,C
2023,10,11,9,C
2023,10,12,8.5,C
2023,10,13,9.9,C
2023,10,14,8.5,C
2023,10,15,8.6,C
2023,10,16,12.4,C
2023,10,17,17.9,C
2023,10,18,21.5,C
2023,10,19,20.1,C
2023,10,20,10.5,C
2023,10,21,12.3,C
2023,10,22,8,C
2023,10,23,8.9,C
2023,10,24,11.2,C
2023,10,25,11.4,C
2023,10,26,9.2,C
2023,10,27,9.8,C
2023,10,28,11.6,C
2023,10,29,12.9,C
2023,10,30,7.5,C
2023,10,31,11.3,C
2023,11,1,11.5,C
2023,11,2,12.3,C
2023,11,3,9.8,C
2023,11,4,8.9,C
2023,11,5,7.3,C
2023,11,6,7.5,C
2023,11,7,12.5,C
2023,11,8,16.5,C
2023,11,9,16,C
2023,11,10,11,C
2023,11,11,15.1,C
2023,11,12,10.1,C
2023,11,13,12.5,C
2023,11,14,8.5,C
2023,11,15,11.3,C
2023,11,16,23.4,C
2023,11,17,18.6,C
2023,11,18,11,C
2023,11,19,6.8,C
2023,11,20,6.9,C
2023,11,21,10.1,C
2023,11,22,7,C
2023,11,23,4.7,C
2023,11,24,13.4,C
2023,11,25,14,C
2023,11,26,7.1,C
2023,11,27,5.3,C
2023,11,28,10.9,C
2023,11,29,10,C
2023,11,30,9.4,C
2023,12,1,10.9,C
2023,12,2,8.3,C
2023,12,3,7.7,C
2023,12,4,7.5,C
2023,12,5,8.9,C
2023,12,6,11.5,C
2023,12,7,11.7,C
2023,12,8,7.8,C
2023,12,9,8.5,C
2023,12,10,8.8,C
2023,12,11,3.8,C
2023,12,12,5.8,C
2023,12,13,13,C
2023,12,14,12.3,C
2023,12,15,9.7,C
2023,12,16,23,C
2023,12,17,13.9,C
2023,12,18,8.6,C
2023,12,19,30.7,C
2023,12,20,31.5,C
2023,12,21,25.8,C
2023,12,22,17.1,C
2023,12,23,18.2,C
2023,12,24,21.6,C
2023,12,25,10.6,C
2023,12,26,5.8,C
2023,12,27,6,C
2023,12,28,4.9,C
2023,12,29,10.5,C
2023,12,30,5.3,C
2023,12,31,4.5,C
