年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,5.5,C
2023,1,2,6,C
2023,1,3,6.6,C
2023,1,4,10,C
2023,1,5,10,C
2023,1,6,8.2,C
2023,1,7,8.8,C
2023,1,8,15.9,C
2023,1,9,7.9,C
2023,1,10,7.1,C
2023,1,11,13.5,C
2023,1,12,14.2,C
2023,1,13,5.8,C
2023,1,14,3.9,C
2023,1,15,9.2,C
2023,1,16,10.7,C
2023,1,17,8.2,C
2023,1,18,7.8,C
2023,1,19,4.6,C
2023,1,20,7.7,C
2023,1,21,15.7,C
2023,1,22,9.3,C
2023,1,23,7.8,C
2023,1,24,13.4,C
2023,1,25,9.2,C
2023,1,26,11,C
2023,1,27,8.8,C
2023,1,28,8.5,C
2023,1,29,7,C
2023,1,30,8.4,C
2023,1,31,12,C
2023,2,1,9.8,C
2023,2,2,14.7,C
2023,2,3,14.5,C
2023,2,4,14.4,C
2023,2,5,11.4,C
2023,2,6,9.3,C
2023,2,7,9.4,C
2023,2,8,14.9,C
2023,2,9,11.5,C
2023,2,10,8.7,C
2023,2,11,13.8,C
2023,2,12,9.2,C
2023,2,13,9.5,C
2023,2,14,8.6,C
2023,2,15,9.7,C
2023,2,16,10.7,C
2023,2,17,11.6,C
2023,2,18,7.2,C
2023,2,19,6.9,C
2023,2,20,12.1,C
2023,2,21,20,C
2023,2,22,16.1,C
2023,2,23,13.1,C
2023,2,24,7.2,C
2023,2,25,9.3,C
2023,2,26,11.1,C
2023,2,27,16.2,C
2023,2,28,14.5,C
2023,3,1,7.7,C
2023,3,2,13.3,C
2023,3,3,15.2,C
2023,3,4,11.8,C
2023,3,5,12.1,C
2023,3,6,12.1,C
2023,3,7,10,C
2023,3,8,6,C
2023,3,9,5.4,C
2023,3,10,11.9,C
2023,3,11,10.6,C
2023,3,12,7.8,C
2023,3,13,8.5,C
2023,3,14,11.6,C
2023,3,15,9.9,C
2023,3,16,10.3,C
2023,3,17,13,C
2023,3,18,10.3,C
2023,3,19,14.3,C
2023,3,20,9.2,C
2023,3,21,5.4,C
2023,3,22,5.3,C
2023,3,23,6.3,C
2023,3,24,12.3,C
2023,3,25,15.2,C
2023,3,26,9.9,C
2023,3,27,13.8,C
2023,3,28,12.5,C
2023,3,29,13.5,C
2023,3,30,9.6,C
2023,3,31,11.8,C
2023,4,1,11.7,C
2023,4,2,12,C
2023,4,3,14.9,C
2023,4,4,12.1,C
2023,4,5,6.9,C
2023,4,6,6.5,C
2023,4,7,9,C
2023,4,8,11.1,C
2023,4,9,10.8,C
2023,4,10,11.5,C
2023,4,11,8.2,C
2023,4,12,9.5,C
2023,4,13,15.5,C
2023,4,14,8.5,C
2023,4,15,5.7,C
2023,4,16,10.4,C
2023,4,17,10,C
2023,4,18,8.2,C
2023,4,19,7.9,C
2023,4,20,9,C
2023,4,21,12.8,C
2023,4,22,20.3,C
2023,4,23,12.8,C
2023,4,24,9.5,C
2023,4,25,7.5,C
2023,4,26,11.4,C
2023,4,27,15.6,C
2023,4,28,11.7,C
2023,4,29,6.3,C
2023,4,30,9.4,C
2023,5,1,15.2,C
2023,5,2,13,C
2023,5,3,9.3,C
2023,5,4,11.8,C
2023,5,5,9,C
2023,5,6,5.8,C
2023,5,7,5.3,C
2023,5,8,6,C
2023,5,9,17.6,C
2023,5,10,18.2,C
2023,5,11,13.1,C
2023,5,12,7.5,C
2023,5,13,2.5,C
2023,5,14,4.2,C
2023,5,15,6.5,C
2023,5,16,7,C
2023,5,17,5.4,C
2023,5,18,6,C
2023,5,19,5.6,C
2023,5,20,7.1,C
2023,5,21,7.3,C
2023,5,22,8.5,C
2023,5,23,11.4,C
2023,5,24,13.6,C
2023,5,25,12.3,C
2023,5,26,10.9,C
2023,5,27,10.8,C
2023,5,28,10.3,C
2023,5,29,8,C
2023,5,30,6.3,C
2023,5,31,9.1,C
2023,6,1,7.6,C
2023,6,2,7.2,C
2023,6,3,9.4,C
2023,6,4,11.8,C
2023,6,5,15.9,C
2023,6,6,10.9,C
2023,6,7,9.9,C
2023,6,8,9.8,C
2023,6,9,4.4,C
2023,6,10,4.2,C
2023,6,11,7.5,C
2023,6,12,9.6,C
2023,6,13,6.9,C
2023,6,14,5.4,C
2023,6,15,4.5,C
