年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,17,C
2023,1,2,15.3,C
2023,1,3,17.2,C
2023,1,4,11,C
2023,1,5,9,C
2023,1,6,11.5,C
2023,1,7,14.5,C
2023,1,8,19.6,C
2023,1,9,13.6,C
2023,1,10,7.9,C
2023,1,11,19.8,C
2023,1,12,29.2,C
2023,1,13,7.3,C
2023,1,14,2.7,C
2023,1,15,21.9,C
2023,1,16,24.7,C
2023,1,17,21.8,C
2023,1,18,17.8,C
2023,1,19,13.8,C
2023,1,20,11.8,C
2023,1,21,25.8,C
2023,1,22,6.5,C
2023,1,23,5.1,C
2023,1,24,31,C
2023,1,25,13.1,C
2023,1,26,12.3,C
2023,1,27,26.5,C
2023,1,28,17.5,C
2023,1,29,12.4,C
2023,1,30,9.7,C
2023,1,31,21.8,C
2023,2,1,9.1,C
2023,2,2,21.2,C
2023,2,3,21.8,C
2023,2,4,25.5,C
2023,2,5,19.3,C
2023,2,6,8,C
2023,2,7,6.3,C
2023,2,8,29.3,C
2023,2,9,17.6,C
2023,2,10,4.5,C
2023,2,11,23.4,C
2023,2,12,15.7,C
2023,2,13,9.1,C
2023,2,14,23.6,C
2023,2,15,13.8,C
2023,2,16,12.5,C
2023,2,17,12.1,C
2023,2,18,6.9,C
2023,2,19,10.8,C
2023,2,20,14.3,C
2023,2,21,29.9,C
2023,2,22,20.5,C
2023,2,23,14.1,C
2023,2,24,11.6,C
2023,2,25,20.8,C
2023,2,26,17.5,C
2023,2,27,23.4,C
2023,2,28,18,C
2023,3,1,6,C
2023,3,2,17.5,C
2023,3,3,19.3,C
2023,3,4,12.2,C
2023,3,5,17.2,C
2023,3,6,21,C
2023,3,7,11.6,C
2023,3,8,3.2,C
2023,3,9,3.5,C
2023,3,10,13.9,C
2023,3,11,13,C
2023,3,12,3,#
2023,3,13,***,
2023,3,14,***,
2023,3,15,***,
2023,3,16,20.9,#
2023,3,17,14,C
2023,3,18,8.3,C
2023,3,19,26.1,C
2023,3,20,14.3,C
2023,3,21,10.3,C
2023,3,22,13.1,C
2023,3,23,11.4,C
2023,3,24,9.8,C
2023,3,25,20.2,C
2023,3,26,13.7,C
2023,3,27,23.5,C
2023,3,28,17.6,C
2023,3,29,22.4,C
2023,3,30,16.7,C
2023,3,31,24.8,C
2023,4,1,22.6,C
2023,4,2,24.1,C
2023,4,3,33.3,C
2023,4,4,18.1,C
2023,4,5,12.8,C
2023,4,6,12,C
2023,4,7,19.4,C
2023,4,8,18.3,C
2023,4,9,13.7,C
2023,4,10,16.3,C
2023,4,11,7.1,C
2023,4,12,5.7,C
2023,4,13,23,C
2023,4,14,8.8,C
2023,4,15,10.1,C
2023,4,16,9.5,C
2023,4,17,8.5,C
2023,4,18,10.4,C
2023,4,19,8.5,C
2023,4,20,8.3,C
2023,4,21,16,C
2023,4,22,37.4,C
2023,4,23,28.8,C
2023,4,24,14.8,C
2023,4,25,18,C
2023,4,26,18.8,C
2023,4,27,28.2,C
2023,4,28,16.3,C
2023,4,29,8,C
2023,4,30,15.7,C
2023,5,1,25.1,C
2023,5,2,23.2,C
2023,5,3,12.2,C
2023,5,4,10.3,C
2023,5,5,8.7,C
2023,5,6,12,C
2023,5,7,10.8,C
2023,5,8,13.3,C
2023,5,9,28.5,C
2023,5,10,32.4,C
2023,5,11,24.2,C
2023,5,12,10.9,C
2023,5,13,9.2,C
2023,5,14,9.7,C
2023,5,15,6.1,C
2023,5,16,7.9,C
2023,5,17,6.8,C
2023,5,18,8.2,C
2023,5,19,5.7,C
2023,5,20,9.2,C
2023,5,21,10.5,C
2023,5,22,9.3,C
2023,5,23,19,C
2023,5,24,26.3,C
2023,5,25,24.6,C
2023,5,26,12.8,C
2023,5,27,8.4,C
2023,5,28,8.4,C
2023,5,29,5.8,C
2023,5,30,3.6,C
2023,5,31,4.6,C
2023,6,1,9.3,C
2023,6,2,6.9,C
2023,6,3,6.6,C
2023,6,4,10.3,C
2023,6,5,17.9,C
2023,6,6,12.3,C
2023,6,7,11.3,C
2023,6,8,8.7,C
2023,6,9,5.2,C
2023,6,10,4.8,C
2023,6,11,5.6,C
2023,6,12,8.1,C
2023,6,13,5.7,C
2023,6,14,6,C
2023,6,15,6.4,C
2023,6,16,5.9,C
2023,6,17,6,C
2023,6,18,9.3,C
2023,6,19,9.8,C
2023,6,20,9.4,C
2023,6,21,9.4,C
2023,6,22,8.9,C
2023,6,23,10.9,C
2023,6,24,8.2,C
2023,6,25,7.1,C
2023,6,26,6.7,C
2023,6,27,11.2,C
2023,6,28,8.7,C
2023,6,29,7,C
2023,6,30,5.7,C
2023,7,1,4.9,C
2023,7,2,4.8,C
2023,7,3,6.9,C
2023,7,4,6.9,C
2023,7,5,8.1,C
2023,7,6,8.5,C
2023,7,7,8.9,C
2023,7,8,7.2,C
2023,7,9,6.5,C
2023,7,10,7.4,C
2023,7,11,7.7,C
2023,7,12,7.1,C
2023,7,13,6,C
2023,7,14,3.8,C
2023,7,15,5.7,C
2023,7,16,23.5,C
2023,7,17,44.1,C
2023,7,18,19.8,C
2023,7,19,9.2,C
2023,7,20,7.1,C
2023,7,21,4.9,C
2023,7,22,5.3,C
2023,7,23,6.7,C
2023,7,24,5.6,C
2023,7,25,4.7,C
2023,7,26,8.8,C
2023,7,27,12.1,C
2023,7,28,9.5,C
2023,7,29,9.6,C
2023,7,30,10.1,C
2023,7,31,11.9,C
2023,8,1,6.7,C
2023,8,2,6,C
2023,8,3,6.8,C
2023,8,4,7.3,C
2023,8,5,9.8,C
2023,8,6,7.9,C
2023,8,7,5.8,C
2023,8,8,5.3,C
