年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,12.7,C
2023,1,2,13.2,C
2023,1,3,14.8,C
2023,1,4,14.3,C
2023,1,5,10.3,C
2023,1,6,10.2,C
2023,1,7,15.6,C
2023,1,8,11.8,#
2023,1,9,6,C
2023,1,10,8.9,C
2023,1,11,14.4,C
2023,1,12,15.4,C
2023,1,13,8.6,C
2023,1,14,4,C
2023,1,15,16.1,C
2023,1,16,18.8,#
2023,1,17,13.5,C
2023,1,18,12.7,C
2023,1,19,5.9,C
2023,1,20,10.7,#
2023,1,21,21.5,C
2023,1,22,7.6,C
2023,1,23,10.5,C
2023,1,24,24.5,#
2023,1,25,13.9,#
2023,1,26,6,#
2023,1,27,21.7,C
2023,1,28,16.8,C
2023,1,29,11.3,C
2023,1,30,10.5,C
2023,1,31,10,C
2023,2,1,8.2,#
2023,2,2,19,C
2023,2,3,17.3,C
2023,2,4,22.3,#
2023,2,5,12.2,#
2023,2,6,3.5,#
2023,2,7,8.7,#
2023,2,8,24.7,#
2023,2,9,13.7,C
2023,2,10,8.4,#
2023,2,11,19.2,C
2023,2,12,12.2,C
2023,2,13,5.6,#
2023,2,14,18.4,#
2023,2,15,14.8,#
2023,2,16,17.2,#
2023,2,17,11.3,C
2023,2,18,5.3,C
2023,2,19,10.3,C
2023,2,20,14.9,C
2023,2,21,32.5,C
2023,2,22,23.3,#
2023,2,23,16.2,C
2023,2,24,7.9,C
2023,2,25,19.8,C
2023,2,26,19.3,C
2023,2,27,24.6,C
2023,2,28,14.9,#
2023,3,1,7.6,#
2023,3,2,23,C
2023,3,3,20,C
2023,3,4,8.2,#
2023,3,5,13.5,#
2023,3,6,13.6,C
2023,3,7,12.1,C
2023,3,8,7.5,#
2023,3,9,7.2,C
2023,3,10,10.5,C
2023,3,11,11.6,C
2023,3,12,9.3,C
2023,3,13,14.3,C
2023,3,14,19.6,#
2023,3,15,10.7,C
2023,3,16,13.2,C
2023,3,17,16.7,C
2023,3,18,17.1,C
2023,3,19,26.9,C
2023,3,20,17.3,C
2023,3,21,8.7,C
2023,3,22,10.7,C
2023,3,23,12.2,C
2023,3,24,19.5,C
2023,3,25,22.7,C
2023,3,26,10.3,C
2023,3,27,21.6,C
2023,3,28,13.6,C
2023,3,29,21.8,C
2023,3,30,18,C
2023,3,31,25.8,C
2023,4,1,13.8,C
2023,4,2,24,C
2023,4,3,26.7,C
2023,4,4,23.8,C
2023,4,5,12.8,C
2023,4,6,10.1,C
2023,4,7,17.5,C
2023,4,8,16.5,C
2023,4,9,14.2,C
2023,4,10,16.8,C
2023,4,11,12.3,C
2023,4,12,11.8,C
2023,4,13,25.3,C
2023,4,14,7.4,C
2023,4,15,8.8,C
2023,4,16,11,C
2023,4,17,13.8,C
2023,4,18,13.3,C
2023,4,19,8.9,C
2023,4,20,12.5,C
2023,4,21,22.6,C
2023,4,22,30,C
2023,4,23,23.4,C
2023,4,24,12.3,C
2023,4,25,7.7,C
2023,4,26,18.8,C
2023,4,27,22.6,C
2023,4,28,13.4,C
2023,4,29,5.7,C
2023,4,30,14.5,C
2023,5,1,27.7,C
2023,5,2,18.3,C
2023,5,3,16.8,C
2023,5,4,17.1,C
2023,5,5,16,C
2023,5,6,12.7,C
2023,5,7,8.5,C
2023,5,8,10.4,C
2023,5,9,30.8,C
2023,5,10,30.8,C
2023,5,11,15,C
2023,5,12,8.5,C
2023,5,13,5.6,C
2023,5,14,6.8,C
2023,5,15,8,C
2023,5,16,11.8,C
2023,5,17,9.2,C
2023,5,18,6.3,C
2023,5,19,11.1,C
2023,5,20,14.8,C
2023,5,21,11.1,C
2023,5,22,9,C
2023,5,23,20.1,C
2023,5,24,22.8,C
2023,5,25,17.1,C
2023,5,26,17.5,C
2023,5,27,16.8,C
2023,5,28,12.4,C
2023,5,29,6.2,C
2023,5,30,8,C
2023,5,31,9.5,C
2023,6,1,8.6,C
2023,6,2,7.1,C
2023,6,3,13.5,C
2023,6,4,22.9,C
2023,6,5,32.2,C
2023,6,6,20.3,C
2023,6,7,17.2,C
2023,6,8,16.7,C
2023,6,9,7.2,C
2023,6,10,7.3,C
2023,6,11,11.8,C
2023,6,12,17.4,C
2023,6,13,8.8,C
2023,6,14,8,C
2023,6,15,8.2,C
2023,6,16,5.8,C
2023,6,17,7.5,C
2023,6,18,9.9,C
2023,6,19,10.7,C
2023,6,20,9.6,C
2023,6,21,10.3,C
2023,6,22,10.3,C
2023,6,23,9.9,C
2023,6,24,10.8,C
2023,6,25,10.3,C
2023,6,26,15.3,C
2023,6,27,17.6,C
2023,6,28,10.1,C
2023,6,29,11,C
2023,6,30,8.9,C
2023,7,1,4.9,C
2023,7,2,7.4,C
2023,7,3,10.4,C
2023,7,4,7,C
2023,7,5,10,C
2023,7,6,8.8,C
2023,7,7,10.3,C
2023,7,8,8.9,C
2023,7,9,7.1,C
2023,7,10,6.3,C
2023,7,11,7.7,C
2023,7,12,10.8,C
2023,7,13,10.8,C
2023,7,14,6.1,#
2023,7,15,10.1,C
2023,7,16,23.5,C
2023,7,17,57,C
2023,7,18,32.4,C
2023,7,19,16.4,C
2023,7,20,12.4,C
2023,7,21,7.9,C
2023,7,22,10.4,C
2023,7,23,11.6,C
2023,7,24,10.9,C
2023,7,25,8.5,C
2023,7,26,8.9,C
2023,7,27,10.4,C
2023,7,28,7.5,C
2023,7,29,16.5,C
2023,7,30,11,C
2023,7,31,20.1,C
2023,8,1,7.3,C
2023,8,2,6.8,C
2023,8,3,8,C
2023,8,4,10.1,C
2023,8,5,9.8,C
2023,8,6,7.8,C
2023,8,7,5.5,C
2023,8,8,7,C
2023,8,9,6.8,C
2023,8,10,4.7,C
2023,8,11,8,C
2023,8,12,7,C
2023,8,13,5.7,C
2023,8,14,4.8,C
2023,8,15,7,C
2023,8,16,6.6,C
2023,8,17,5.6,C
2023,8,18,5.5,C
2023,8,19,6.8,C
2023,8,20,9,C
2023,8,21,8.5,C
2023,8,22,7.7,C
2023,8,23,9.8,C
2023,8,24,8.2,C
2023,8,25,7.2,C
2023,8,26,11.8,C
2023,8,27,13.5,C
2023,8,28,9.4,C
2023,8,29,8,C
2023,8,30,14.5,C
2023,8,31,14.3,C
2023,9,1,35,C
2023,9,2,54.1,C
2023,9,3,12.8,C
2023,9,4,9.3,C
2023,9,5,8.8,C
2023,9,6,6,C
2023,9,7,20.3,C
2023,9,8,29.1,C
2023,9,9,17.4,C
2023,9,10,25.3,C
2023,9,11,17.1,C
2023,9,12,13,C
2023,9,13,20.8,C
2023,9,14,11.2,C
2023,9,15,8.6,C
2023,9,16,13.9,C
2023,9,17,9.7,C
2023,9,18,9.3,C
2023,9,19,10,C
2023,9,20,8.3,C
2023,9,21,6.7,C
2023,9,22,10.1,C
2023,9,23,15.6,C
2023,9,24,24.2,C
2023,9,25,24.2,C
2023,9,26,25.2,C
2023,9,27,14.6,C
2023,9,28,24,C
2023,9,29,17.8,C
2023,9,30,7.2,C
2023,10,1,14.4,C
2023,10,2,26.8,C
2023,10,3,9.6,C
2023,10,4,8.4,C
2023,10,5,16.4,C
2023,10,6,16.9,C
2023,10,7,23,C
2023,10,8,28.7,C
2023,10,9,18.1,C
2023,10,10,10.6,C
2023,10,11,12.8,C
2023,10,12,9.3,C
2023,10,13,11.5,C
2023,10,14,8.8,C
2023,10,15,13.7,C
2023,10,16,19.5,C
2023,10,17,22.2,C
2023,10,18,29.7,C
2023,10,19,28.3,C
2023,10,20,12,C
2023,10,21,15,C
2023,10,22,11.3,C
2023,10,23,12.1,C
2023,10,24,10.8,C
2023,10,25,11.3,C
2023,10,26,12.9,C
2023,10,27,14.9,C
2023,10,28,22.3,C
2023,10,29,20.9,C
2023,10,30,12,C
2023,10,31,18.1,C
2023,11,1,15.3,C
2023,11,2,13.3,C
2023,11,3,11.9,C
2023,11,4,10.2,C
2023,11,5,9,C
2023,11,6,10.2,C
2023,11,7,18.2,C
2023,11,8,28.6,C
2023,11,9,21,C
2023,11,10,14.9,C
2023,11,11,34,C
2023,11,12,13.6,C
2023,11,13,16.7,C
2023,11,14,12.8,C
2023,11,15,15.1,C
2023,11,16,17.6,C
2023,11,17,19.7,C
2023,11,18,14,C
2023,11,19,9.6,C
2023,11,20,8.9,C
2023,11,21,10,C
2023,11,22,8,C
2023,11,23,6.7,C
2023,11,24,27.8,C
2023,11,25,23,C
2023,11,26,11.3,C
2023,11,27,6.8,C
2023,11,28,17,C
2023,11,29,12.7,C
2023,11,30,15.3,C
2023,12,1,16.5,C
2023,12,2,13.5,C
2023,12,3,13.5,C
2023,12,4,8.8,C
2023,12,5,8.5,C
2023,12,6,10.7,C
2023,12,7,10.5,C
2023,12,8,11.4,C
2023,12,9,9.2,C
2023,12,10,11.9,C
2023,12,11,5.5,C
2023,12,12,14.8,C
2023,12,13,25.3,C
2023,12,14,10.4,C
2023,12,15,9.9,C
2023,12,16,20,C
2023,12,17,20.8,C
2023,12,18,9.5,C
2023,12,19,13.5,C
2023,12,20,18.6,C
2023,12,21,23.7,C
2023,12,22,17.8,C
2023,12,23,16.5,C
2023,12,24,16.4,C
2023,12,25,10.9,C
2023,12,26,9.2,C
2023,12,27,5,C
2023,12,28,7.3,C
2023,12,29,12.5,C
2023,12,30,5.2,C
2023,12,31,10.3,C
