年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,4.3,C
2023,1,2,6.1,C
2023,1,3,9.6,C
2023,1,4,8.9,C
2023,1,5,10,C
2023,1,6,16.8,C
2023,1,7,8.9,C
2023,1,8,14.5,C
2023,1,9,6.5,C
2023,1,10,9.5,C
2023,1,11,13,C
2023,1,12,11.4,C
2023,1,13,5,C
2023,1,14,3.9,C
2023,1,15,12.8,C
2023,1,16,10.9,C
2023,1,17,7.1,C
2023,1,18,5.5,C
2023,1,19,3.7,C
2023,1,20,8.8,C
2023,1,21,12.5,C
2023,1,22,8.1,C
2023,1,23,8.1,C
2023,1,24,32,#
2023,1,25,***,
2023,1,26,8.9,#
2023,1,27,18.7,C
2023,1,28,20,C
2023,1,29,10.5,C
2023,1,30,4.9,C
2023,1,31,12.4,C
2023,2,1,9.3,C
2023,2,2,11.8,C
2023,2,3,12.1,C
2023,2,4,13.6,C
2023,2,5,9.8,C
2023,2,6,5.6,C
2023,2,7,5.2,C
2023,2,8,15.2,C
2023,2,9,6.5,C
2023,2,10,7.2,C
2023,2,11,14.6,C
2023,2,12,10.8,C
2023,2,13,6.2,C
2023,2,14,17.2,C
2023,2,15,15.7,C
2023,2,16,14.7,C
2023,2,17,11.6,C
2023,2,18,5,C
2023,2,19,8.3,C
2023,2,20,14.3,C
2023,2,21,21.7,C
2023,2,22,16,C
2023,2,23,11.5,C
2023,2,24,10.3,C
2023,2,25,18.5,C
2023,2,26,16.6,C
2023,2,27,18.1,C
2023,2,28,11.6,C
2023,3,1,4.2,C
2023,3,2,14.8,C
2023,3,3,12.9,C
2023,3,4,10,C
2023,3,5,8.1,C
2023,3,6,14.1,C
2023,3,7,8.5,C
2023,3,8,3.5,C
2023,3,9,4,C
2023,3,10,14.9,C
2023,3,11,8.3,C
2023,3,12,11.7,C
2023,3,13,12.8,C
2023,3,14,9.8,C
2023,3,15,6,C
2023,3,16,11.4,C
2023,3,17,12.5,C
2023,3,18,10.6,C
2023,3,19,18.9,C
2023,3,20,10.2,C
2023,3,21,3,C
2023,3,22,13.4,C
2023,3,23,15,C
2023,3,24,5.9,C
2023,3,25,13.3,C
2023,3,26,10.8,C
2023,3,27,17.7,C
2023,3,28,12.5,C
2023,3,29,14.5,C
2023,3,30,9.4,C
2023,3,31,19.1,C
2023,4,1,10.2,C
2023,4,2,17,C
2023,4,3,16.9,C
2023,4,4,8.4,C
2023,4,5,6.2,C
2023,4,6,7.1,C
2023,4,7,10.5,C
2023,4,8,13.3,C
2023,4,9,11,C
2023,4,10,10.4,C
2023,4,11,7.4,C
2023,4,12,6.8,C
2023,4,13,18.7,C
2023,4,14,5.5,C
2023,4,15,10,C
2023,4,16,5.2,C
2023,4,17,12.1,C
2023,4,18,4.6,C
2023,4,19,15.6,C
2023,4,20,9.6,C
2023,4,21,16.4,C
2023,4,22,29,C
2023,4,23,16.8,C
2023,4,24,9.1,C
2023,4,25,4.5,C
2023,4,26,12.8,C
2023,4,27,16.7,C
2023,4,28,10.6,C
2023,4,29,4.5,C
2023,4,30,7.9,C
2023,5,1,18.1,C
2023,5,2,14.3,C
2023,5,3,9.7,C
2023,5,4,11,C
2023,5,5,6.8,C
2023,5,6,10.5,C
2023,5,7,7.2,C
2023,5,8,13.2,C
2023,5,9,22,C
2023,5,10,21.4,C
2023,5,11,12,C
2023,5,12,8.4,C
2023,5,13,2.3,C
2023,5,14,6.2,C
2023,5,15,4.6,C
2023,5,16,4.5,C
2023,5,17,7,C
2023,5,18,7.5,C
2023,5,19,4.3,C
2023,5,20,5.3,C
2023,5,21,18.4,C
2023,5,22,14,C
