年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,23.3,C
2023,1,2,24.4,C
2023,1,3,24.8,C
2023,1,4,21.1,C
2023,1,5,18.5,C
2023,1,6,37.1,C
2023,1,7,24.9,C
2023,1,8,39.2,C
2023,1,9,25,C
2023,1,10,24.9,C
2023,1,11,30.3,C
2023,1,12,33.4,C
2023,1,13,21.1,C
2023,1,14,16.9,C
2023,1,15,25.2,C
2023,1,16,29.1,C
2023,1,17,21.6,C
2023,1,18,19.4,C
2023,1,19,17.1,C
2023,1,20,17.5,C
2023,1,21,34.5,C
2023,1,22,13,C
2023,1,23,9.5,C
2023,1,24,53.6,C
2023,1,25,25.6,C
2023,1,26,23.3,C
2023,1,27,47.7,C
2023,1,28,36.8,C
2023,1,29,22.3,C
2023,1,30,26.2,C
2023,1,31,29.6,C
2023,2,1,22.2,C
2023,2,2,35.3,C
2023,2,3,33.2,C
2023,2,4,37,C
2023,2,5,32.3,C
2023,2,6,17.8,C
2023,2,7,8.3,C
2023,2,8,36.5,C
2023,2,9,25.1,C
2023,2,10,15.3,C
2023,2,11,34.6,C
2023,2,12,23.4,C
2023,2,13,16.2,C
2023,2,14,28.9,C
2023,2,15,24.4,C
2023,2,16,18,C
2023,2,17,18.8,C
2023,2,18,19.1,C
2023,2,19,19.9,C
2023,2,20,20.9,C
2023,2,21,35.8,C
2023,2,22,28.3,C
2023,2,23,18.2,C
2023,2,24,25.9,C
2023,2,25,33.5,C
2023,2,26,25.5,C
2023,2,27,31.9,C
2023,2,28,26.8,C
2023,3,1,13.4,C
2023,3,2,29.7,C
2023,3,3,28,C
2023,3,4,15.4,C
2023,3,5,28.1,C
2023,3,6,25.3,C
2023,3,7,22.3,C
2023,3,8,13.2,C
2023,3,9,13.1,C
2023,3,10,27.3,C
2023,3,11,23.1,C
2023,3,12,20.5,C
2023,3,13,20,C
2023,3,14,19.6,C
2023,3,15,13,C
2023,3,16,22.6,C
2023,3,17,13.2,C
2023,3,18,14.9,C
2023,3,19,28.9,C
2023,3,20,22.5,C
2023,3,21,18.4,C
2023,3,22,21,C
2023,3,23,18.7,C
2023,3,24,20.6,C
2023,3,25,27.3,C
2023,3,26,22.9,C
2023,3,27,35.2,C
2023,3,28,32.7,C
2023,3,29,30.6,C
2023,3,30,22.8,C
2023,3,31,34.7,C
2023,4,1,29.4,C
2023,4,2,32.1,C
2023,4,3,32.9,C
2023,4,4,29,C
2023,4,5,21.4,C
2023,4,6,18,C
2023,4,7,21.5,C
2023,4,8,21.3,C
2023,4,9,19,C
2023,4,10,27.4,C
2023,4,11,18.4,C
2023,4,12,14,C
2023,4,13,30.2,C
2023,4,14,14.7,C
2023,4,15,20.9,C
2023,4,16,13.2,C
2023,4,17,18.5,C
2023,4,18,16.8,C
2023,4,19,19.3,C
2023,4,20,15.4,C
2023,4,21,29.3,C
2023,4,22,41.5,C
2023,4,23,31.1,C
2023,4,24,18.5,C
2023,4,25,16.5,C
2023,4,26,21.5,C
2023,4,27,33.1,C
2023,4,28,23.6,C
2023,4,29,11.5,C
2023,4,30,14,C
2023,5,1,33,C
2023,5,2,31.5,C
2023,5,3,18,C
2023,5,4,16.8,C
2023,5,5,15.6,C
2023,5,6,21.5,C
2023,5,7,16,C
2023,5,8,21.1,C
2023,5,9,39.1,C
2023,5,10,46,C
2023,5,11,33.1,C
2023,5,12,16.8,C
2023,5,13,7.6,C
2023,5,14,27.1,C
2023,5,15,11.1,C
2023,5,16,15.7,C
2023,5,17,20.1,C
2023,5,18,23.2,C
2023,5,19,13,C
2023,5,20,17.5,C
2023,5,21,15.7,C
2023,5,22,19.5,C
2023,5,23,22.8,C
2023,5,24,33.1,C
2023,5,25,27.3,C
2023,5,26,21.3,C
2023,5,27,22.1,C
2023,5,28,17.8,C
2023,5,29,13.3,C
2023,5,30,12.6,C
2023,5,31,10.8,C
2023,6,1,9.7,C
2023,6,2,14.8,C
2023,6,3,12.4,C
2023,6,4,23,C
2023,6,5,32.3,C
2023,6,6,23.2,C
2023,6,7,20.5,C
2023,6,8,19.3,C
2023,6,9,12.1,C
2023,6,10,8.8,C
2023,6,11,12.2,C
2023,6,12,18.2,C
2023,6,13,8.4,C
2023,6,14,12.7,C
2023,6,15,9.5,C
2023,6,16,15.5,C
2023,6,17,17.7,C
2023,6,18,18.8,C
2023,6,19,18,C
2023,6,20,19.2,C
2023,6,21,20.1,C
2023,6,22,18.8,C
2023,6,23,19.3,C
2023,6,24,20.1,C
2023,6,25,19.2,C
2023,6,26,13.2,C
2023,6,27,17.4,C
2023,6,28,17.8,C
2023,6,29,11.9,C
2023,6,30,15.2,C
2023,7,1,14,C
2023,7,2,13.8,C
2023,7,3,17.5,C
2023,7,4,19.3,C
2023,7,5,19,C
2023,7,6,22.7,C
2023,7,7,19.5,C
2023,7,8,18,C
2023,7,9,22.4,C
2023,7,10,23.3,C
2023,7,11,19.4,C
2023,7,12,11.1,C
2023,7,13,11.8,C
2023,7,14,6.9,C
2023,7,15,16.1,C
2023,7,16,48.3,C
2023,7,17,57,C
2023,7,18,29.8,C
2023,7,19,19,C
2023,7,20,14.5,C
2023,7,21,9.6,C
2023,7,22,11.7,C
2023,7,23,14.3,C
2023,7,24,9.6,C
2023,7,25,13.4,C
2023,7,26,13.9,C
2023,7,27,19.5,C
2023,7,28,16.9,C
2023,7,29,17.5,C
2023,7,30,16.3,C
2023,7,31,21.1,C
2023,8,1,12.2,C
2023,8,2,13.5,C
2023,8,3,10.2,C
2023,8,4,23.8,C
2023,8,5,26.3,C
2023,8,6,24.9,C
2023,8,7,18.8,C
2023,8,8,16.7,C
2023,8,9,21.6,C
2023,8,10,16.7,C
2023,8,11,21.2,C
2023,8,12,16,C
2023,8,13,17.1,C
2023,8,14,16.3,C
2023,8,15,16.8,C
2023,8,16,22.5,C
2023,8,17,19.5,C
2023,8,18,17.7,C
2023,8,19,13.7,C
2023,8,20,11.8,C
2023,8,21,13.8,C
2023,8,22,10.8,C
2023,8,23,12.8,C
2023,8,24,12.5,C
2023,8,25,9,C
2023,8,26,10.7,C
2023,8,27,14.2,C
2023,8,28,10.4,C
2023,8,29,10.5,C
2023,8,30,28.1,C
2023,8,31,37.1,C
2023,9,1,68.9,C
2023,9,2,58.2,C
2023,9,3,25.7,C
2023,9,4,20.6,C
2023,9,5,19,C
2023,9,6,13.4,C
2023,9,7,16,C
2023,9,8,32.5,C
2023,9,9,25.1,C
2023,9,10,23.9,C
2023,9,11,20.9,C
2023,9,12,18.3,C
2023,9,13,21.4,C
2023,9,14,16.7,C
2023,9,15,19,C
2023,9,16,20.8,C
2023,9,17,16.7,C
2023,9,18,13.2,C
2023,9,19,12.6,C
2023,9,20,8.5,C
2023,9,21,6.9,C
2023,9,22,13.9,C
2023,9,23,24.7,C
2023,9,24,30,C
2023,9,25,27.8,C
2023,9,26,28.4,C
2023,9,27,25.3,C
2023,9,28,26.6,C
2023,9,29,23.2,C
2023,9,30,8.7,C
2023,10,1,13.8,C
2023,10,2,27.5,C
2023,10,3,10.4,C
2023,10,4,17.3,C
2023,10,5,37.2,C
2023,10,6,34.2,C
2023,10,7,53.4,C
2023,10,8,76,C
2023,10,9,36.3,C
2023,10,10,28.3,C
2023,10,11,24.8,C
2023,10,12,21.6,C
2023,10,13,21.5,C
2023,10,14,14,C
2023,10,15,18.5,C
2023,10,16,28.6,C
2023,10,17,36.8,C
2023,10,18,35.4,C
2023,10,19,25.7,C
2023,10,20,20.9,C
2023,10,21,32.4,C
2023,10,22,22.2,C
2023,10,23,20.7,C
2023,10,24,21.7,C
2023,10,25,22.2,C
2023,10,26,24.2,C
2023,10,27,16,C
2023,10,28,21.2,C
2023,10,29,22.8,C
2023,10,30,17.3,C
2023,10,31,23.5,C
2023,11,1,22.8,C
2023,11,2,18,C
2023,11,3,15.1,C
2023,11,4,18.3,C
2023,11,5,13.7,C
2023,11,6,24.5,C
2023,11,7,33.6,C
2023,11,8,35.9,C
2023,11,9,26.6,C
2023,11,10,22.4,C
2023,11,11,34.8,C
2023,11,12,24.8,C
2023,11,13,24.8,#
2023,11,14,15.6,#
2023,11,15,25.1,C
2023,11,16,43.4,C
2023,11,17,49.8,C
2023,11,18,23,C
2023,11,19,12.2,C
2023,11,20,17.4,C
2023,11,21,20.7,C
2023,11,22,11.7,C
2023,11,23,8.8,C
2023,11,24,33.5,C
