年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,5.2,C
2023,1,2,5.3,C
2023,1,3,3.4,C
2023,1,4,10.1,C
2023,1,5,10,C
2023,1,6,5,C
2023,1,7,9.7,C
2023,1,8,16,C
2023,1,9,9.3,C
2023,1,10,8,C
2023,1,11,13.5,C
2023,1,12,17.6,C
2023,1,13,7.5,C
2023,1,14,4.5,C
2023,1,15,6.3,C
2023,1,16,4.8,C
2023,1,17,6.2,C
2023,1,18,6.4,C
2023,1,19,8.7,C
2023,1,20,7,C
2023,1,21,20.3,C
2023,1,22,8.5,C
2023,1,23,7,C
2023,1,24,5.8,C
2023,1,25,11,C
2023,1,26,12.8,C
2023,1,27,4.5,C
2023,1,28,4.5,C
2023,1,29,5,C
2023,1,30,9.2,C
2023,1,31,16.6,C
2023,2,1,10.8,C
2023,2,2,18.1,C
2023,2,3,16.6,C
2023,2,4,16,C
2023,2,5,13.8,C
2023,2,6,9.1,C
2023,2,7,6.9,C
2023,2,8,18,C
2023,2,9,14.8,C
2023,2,10,7.9,C
2023,2,11,16.5,C
2023,2,12,12.1,C
2023,2,13,9.4,C
2023,2,14,6.6,C
2023,2,15,8.6,C
2023,2,16,9.2,C
2023,2,17,9.7,C
2023,2,18,7,C
2023,2,19,7.3,C
2023,2,20,10,C
2023,2,21,22.3,C
2023,2,22,16.9,C
2023,2,23,12.6,C
2023,2,24,8.9,C
2023,2,25,3.8,C
2023,2,26,10.5,C
2023,2,27,17.8,C
2023,2,28,16.8,C
2023,3,1,8.4,C
2023,3,2,15.4,C
2023,3,3,16.7,C
2023,3,4,10,C
2023,3,5,14.9,C
2023,3,6,13.5,C
2023,3,7,12.8,C
2023,3,8,3.2,C
2023,3,9,3.3,C
2023,3,10,13.8,C
2023,3,11,11.8,C
2023,3,12,5,C
2023,3,13,6.5,C
2023,3,14,12.4,C
2023,3,15,9.4,C
2023,3,16,12,C
2023,3,17,11.2,C
2023,3,18,10.2,C
2023,3,19,13.4,C
2023,3,20,11.1,C
2023,3,21,4,C
2023,3,22,7.9,C
2023,3,23,7.2,C
2023,3,24,8.7,C
2023,3,25,16.4,C
2023,3,26,10.9,C
2023,3,27,14.3,C
2023,3,28,14.1,C
2023,3,29,15,C
2023,3,30,11.2,C
2023,3,31,14.5,C
