年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,6.5,C
2023,1,2,7.1,C
2023,1,3,6.8,C
2023,1,4,5.3,C
2023,1,5,5.6,C
2023,1,6,7.4,C
2023,1,7,6.8,C
2023,1,8,8.9,C
2023,1,9,6.8,C
2023,1,10,5.5,C
2023,1,11,6.5,C
2023,1,12,6.8,C
2023,1,13,1.5,C
2023,1,14,2.1,C
2023,1,15,6.9,C
2023,1,16,7.2,C
2023,1,17,5.8,C
2023,1,18,6.3,C
2023,1,19,4,C
2023,1,20,5.2,C
2023,1,21,7.3,C
2023,1,22,5,C
2023,1,23,4.3,C
2023,1,24,13.8,C
2023,1,25,7.1,C
2023,1,26,5.8,C
2023,1,27,10.3,C
2023,1,28,8.6,C
2023,1,29,5.9,C
2023,1,30,3.6,C
2023,1,31,5.7,C
2023,2,1,3.7,C
2023,2,2,6.5,C
2023,2,3,6.8,C
2023,2,4,6.5,C
2023,2,5,5.3,C
2023,2,6,4.2,C
2023,2,7,3.4,C
2023,2,8,7.4,C
2023,2,9,5.3,C
2023,2,10,4.1,C
2023,2,11,6,C
2023,2,12,3.9,C
2023,2,13,3.1,C
2023,2,14,10,C
2023,2,15,7,C
2023,2,16,7.5,C
2023,2,17,6.6,C
2023,2,18,3.2,C
2023,2,19,5.2,C
2023,2,20,7.4,C
2023,2,21,9.4,C
2023,2,22,9.2,C
2023,2,23,6.2,C
2023,2,24,6,C
2023,2,25,9.9,C
2023,2,26,8,C
2023,2,27,8.5,C
2023,2,28,7,C
2023,3,1,3.9,C
2023,3,2,7.8,C
2023,3,3,6.8,C
2023,3,4,4.9,C
2023,3,5,6.3,C
2023,3,6,8.5,C
2023,3,7,5.9,C
2023,3,8,3.2,C
2023,3,9,3.5,C
2023,3,10,7,C
2023,3,11,6.6,C
2023,3,12,5.6,C
2023,3,13,6.3,#
2023,3,14,4.9,C
2023,3,15,4.1,C
2023,3,16,5,C
2023,3,17,5.6,C
2023,3,18,5.8,C
2023,3,19,7.3,C
2023,3,20,5.2,C
2023,3,21,4.5,C
2023,3,22,7.7,C
2023,3,23,7.4,C
2023,3,24,6,C
2023,3,25,8.5,C
2023,3,26,6.2,C
2023,3,27,8.5,C
2023,3,28,7,C
2023,3,29,5.9,C
2023,3,30,4.3,C
2023,3,31,4.7,C
