年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,11.3,C
2023,1,2,10.3,C
2023,1,3,11.6,C
2023,1,4,7.8,C
2023,1,5,4.4,C
2023,1,6,7.4,C
2023,1,7,8.6,C
2023,1,8,6.2,C
2023,1,9,6.7,C
2023,1,10,8.4,C
2023,1,11,3.1,C
2023,1,12,10.2,C
2023,1,13,7.1,C
2023,1,14,4.1,C
2023,1,15,11.1,C
2023,1,16,13.3,C
2023,1,17,9.3,C
2023,1,18,9.8,C
2023,1,19,5.9,C
2023,1,20,7.3,C
2023,1,21,6.1,C
2023,1,22,5.8,C
2023,1,23,4.8,C
2023,1,24,13.1,C
2023,1,25,8.4,C
2023,1,26,5.4,C
2023,1,27,14.6,C
2023,1,28,10.5,C
2023,1,29,8.8,C
2023,1,30,6.5,C
2023,1,31,8.3,C
2023,2,1,6.5,C
2023,2,2,9.2,C
2023,2,3,7.5,C
2023,2,4,6,C
2023,2,5,3.7,C
2023,2,6,5.1,C
2023,2,7,3.4,C
2023,2,8,6.6,C
2023,2,9,6.5,C
2023,2,10,4.6,C
2023,2,11,9,C
2023,2,12,8.3,C
2023,2,13,7.5,C
2023,2,14,11.8,C
2023,2,15,10.3,C
2023,2,16,10,C
2023,2,17,5,C
2023,2,18,3.9,C
2023,2,19,4.8,C
2023,2,20,8.8,C
2023,2,21,11.3,C
2023,2,22,7.5,C
2023,2,23,5.9,C
2023,2,24,5.7,C
2023,2,25,13.8,C
2023,2,26,10.5,C
2023,2,27,10,C
2023,2,28,6.7,C
2023,3,1,4.1,C
2023,3,2,10.3,C
2023,3,3,10.3,C
2023,3,4,6.5,C
2023,3,5,8.9,C
2023,3,6,11,C
2023,3,7,6.6,C
2023,3,8,5,C
2023,3,9,5.8,C
2023,3,10,10.2,C
2023,3,11,8,C
2023,3,12,6.2,C
2023,3,13,8.3,C
2023,3,14,9.4,C
2023,3,15,6.9,C
2023,3,16,8.6,C
2023,3,17,8.7,C
2023,3,18,6.6,C
2023,3,19,11.5,C
2023,3,20,12.3,C
2023,3,21,10.8,C
2023,3,22,12,C
2023,3,23,12.2,C
2023,3,24,14.7,C
2023,3,25,11.4,C
2023,3,26,7.3,C
2023,3,27,7.8,C
2023,3,28,5.2,C
2023,3,29,8.2,C
2023,3,30,5.8,C
2023,3,31,9.6,C
2023,4,1,7.9,C
2023,4,2,8.9,C
2023,4,3,13.7,C
2023,4,4,15.2,C
2023,4,5,11.8,C
2023,4,6,11.1,C
2023,4,7,8.1,C
2023,4,8,6.2,C
2023,4,9,4.5,C
2023,4,10,7.7,C
2023,4,11,10.4,C
2023,4,12,7.3,C
2023,4,13,8.9,C
2023,4,14,5.9,C
