年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,4.5,C
2023,1,2,6.7,C
2023,1,3,10,C
2023,1,4,5.4,C
2023,1,5,4.8,C
2023,1,6,9.3,C
2023,1,7,5.7,C
2023,1,8,5.8,C
2023,1,9,4.5,C
2023,1,10,3.4,C
2023,1,11,6.1,C
2023,1,12,11,C
2023,1,13,5.3,C
2023,1,14,3,C
2023,1,15,13.4,C
2023,1,16,15,C
2023,1,17,8.5,C
2023,1,18,8.5,C
2023,1,19,2.3,C
2023,1,20,3.1,C
2023,1,21,6.8,C
2023,1,22,5.3,C
2023,1,23,5.1,C
2023,1,24,18.4,C
2023,1,25,8.7,C
2023,1,26,3.6,C
2023,1,27,15.8,C
2023,1,28,13.1,C
2023,1,29,6,C
2023,1,30,4,C
2023,1,31,8.7,C
2023,2,1,7.8,C
2023,2,2,9.6,C
2023,2,3,8.8,C
2023,2,4,9.1,C
2023,2,5,6.1,C
2023,2,6,5.3,C
2023,2,7,4,C
2023,2,8,8.7,C
2023,2,9,8.5,C
2023,2,10,6.5,C
2023,2,11,12.6,C
2023,2,12,11.5,C
2023,2,13,8.9,C
2023,2,14,15.6,C
2023,2,15,11.5,C
2023,2,16,7.5,C
2023,2,17,7,C
2023,2,18,4.1,C
2023,2,19,6.5,C
2023,2,20,9.4,C
2023,2,21,11.4,C
2023,2,22,8.9,C
2023,2,23,7.1,C
2023,2,24,7,C
2023,2,25,16.4,C
2023,2,26,11.8,C
2023,2,27,8.7,C
2023,2,28,7.7,C
2023,3,1,3.3,C
2023,3,2,9.5,C
2023,3,3,8,C
2023,3,4,6.3,C
2023,3,5,7.3,C
2023,3,6,9.7,C
2023,3,7,6.4,C
2023,3,8,3,C
2023,3,9,4.7,C
2023,3,10,10.5,C
2023,3,11,7.1,C
2023,3,12,7.6,C
2023,3,13,7.8,C
2023,3,14,8,C
2023,3,15,6.1,C
2023,3,16,7.3,C
2023,3,17,9.5,C
2023,3,18,6.8,C
2023,3,19,11.7,C
2023,3,20,10.7,C
2023,3,21,5.5,C
2023,3,22,6.2,C
2023,3,23,7.9,C
2023,3,24,8.1,C
2023,3,25,9.5,C
2023,3,26,5.7,C
2023,3,27,6,C
2023,3,28,4.3,C
2023,3,29,10.1,C
2023,3,30,7.3,C
2023,3,31,11.9,C
2023,4,1,9.9,C
2023,4,2,10.3,C
2023,4,3,13.3,C
2023,4,4,10,C
2023,4,5,5,C
2023,4,6,4.8,C
2023,4,7,11,C
2023,4,8,5,C
2023,4,9,4.5,C
2023,4,10,9.8,C
2023,4,11,8.5,C
2023,4,12,6,C
2023,4,13,11,C
2023,4,14,5.5,C
2023,4,15,4.4,C
2023,4,16,5.8,C
2023,4,17,9,C
2023,4,18,5.8,C
2023,4,19,5.9,C
2023,4,20,7.5,C
2023,4,21,12.2,C
2023,4,22,15.3,C
2023,4,23,15.2,C
2023,4,24,8.3,C
2023,4,25,4.8,C
2023,4,26,9.9,C
2023,4,27,10.6,C
2023,4,28,9.6,C
2023,4,29,4.3,C
2023,4,30,8.7,C
2023,5,1,10.4,C
2023,5,2,9.3,C
2023,5,3,8.7,C
2023,5,4,9,C
2023,5,5,8,C
2023,5,6,8.1,C
2023,5,7,3.5,C
2023,5,8,4.5,C
2023,5,9,8,C
2023,5,10,11.5,C
2023,5,11,7.8,C
2023,5,12,4.3,C
2023,5,13,1.9,C
2023,5,14,2.8,C
2023,5,15,3.4,C
2023,5,16,7,C
2023,5,17,6.5,C
2023,5,18,4.3,C
2023,5,19,6.5,C
2023,5,20,6.8,C
2023,5,21,7.3,C
2023,5,22,6.1,C
2023,5,23,7.9,C
2023,5,24,10.8,C
2023,5,25,11.3,C
2023,5,26,10.6,C
2023,5,27,10.1,C
2023,5,28,7.7,C
2023,5,29,5.1,C
2023,5,30,2.7,C
2023,5,31,5.2,C
2023,6,1,4.3,C
2023,6,2,4,C
2023,6,3,4,C
2023,6,4,9.6,C
2023,6,5,11.5,C
2023,6,6,7.1,C
2023,6,7,5.5,C
2023,6,8,4.7,C
2023,6,9,3.7,C
2023,6,10,3.5,C
2023,6,11,6.1,C
2023,6,12,6.6,C
2023,6,13,4,C
2023,6,14,3.7,C
2023,6,15,3.1,C
2023,6,16,3.3,C
2023,6,17,5.4,C
2023,6,18,3.3,C
2023,6,19,6.1,C
2023,6,20,5.9,C
2023,6,21,5.8,C
2023,6,22,6.2,C
2023,6,23,3.8,C
2023,6,24,2.2,C
2023,6,25,6.4,C
2023,6,26,5.5,C
2023,6,27,6.7,C
2023,6,28,5.3,C
2023,6,29,4,C
2023,6,30,3.8,C
2023,7,1,2.6,C
2023,7,2,2.6,C
2023,7,3,4,C
2023,7,4,3,C
2023,7,5,5.7,C
2023,7,6,6.5,C
2023,7,7,7.3,C
2023,7,8,5.1,C
2023,7,9,5.1,C
2023,7,10,4.9,C
2023,7,11,4.8,C
2023,7,12,4.6,C
2023,7,13,5.3,C
2023,7,14,3.2,C
2023,7,15,5.1,C
2023,7,16,8.5,C
2023,7,17,20,C
2023,7,18,10.5,C
2023,7,19,7,C
2023,7,20,6.3,C
2023,7,21,3.4,C
2023,7,22,5,C
2023,7,23,4.8,C
2023,7,24,4.8,C
