年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,23.8,C
2023,1,2,21.6,C
2023,1,3,24.4,C
2023,1,4,15.8,C
2023,1,5,16.1,C
2023,1,6,29.9,C
2023,1,7,26.2,C
2023,1,8,35.9,C
2023,1,9,23,C
2023,1,10,28.1,C
2023,1,11,25.8,C
2023,1,12,35.5,C
2023,1,13,36.6,C
2023,1,14,22,C
2023,1,15,22.3,C
2023,1,16,26.7,C
2023,1,17,22,C
2023,1,18,22.7,C
2023,1,19,18.3,C
2023,1,20,18.5,C
2023,1,21,18.5,C
2023,1,22,12.1,C
2023,1,23,10.3,C
2023,1,24,35.9,C
2023,1,25,20.1,C
2023,1,26,18.6,C
2023,1,27,33.8,C
2023,1,28,32.6,#
2023,1,29,26.9,#
2023,1,30,23.7,#
2023,1,31,28.3,#
2023,2,1,18.4,C
2023,2,2,26.9,C
2023,2,3,15.7,C
2023,2,4,29,C
2023,2,5,22.3,C
2023,2,6,12.2,C
2023,2,7,7,#
2023,2,8,31.9,C
2023,2,9,22.1,C
2023,2,10,16,#
2023,2,11,30.9,#
2023,2,12,25.7,#
2023,2,13,18.8,C
2023,2,14,20.4,#
2023,2,15,25.1,#
2023,2,16,15.6,C
2023,2,17,17.9,C
2023,2,18,15,C
2023,2,19,14.9,C
2023,2,20,18.2,C
2023,2,21,21.7,#
2023,2,22,8.3,#
2023,2,23,12,C
2023,2,24,14,C
2023,2,25,27.3,C
2023,2,26,20.8,C
2023,2,27,20.6,C
2023,2,28,11,C
2023,3,1,12.6,C
2023,3,2,28.5,#
2023,3,3,9.4,#
2023,3,4,8.6,C
2023,3,5,17.3,C
2023,3,6,31.6,#
2023,3,7,17.4,C
2023,3,8,10.1,#
2023,3,9,9.8,C
2023,3,10,31.2,C
2023,3,11,21.2,C
2023,3,12,15.3,C
2023,3,13,17.8,C
2023,3,14,11.2,#
2023,3,15,8,C
2023,3,16,23,C
2023,3,17,18,C
2023,3,18,19.3,#
2023,3,19,35.4,C
2023,3,20,25.2,#
2023,3,21,38.4,C
2023,3,22,47.2,#
2023,3,23,43.3,#
2023,3,24,30.7,C
2023,3,25,25.3,C
2023,3,26,22.5,C
2023,3,27,33.7,C
2023,3,28,27,C
2023,3,29,27.7,#
2023,3,30,17.7,#
2023,3,31,38.3,C
2023,4,1,25,C
2023,4,2,32.9,C
2023,4,3,38.6,C
2023,4,4,39.9,C
2023,4,5,42,#
2023,4,6,33.2,#
2023,4,7,22.9,C
2023,4,8,21,C
2023,4,9,16.7,C
2023,4,10,28.9,C
2023,4,11,16.5,C
2023,4,12,16.6,#
2023,4,13,23.6,C
2023,4,14,12.9,C
2023,4,15,13.7,C
2023,4,16,11.9,#
2023,4,17,21.8,#
2023,4,18,34.4,C
2023,4,19,37.2,C
2023,4,20,15.8,#
2023,4,21,38,C
2023,4,22,44.1,C
2023,4,23,32.2,C
2023,4,24,20.3,C
2023,4,25,13.2,C
2023,4,26,21.9,C
2023,4,27,34.7,C
2023,4,28,24.6,C
2023,4,29,11.5,C
2023,4,30,13.2,C
2023,5,1,27.8,C
2023,5,2,36,C
2023,5,3,22.4,#
2023,5,4,16.5,C
2023,5,5,32.5,#
2023,5,6,44,C
2023,5,7,26.1,C
2023,5,8,21.8,C
2023,5,9,26.1,C
2023,5,10,43.2,C
2023,5,11,28.4,C
2023,5,12,14.9,#
2023,5,13,10.8,C
2023,5,14,26,C
2023,5,15,8.3,C
2023,5,16,16.3,C
2023,5,17,40.8,C
2023,5,18,31,C
2023,5,19,18.7,C
2023,5,20,29,C
2023,5,21,42.3,C
2023,5,22,36.7,C
2023,5,23,29.5,#
2023,5,24,33.2,#
2023,5,25,31.1,C
2023,5,26,29.1,C
2023,5,27,29.3,C
2023,5,28,16.2,C
2023,5,29,8.7,#
2023,5,30,12.5,C
2023,5,31,12.4,#
2023,6,1,19.8,#
2023,6,2,14.5,#
2023,6,3,15.2,C
2023,6,4,32.4,C
2023,6,5,43.4,C
2023,6,6,32.1,#
2023,6,7,22.2,#
2023,6,8,19,#
2023,6,9,17.5,#
2023,6,10,12.1,C
2023,6,11,9,C
2023,6,12,15.3,C
2023,6,13,14.3,#
2023,6,14,19.3,#
2023,6,15,10.8,#
2023,6,16,24.7,C
2023,6,17,26.9,C
2023,6,18,35.9,C
2023,6,19,38.1,#
2023,6,20,38.3,C
2023,6,21,37.3,C
2023,6,22,36.2,C
2023,6,23,39.8,#
2023,6,24,37.3,#
2023,6,25,24,C
2023,6,26,14.2,C
2023,6,27,24.7,#
2023,6,28,20.4,#
2023,6,29,14.6,C
2023,6,30,27.1,#
2023,7,1,23.4,#
2023,7,2,22.3,#
2023,7,3,32.2,C
2023,7,4,36.6,C
2023,7,5,38.3,C
2023,7,6,38.5,C
2023,7,7,36.8,#
2023,7,8,30.4,C
2023,7,9,32,C
2023,7,10,29.8,C
2023,7,11,26.5,C
2023,7,12,21.3,C
2023,7,13,11.3,C
2023,7,14,10,#
2023,7,15,10,#
2023,7,16,68.2,#
2023,7,17,83.6,C
2023,7,18,32.1,C
2023,7,19,25.8,#
2023,7,20,14.4,C
2023,7,21,9.8,C
2023,7,22,10,C
2023,7,23,10.5,C
2023,7,24,9.1,C
2023,7,25,11.8,C
2023,7,26,12.8,C
2023,7,27,12.1,#
2023,7,28,15.2,C
2023,7,29,28.5,#
2023,7,30,20.7,#
2023,7,31,24.7,#
2023,8,1,17.2,#
2023,8,2,12.5,C
2023,8,3,15,C
2023,8,4,36.7,#
2023,8,5,39.7,C
2023,8,6,34.5,C
2023,8,7,28.5,C
2023,8,8,21.2,#
2023,8,9,23.7,#
2023,8,10,21,#
2023,8,11,23.2,#
2023,8,12,26.7,#
2023,8,13,34.7,#
2023,8,14,33.6,#
2023,8,15,28.6,#
2023,8,16,28.5,C
2023,8,17,24.9,#
2023,8,18,21.9,C
2023,8,19,20.1,#
2023,8,20,16.1,C
2023,8,21,15.9,C
2023,8,22,19.1,C
2023,8,23,21.3,C
2023,8,24,15.1,C
2023,8,25,11,C
2023,8,26,13.9,C
2023,8,27,21.2,C
2023,8,28,16.8,C
2023,8,29,12.2,C
2023,8,30,21.3,C
2023,8,31,21,C
2023,9,1,29.6,C
2023,9,2,75.4,C
2023,9,3,29.9,C
2023,9,4,15,C
2023,9,5,12.8,C
2023,9,6,9.1,C
2023,9,7,14,C
2023,9,8,28.9,C
2023,9,9,28.3,C
2023,9,10,26.2,C
2023,9,11,22,C
2023,9,12,17.2,C
2023,9,13,26.4,C
2023,9,14,16.7,#
2023,9,15,22,C
2023,9,16,26,C
2023,9,17,21.1,C
2023,9,18,13,C
2023,9,19,8.8,C
2023,9,20,8.6,C
2023,9,21,8.6,C
2023,9,22,11.9,C
2023,9,23,27.8,C
2023,9,24,39.6,C
2023,9,25,41.5,C
2023,9,26,41.2,C
2023,9,27,34.4,C
2023,9,28,37,C
2023,9,29,19.5,C
2023,9,30,10,C
2023,10,1,20,C
2023,10,2,25.9,C
2023,10,3,8.5,C
2023,10,4,10.8,C
2023,10,5,20.4,#
2023,10,6,19.9,#
2023,10,7,27.8,C
2023,10,8,42.6,C
2023,10,9,40.6,C
2023,10,10,32.2,C
2023,10,11,23,C
2023,10,12,21.1,C
2023,10,13,17.4,C
2023,10,14,14.3,C
2023,10,15,16.7,C
2023,10,16,32.5,C
2023,10,17,46,C
2023,10,18,58.1,C
2023,10,19,47.1,C
2023,10,20,27.8,C
2023,10,21,25.3,C
2023,10,22,21.7,C
2023,10,23,20.5,C
2023,10,24,21.3,C
2023,10,25,19.8,C
2023,10,26,21.4,C
2023,10,27,9.6,C
2023,10,28,16.3,C
2023,10,29,20,C
2023,10,30,17.1,C
2023,10,31,20.6,C
2023,11,1,20,C
2023,11,2,9.6,C
2023,11,3,10.3,C
2023,11,4,16.5,C
2023,11,5,15.3,C
2023,11,6,19,C
2023,11,7,34.3,C
2023,11,8,35.4,C
2023,11,9,33.7,C
2023,11,10,23.7,C
2023,11,11,37.1,C
2023,11,12,24.7,C
2023,11,13,21.3,C
2023,11,14,18.5,C
2023,11,15,22.3,C
2023,11,16,26.1,C
2023,11,17,34.8,C
2023,11,18,17.9,C
2023,11,19,11.1,C
2023,11,20,13.8,#
2023,11,21,14.1,C
2023,11,22,12.4,C
2023,11,23,11.3,C
2023,11,24,42.9,#
2023,11,25,29.2,C
2023,11,26,18.6,C
2023,11,27,16.6,C
2023,11,28,32.7,C
2023,11,29,29.8,C
2023,11,30,22,C
2023,12,1,21.2,C
2023,12,2,18.4,C
2023,12,3,12,C
2023,12,4,12.9,C
2023,12,5,12.3,C
2023,12,6,18.3,C
2023,12,7,17.5,C
2023,12,8,13.7,C
2023,12,9,18.5,C
2023,12,10,19.9,C
2023,12,11,5.8,C
2023,12,12,17.7,C
2023,12,13,30.5,#
2023,12,14,27.5,#
2023,12,15,9.3,#
2023,12,16,26.7,C
2023,12,17,30.3,C
2023,12,18,27.1,C
2023,12,19,21.5,#
2023,12,20,32.9,C
2023,12,21,36.1,#
2023,12,22,30.4,C
2023,12,23,26.6,C
2023,12,24,25.8,C
2023,12,25,17.5,C
2023,12,26,17.1,C
2023,12,27,16.1,C
2023,12,28,18.1,C
2023,12,29,22.2,C
2023,12,30,18.8,C
2023,12,31,16.8,C
