年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,23.4,C
2023,1,2,21.8,C
2023,1,3,24.1,C
2023,1,4,26.8,C
2023,1,5,21.7,C
2023,1,6,18.4,C
2023,1,7,23.8,C
2023,1,8,35,C
2023,1,9,22.8,C
2023,1,10,23.4,C
2023,1,11,31,C
2023,1,12,26.9,C
2023,1,13,14.5,C
2023,1,14,9.4,C
2023,1,15,25.9,C
2023,1,16,30.6,C
2023,1,17,24.2,C
2023,1,18,22.5,C
2023,1,19,14.4,C
2023,1,20,20.6,C
2023,1,21,36.9,C
2023,1,22,15.5,C
2023,1,23,11.3,C
2023,1,24,48.6,C
2023,1,25,31.8,C
2023,1,26,26.8,C
2023,1,27,40.8,C
2023,1,28,32.6,C
2023,1,29,18.6,C
2023,1,30,18.3,C
2023,1,31,27.3,C
2023,2,1,17.8,C
2023,2,2,31.4,C
2023,2,3,31.3,C
2023,2,4,32.8,C
2023,2,5,27.5,C
2023,2,6,14,C
2023,2,7,11.3,C
2023,2,8,35,C
2023,2,9,24.1,C
2023,2,10,15,C
2023,2,11,25.4,C
2023,2,12,20.4,C
2023,2,13,10.4,C
2023,2,14,31.4,C
2023,2,15,28.2,C
2023,2,16,28.4,C
2023,2,17,26,C
2023,2,18,13.6,C
2023,2,19,17.5,C
2023,2,20,26.8,C
2023,2,21,46.4,C
2023,2,22,39.7,C
2023,2,23,23.7,C
2023,2,24,20.1,C
2023,2,25,34.8,C
2023,2,26,28.2,C
2023,2,27,40.5,C
2023,2,28,26.8,C
2023,3,1,11.5,C
2023,3,2,34.7,C
2023,3,3,30.8,C
2023,3,4,17.7,C
2023,3,5,26,C
2023,3,6,27.8,C
2023,3,7,21.8,C
2023,3,8,8.3,C
2023,3,9,5,C
2023,3,10,19.8,C
2023,3,11,20.2,C
2023,3,12,13.8,C
2023,3,13,24.5,C
2023,3,14,20.5,C
2023,3,15,13.2,C
2023,3,16,17.6,C
2023,3,17,20.5,C
2023,3,18,12.6,C
2023,3,19,32.5,C
2023,3,20,18.8,C
2023,3,21,14.8,C
2023,3,22,21.9,C
