年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,21.3,C
2023,1,2,20.1,C
2023,1,3,19.2,C
2023,1,4,15.5,C
2023,1,5,9.5,C
2023,1,6,13.5,C
2023,1,7,14,C
2023,1,8,14.3,C
2023,1,9,16,C
2023,1,10,15.4,C
2023,1,11,11.3,C
2023,1,12,22.9,C
2023,1,13,14.9,C
2023,1,14,9.1,C
2023,1,15,25.1,C
2023,1,16,27.1,C
2023,1,17,22.5,C
2023,1,18,21,C
2023,1,19,12.8,C
2023,1,20,14.3,C
2023,1,21,18,C
2023,1,22,9.8,C
2023,1,23,7.5,C
2023,1,24,42,C
2023,1,25,20.9,C
2023,1,26,9.8,C
2023,1,27,36.4,#
2023,1,28,27.3,C
2023,1,29,17.1,C
2023,1,30,12.6,C
2023,1,31,14.6,C
2023,2,1,12.5,C
2023,2,2,23.2,C
2023,2,3,17,C
2023,2,4,19.2,C
2023,2,5,12.8,C
2023,2,6,7.9,C
2023,2,7,8.8,C
2023,2,8,21.1,C
2023,2,9,17.1,C
2023,2,10,9.5,C
2023,2,11,26.8,C
2023,2,12,24.8,C
2023,2,13,16.2,C
2023,2,14,28.5,C
2023,2,15,24.2,#
2023,2,16,16.9,C
2023,2,17,11.9,C
2023,2,18,8.4,C
2023,2,19,10.7,C
2023,2,20,17.6,C
2023,2,21,24.3,C
2023,2,22,16.9,C
2023,2,23,15.6,C
2023,2,24,16.6,C
2023,2,25,28,C
2023,2,26,22.5,C
2023,2,27,17.5,C
2023,2,28,16.1,C
2023,3,1,7.8,C
2023,3,2,16.5,C
2023,3,3,19.5,C
2023,3,4,13.3,C
2023,3,5,16.9,C
2023,3,6,21,C
2023,3,7,13.4,C
2023,3,8,9.1,C
2023,3,9,8.5,C
2023,3,10,17.5,C
2023,3,11,13.3,#
2023,3,12,16.2,C
2023,3,13,14.5,#
2023,3,14,16.5,C
2023,3,15,14,C
2023,3,16,15.5,C
2023,3,17,14.6,C
2023,3,18,13,C
2023,3,19,26,C
2023,3,20,23,C
2023,3,21,18.7,C
2023,3,22,22.4,C
2023,3,23,20,C
2023,3,24,16.5,C
2023,3,25,24.7,C
2023,3,26,17.5,C
2023,3,27,21.5,C
2023,3,28,15.5,C
2023,3,29,19.9,C
2023,3,30,13.3,C
2023,3,31,23.1,C
2023,4,1,21.5,C
2023,4,2,22.5,C
2023,4,3,31.2,C
2023,4,4,25,C
2023,4,5,22.3,C
2023,4,6,16.4,C
2023,4,7,16.1,C
2023,4,8,14,C
2023,4,9,10.4,C
2023,4,10,19.4,C
2023,4,11,16,C
2023,4,12,11,C
2023,4,13,20.3,C
2023,4,14,10.7,C
2023,4,15,8.1,C
2023,4,16,11.5,C
2023,4,17,16.2,C
2023,4,18,17.9,C
2023,4,19,17.7,C
2023,4,20,13.8,C
2023,4,21,24.5,C
2023,4,22,35.3,C
2023,4,23,30.6,C
2023,4,24,18.6,C
2023,4,25,21.4,C
2023,4,26,18.3,C
2023,4,27,24.2,C
2023,4,28,17.1,C
2023,4,29,12.5,C
2023,4,30,14.3,C
2023,5,1,23.6,C
2023,5,2,21,C
2023,5,3,14.8,C
2023,5,4,16.5,C
2023,5,5,18.3,C
2023,5,6,21.8,C
2023,5,7,15.1,C
2023,5,8,18.4,C
2023,5,9,19.9,C
2023,5,10,24.8,C
2023,5,11,17,C
2023,5,12,14,C
2023,5,13,10.5,C
2023,5,14,11.1,C
2023,5,15,10,C
2023,5,16,13.8,C
2023,5,17,20,C
2023,5,18,16.1,C
2023,5,19,10.7,C
2023,5,20,14.2,C
2023,5,21,18.6,C
2023,5,22,19.7,C
2023,5,23,22.8,C
2023,5,24,27.4,C
2023,5,25,25.3,C
2023,5,26,22.1,C
2023,5,27,16.9,C
2023,5,28,11.5,C
2023,5,29,12.9,C
2023,5,30,9.2,C
2023,5,31,9.8,C
2023,6,1,9.3,C
2023,6,2,11.3,C
2023,6,3,11.8,C
2023,6,4,18.7,C
2023,6,5,19.3,C
2023,6,6,14.5,C
2023,6,7,18.3,C
2023,6,8,14.3,C
2023,6,9,9.8,C
2023,6,10,8,C
2023,6,11,10.5,C
2023,6,12,13.3,C
2023,6,13,10.5,C
2023,6,14,11.3,C
2023,6,15,7.5,C
2023,6,16,13.5,C
2023,6,17,14.7,C
2023,6,18,16.3,C
2023,6,19,21.3,C
2023,6,20,21.7,C
2023,6,21,20.7,C
2023,6,22,20,C
2023,6,23,18.8,C
2023,6,24,18,C
2023,6,25,16.8,C
2023,6,26,9.8,C
2023,6,27,14.4,C
2023,6,28,13.9,C
2023,6,29,10.3,C
2023,6,30,13,C
2023,7,1,11.9,C
2023,7,2,9.5,C
2023,7,3,15,C
2023,7,4,13,C
2023,7,5,20.8,C
2023,7,6,20.1,C
2023,7,7,20.7,C
2023,7,8,16.7,C
2023,7,9,18.5,C
2023,7,10,18,C
2023,7,11,15.7,C
2023,7,12,14.5,C
2023,7,13,8.7,C
2023,7,14,8.8,C
2023,7,15,11.5,C
2023,7,16,20.8,C
2023,7,17,40.7,C
2023,7,18,27.7,C
2023,7,19,15.8,C
2023,7,20,10.4,C
2023,7,21,9.1,C
2023,7,22,10.2,C
2023,7,23,10.9,C
2023,7,24,10,C
2023,7,25,9.9,C
2023,7,26,6.8,C
2023,7,27,9.9,C
2023,7,28,10,C
2023,7,29,16,C
2023,7,30,11.3,C
2023,7,31,15.8,C
2023,8,1,9.9,C
2023,8,2,6.8,C
2023,8,3,10.2,C
2023,8,4,18,C
2023,8,5,18,C
2023,8,6,18.6,C
2023,8,7,14,C
2023,8,8,12.4,C
2023,8,9,14,C
2023,8,10,8.4,C
2023,8,11,13.3,C
2023,8,12,13.1,C
2023,8,13,16,C
2023,8,14,14.2,C
2023,8,15,13.4,C
2023,8,16,16.5,C
2023,8,17,13.8,C
2023,8,18,12.2,C
2023,8,19,10.1,C
2023,8,20,8.8,C
2023,8,21,10,C
2023,8,22,9.1,C
2023,8,23,11.6,C
2023,8,24,10.3,C
2023,8,25,8.3,C
2023,8,26,9.7,C
2023,8,27,11,C
2023,8,28,9,C
2023,8,29,10.7,C
2023,8,30,23.1,C
2023,8,31,22,C
2023,9,1,46.3,C
2023,9,2,36.1,C
2023,9,3,13.9,C
2023,9,4,8.5,C
2023,9,5,14.1,C
2023,9,6,7.3,C
2023,9,7,7.9,C
2023,9,8,21.8,C
2023,9,9,21.7,C
2023,9,10,22.6,C
2023,9,11,19.3,C
2023,9,12,15,C
2023,9,13,17.5,C
2023,9,14,11.2,C
2023,9,15,12.8,C
2023,9,16,13,C
2023,9,17,12.1,C
2023,9,18,9.8,C
2023,9,19,9.5,C
2023,9,20,8.8,C
2023,9,21,8,C
2023,9,22,10.3,C
2023,9,23,15,C
2023,9,24,18.2,C
2023,9,25,19.3,C
2023,9,26,19.8,C
2023,9,27,17.5,C
2023,9,28,18.8,C
2023,9,29,11.4,C
2023,9,30,8.5,C
2023,10,1,12.8,C
2023,10,2,18.8,C
2023,10,3,11.1,C
2023,10,4,5.7,C
2023,10,5,26,C
2023,10,6,26.7,C
2023,10,7,43,C
2023,10,8,47.4,C
2023,10,9,25.2,C
2023,10,10,24.3,C
2023,10,11,22.4,C
2023,10,12,16.4,C
2023,10,13,17.6,C
2023,10,14,14,C
2023,10,15,14.7,C
2023,10,16,18,C
2023,10,17,17.5,C
2023,10,18,21.5,C
2023,10,19,23.2,C
2023,10,20,17,C
2023,10,21,30.1,C
2023,10,22,19.3,C
2023,10,23,13.8,C
2023,10,24,9,C
2023,10,25,13.4,C
2023,10,26,12.5,C
2023,10,27,12.2,C
2023,10,28,13.7,C
2023,10,29,14.6,C
2023,10,30,12.2,C
2023,10,31,13.5,C
2023,11,1,12,C
2023,11,2,10.2,C
2023,11,3,9.7,C
2023,11,4,13,C
2023,11,5,8.7,C
2023,11,6,14.2,C
2023,11,7,17.3,C
2023,11,8,19.6,C
2023,11,9,17.6,C
2023,11,10,14.7,C
2023,11,11,20.4,C
2023,11,12,19.7,C
2023,11,13,29.8,C
2023,11,14,20.2,C
2023,11,15,15.4,C
2023,11,16,33.8,C
2023,11,17,30.2,C
2023,11,18,23.3,C
2023,11,19,8.5,C
2023,11,20,7.5,C
2023,11,21,9.8,C
2023,11,22,8.8,C
2023,11,23,8.3,C
2023,11,24,19.3,C
2023,11,25,17.8,C
2023,11,26,13.1,C
2023,11,27,8.1,C
2023,11,28,15.7,C
2023,11,29,13.2,C
2023,11,30,13.8,C
2023,12,1,22.5,C
2023,12,2,16,C
2023,12,3,13.1,C
2023,12,4,14,C
2023,12,5,10.2,C
2023,12,6,18.2,C
2023,12,7,14.8,C
2023,12,8,11.2,C
2023,12,9,16.3,C
2023,12,10,18.4,C
2023,12,11,9.8,C
2023,12,12,12.6,C
2023,12,13,19.5,C
2023,12,14,13.3,C
2023,12,15,15.1,C
2023,12,16,31.2,C
2023,12,17,28.8,C
2023,12,18,19.9,C
2023,12,19,24.6,#
2023,12,20,31.4,C
2023,12,21,33.2,C
2023,12,22,26.9,C
2023,12,23,29.3,C
2023,12,24,25.5,C
2023,12,25,18.9,C
2023,12,26,9.7,C
2023,12,27,8.5,C
2023,12,28,9.1,C
2023,12,29,11,C
2023,12,30,10.3,C
2023,12,31,9.9,C
