年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,7.1,C
2023,1,2,7.2,C
2023,1,3,6.7,C
2023,1,4,6.9,C
2023,1,5,5.3,C
2023,1,6,8.1,C
2023,1,7,6.9,C
2023,1,8,7.2,C
2023,1,9,5.3,C
2023,1,10,6.1,C
2023,1,11,6.5,C
2023,1,12,9.5,C
2023,1,13,3.6,C
2023,1,14,6,C
2023,1,15,7.7,C
2023,1,16,9,C
2023,1,17,6.5,C
2023,1,18,6.3,C
2023,1,19,4.3,C
2023,1,20,6.7,C
2023,1,21,9.7,C
2023,1,22,4.7,C
2023,1,23,3.6,C
2023,1,24,17.8,C
2023,1,25,8.7,C
2023,1,26,5.8,C
2023,1,27,13.2,C
2023,1,28,11.3,C
2023,1,29,7.2,C
2023,1,30,4.4,C
2023,1,31,5,C
2023,2,1,6.2,C
2023,2,2,8.1,C
2023,2,3,8,C
2023,2,4,6.2,C
2023,2,5,6.1,C
2023,2,6,4.6,C
2023,2,7,4.3,C
2023,2,8,8.1,C
2023,2,9,6.2,#
2023,2,10,4.3,C
2023,2,11,9.8,C
2023,2,12,6.6,C
2023,2,13,4.8,C
2023,2,14,10.8,C
2023,2,15,9.4,C
2023,2,16,8.5,C
2023,2,17,6.1,C
2023,2,18,3.6,C
2023,2,19,5,C
2023,2,20,8.4,C
2023,2,21,9.3,C
2023,2,22,7.8,C
2023,2,23,4.8,C
2023,2,24,6.5,C
2023,2,25,13.4,C
2023,2,26,8.8,C
2023,2,27,8.1,C
2023,2,28,6.9,C
2023,3,1,4.6,C
2023,3,2,7.9,C
2023,3,3,6.3,C
2023,3,4,4.2,C
2023,3,5,5.4,C
2023,3,6,5.4,C
2023,3,7,3.9,C
2023,3,8,3.5,C
2023,3,9,3,C
2023,3,10,4.9,C
2023,3,11,5.5,C
2023,3,12,6.5,C
2023,3,13,7.3,C
2023,3,14,6.2,C
2023,3,15,3.2,C
2023,3,16,4.5,C
2023,3,17,5.6,C
2023,3,18,5.6,C
2023,3,19,5.8,C
2023,3,20,5.3,C
2023,3,21,7.3,C
2023,3,22,14.8,C
2023,3,23,13.8,C
2023,3,24,7.9,C
2023,3,25,8.4,C
2023,3,26,5.5,C
2023,3,27,7.1,C
2023,3,28,5.6,C
2023,3,29,4.9,C
2023,3,30,5.8,C
2023,3,31,6.6,C
2023,4,1,6.6,C
2023,4,2,5.8,C
2023,4,3,9.5,C
2023,4,4,7.3,C
2023,4,5,8,C
2023,4,6,8.7,C
2023,4,7,7.4,C
2023,4,8,6.3,C
2023,4,9,4.6,C
2023,4,10,6,C
2023,4,11,4.9,C
2023,4,12,4.5,C
2023,4,13,9.8,C
2023,4,14,5.5,C
2023,4,15,4.4,C
2023,4,16,4.3,C
2023,4,17,5.5,C
2023,4,18,6.5,C
2023,4,19,10.9,C
2023,4,20,5.4,C
2023,4,21,5.8,C
2023,4,22,10.1,C
2023,4,23,8.6,C
2023,4,24,4.6,C
2023,4,25,5.5,C
2023,4,26,8.1,C
2023,4,27,7.8,C
2023,4,28,5.9,C
2023,4,29,4.2,C
2023,4,30,6.8,C
2023,5,1,7.6,C
2023,5,2,5.3,C
2023,5,3,5.8,C
2023,5,4,6.1,C
2023,5,5,7.4,C
2023,5,6,11.3,C
2023,5,7,7.7,C
2023,5,8,7.4,C
2023,5,9,7.7,C
2023,5,10,7.5,C
2023,5,11,3.8,C
2023,5,12,4.8,C
2023,5,13,2.8,C
2023,5,14,4.2,C
2023,5,15,4.8,C
2023,5,16,4.3,C
2023,5,17,7.2,C
2023,5,18,11.5,C
2023,5,19,6.9,C
2023,5,20,7,C
2023,5,21,12.4,C
2023,5,22,13.8,C
2023,5,23,8.3,C
2023,5,24,7.8,C
2023,5,25,7.2,C
2023,5,26,5.5,C
2023,5,27,7.3,C
2023,5,28,5.8,C
2023,5,29,5.4,C
2023,5,30,4.1,C
2023,5,31,4,C
2023,6,1,4.5,C
2023,6,2,9.8,C
2023,6,3,6.2,C
2023,6,4,7.5,C
2023,6,5,8.4,C
2023,6,6,5.5,C
2023,6,7,4,C
2023,6,8,4.4,C
2023,6,9,5.3,C
2023,6,10,3.4,C
2023,6,11,5.1,C
2023,6,12,6.4,C
2023,6,13,3.8,C
2023,6,14,3.5,C
2023,6,15,2.3,C
2023,6,16,5.7,C
2023,6,17,2.7,C
2023,6,18,4.3,C
2023,6,19,9.9,C
2023,6,20,11.8,C
2023,6,21,14.8,C
2023,6,22,13.1,C
2023,6,23,8.1,C
2023,6,24,5.5,C
2023,6,25,5,C
2023,6,26,5.3,C
2023,6,27,5.5,C
2023,6,28,4.3,C
2023,6,29,4,C
2023,6,30,7.3,C
2023,7,1,4.5,C
2023,7,2,3.5,C
2023,7,3,5.5,C
2023,7,4,6.5,C
2023,7,5,11.9,C
2023,7,6,13.3,C
2023,7,7,12.8,C
2023,7,8,12.3,C
2023,7,9,13.9,C
2023,7,10,13.1,C
2023,7,11,10.8,C
2023,7,12,6.6,C
2023,7,13,5.2,C
2023,7,14,4.9,C
2023,7,15,6,C
2023,7,16,10.9,C
2023,7,17,16.6,C
2023,7,18,13.1,C
2023,7,19,5.5,C
2023,7,20,5.9,C
2023,7,21,3.4,C
2023,7,22,4.1,C
2023,7,23,4.5,C
2023,7,24,3.4,C
2023,7,25,4.3,C
2023,7,26,3.7,C
2023,7,27,5.8,C
2023,7,28,5.6,C
2023,7,29,6.8,C
2023,7,30,3.8,C
2023,7,31,6.6,C
2023,8,1,4.3,C
2023,8,2,4.6,C
2023,8,3,7,C
2023,8,4,14.6,C
2023,8,5,12.2,C
2023,8,6,11.7,C
2023,8,7,7.9,C
2023,8,8,8.4,C
2023,8,9,10,C
2023,8,10,6,C
2023,8,11,8.9,C
2023,8,12,7.6,C
2023,8,13,6.3,C
2023,8,14,9.1,C
2023,8,15,11,C
2023,8,16,12.7,C
2023,8,17,8.7,C
2023,8,18,6.5,C
2023,8,19,6.3,C
2023,8,20,3.3,C
2023,8,21,3.4,C
2023,8,22,5.3,C
2023,8,23,5.5,C
2023,8,24,3.9,C
2023,8,25,3.3,C
2023,8,26,3,C
2023,8,27,3.9,C
2023,8,28,3.8,C
2023,8,29,4.4,C
2023,8,30,7.6,C
2023,8,31,7.9,C
2023,9,1,14.9,C
2023,9,2,16.1,C
2023,9,3,6.6,C
2023,9,4,4.7,C
2023,9,5,2.4,C
2023,9,6,4,C
2023,9,7,5.9,C
2023,9,8,6,C
2023,9,9,6,C
2023,9,10,6.2,C
2023,9,11,4.5,C
2023,9,12,4.5,C
2023,9,13,4.7,C
2023,9,14,3.1,C
2023,9,15,4.1,C
2023,9,16,5.2,C
2023,9,17,4.5,C
2023,9,18,4.3,C
2023,9,19,2.9,C
2023,9,20,4.7,C
2023,9,21,4.3,C
2023,9,22,4.1,C
2023,9,23,6.2,C
2023,9,24,7.7,C
2023,9,25,7.8,C
2023,9,26,8.1,C
2023,9,27,6.9,C
2023,9,28,8.3,C
2023,9,29,7,C
2023,9,30,3.4,C
2023,10,1,5,C
2023,10,2,7.7,C
2023,10,3,6.4,C
2023,10,4,3.7,C
2023,10,5,9.3,C
2023,10,6,9.3,C
2023,10,7,11.8,C
2023,10,8,16.8,C
2023,10,9,8.6,C
2023,10,10,7.5,C
2023,10,11,8.1,C
2023,10,12,6.9,C
2023,10,13,6.8,C
2023,10,14,4.4,C
2023,10,15,5.8,C
2023,10,16,8.2,C
2023,10,17,8.3,C
2023,10,18,6.3,C
2023,10,19,3.5,C
2023,10,20,6.6,C
2023,10,21,8.3,C
2023,10,22,6.4,C
2023,10,23,5.9,C
2023,10,24,4.9,C
2023,10,25,4.4,C
2023,10,26,4.1,C
2023,10,27,4.6,C
2023,10,28,6.4,C
2023,10,29,6.4,C
2023,10,30,5,C
2023,10,31,6.3,C
2023,11,1,5.3,C
2023,11,2,5.1,C
2023,11,3,3.5,C
2023,11,4,3.5,C
2023,11,5,3.5,C
2023,11,6,5.4,C
2023,11,7,6.3,C
2023,11,8,6.1,C
2023,11,9,4.8,C
2023,11,10,5.6,C
2023,11,11,6.9,C
2023,11,12,8.7,C
2023,11,13,9.8,C
2023,11,14,5.8,C
2023,11,15,6.4,C
2023,11,16,10.3,C
2023,11,17,13.5,C
2023,11,18,6.2,C
2023,11,19,2.9,C
2023,11,20,3.4,C
2023,11,21,4,C
2023,11,22,2.7,C
2023,11,23,3,C
2023,11,24,8,C
2023,11,25,8,C
2023,11,26,4.9,C
2023,11,27,2.8,C
2023,11,28,6.7,C
2023,11,29,3.7,C
2023,11,30,6.3,C
2023,12,1,9.5,C
2023,12,2,5,C
2023,12,3,5,C
2023,12,4,4.6,C
2023,12,5,3.9,C
2023,12,6,5.4,C
2023,12,7,4.3,C
2023,12,8,3.6,C
2023,12,9,4.3,C
2023,12,10,7.1,C
2023,12,11,2.8,C
2023,12,12,5.7,C
2023,12,13,7,C
2023,12,14,6.3,C
2023,12,15,4.8,C
2023,12,16,9.8,C
2023,12,17,8.6,C
2023,12,18,5.3,C
2023,12,19,8.6,C
2023,12,20,10.6,C
2023,12,21,10.8,C
2023,12,22,9,C
2023,12,23,8,C
2023,12,24,7.2,C
2023,12,25,5.3,C
2023,12,26,3.8,C
2023,12,27,3,C
2023,12,28,3.7,C
2023,12,29,5.9,C
2023,12,30,4,C
2023,12,31,3.8,C
