年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,10.1,C
2023,1,2,10.9,C
2023,1,3,13.5,C
2023,1,4,9.1,C
2023,1,5,9.3,C
2023,1,6,13.4,C
2023,1,7,11.3,C
2023,1,8,12.6,C
2023,1,9,10,C
2023,1,10,9.8,C
2023,1,11,10.3,C
2023,1,12,14.7,C
2023,1,13,7.6,C
2023,1,14,8,C
2023,1,15,16.7,C
2023,1,16,16,C
2023,1,17,14.6,C
2023,1,18,13,C
2023,1,19,9.2,C
2023,1,20,8.5,C
2023,1,21,11,C
2023,1,22,10.3,C
2023,1,23,9.3,C
2023,1,24,31.8,C
2023,1,25,15.4,C
2023,1,26,10.1,C
2023,1,27,25.1,C
2023,1,28,18.8,C
2023,1,29,12,C
2023,1,30,9.4,C
2023,1,31,10.6,C
2023,2,1,8.4,C
2023,2,2,12,C
2023,2,3,10.4,C
2023,2,4,12.2,C
2023,2,5,9.8,C
2023,2,6,7.8,C
2023,2,7,7.5,C
2023,2,8,13.3,C
2023,2,9,11,C
2023,2,10,7,C
2023,2,11,13.1,C
2023,2,12,19,C
2023,2,13,11.2,C
2023,2,14,20.7,C
2023,2,15,16.3,C
2023,2,16,12.1,C
2023,2,17,13,C
2023,2,18,7.1,C
2023,2,19,11.1,C
2023,2,20,12.9,#
2023,2,21,12.9,C
2023,2,22,12.8,C
2023,2,23,9.2,C
2023,2,24,11.3,C
2023,2,25,21,C
2023,2,26,14.5,C
2023,2,27,12.9,C
2023,2,28,11.9,C
2023,3,1,8.8,C
2023,3,2,13.1,C
2023,3,3,13,C
2023,3,4,10.8,C
2023,3,5,11,C
2023,3,6,13.3,C
2023,3,7,10.5,C
2023,3,8,9.2,C
2023,3,9,8.8,C
2023,3,10,12.8,C
2023,3,11,11,C
2023,3,12,14.4,C
2023,3,13,12.5,C
2023,3,14,9.3,C
2023,3,15,11.9,C
2023,3,16,10.9,C
2023,3,17,11.5,C
2023,3,18,11,C
2023,3,19,12.8,C
2023,3,20,14.4,C
2023,3,21,16.2,C
2023,3,22,12.8,C
2023,3,23,13.8,C
2023,3,24,17.1,C
2023,3,25,16.8,C
2023,3,26,12.2,C
2023,3,27,13.7,C
2023,3,28,8.7,C
2023,3,29,10.9,C
2023,3,30,6.1,C
2023,3,31,11.5,C
2023,4,1,10.7,C
2023,4,2,13,C
2023,4,3,17.8,C
2023,4,4,19.3,C
2023,4,5,21.1,C
2023,4,6,11.3,C
2023,4,7,12.9,C
2023,4,8,10.8,C
2023,4,9,8.6,C
2023,4,10,9.9,C
2023,4,11,14.5,C
2023,4,12,9.8,C
2023,4,13,13.7,C
2023,4,14,10.5,C
2023,4,15,8.2,C
2023,4,16,10.8,C
2023,4,17,10.9,C
2023,4,18,16.8,C
2023,4,19,13.2,C
2023,4,20,9,C
2023,4,21,12.3,C
2023,4,22,22,C
2023,4,23,14.4,C
2023,4,24,9.4,C
2023,4,25,14.3,C
2023,4,26,13.3,C
2023,4,27,13,C
2023,4,28,12.9,C
2023,4,29,11.4,C
2023,4,30,10.6,C
2023,5,1,13,C
2023,5,2,12,C
2023,5,3,11.7,C
2023,5,4,15.3,C
2023,5,5,17.8,C
2023,5,6,16.5,C
2023,5,7,9,C
2023,5,8,12.1,C
2023,5,9,13.2,C
2023,5,10,13.8,C
2023,5,11,11.3,C
2023,5,12,10.4,C
2023,5,13,5.3,C
2023,5,14,8.3,C
2023,5,15,10,C
2023,5,16,14.8,C
2023,5,17,16.8,C
2023,5,18,11.8,C
2023,5,19,13.3,C
2023,5,20,15.2,C
2023,5,21,12,C
2023,5,22,13.7,C
2023,5,23,14.2,C
2023,5,24,14,C
2023,5,25,14,C
2023,5,26,13,C
2023,5,27,9.2,C
2023,5,28,12.4,C
2023,5,29,10.4,C
2023,5,30,10,C
2023,5,31,9.8,C
2023,6,1,10.3,C
2023,6,2,13.5,C
2023,6,3,10,C
2023,6,4,12.5,C
2023,6,5,13.5,C
2023,6,6,11.1,C
2023,6,7,12.5,C
2023,6,8,10.1,C
2023,6,9,8.6,C
2023,6,10,9.8,C
2023,6,11,8.9,C
2023,6,12,9.5,C
2023,6,13,8.2,C
2023,6,14,9.2,C
2023,6,15,7.2,C
2023,6,16,9.5,C
2023,6,17,8.6,C
2023,6,18,11.7,C
2023,6,19,12.6,C
2023,6,20,13.6,C
2023,6,21,15.3,C
2023,6,22,16.3,C
2023,6,23,11.5,C
2023,6,24,12.8,C
2023,6,25,11.9,C
2023,6,26,8.8,C
2023,6,27,11.3,C
2023,6,28,10.8,C
2023,6,29,11.2,C
2023,6,30,11.7,C
2023,7,1,9.1,C
2023,7,2,8.4,C
2023,7,3,11.6,C
2023,7,4,8.4,C
2023,7,5,15,C
2023,7,6,17,C
2023,7,7,17.5,C
2023,7,8,14.1,C
2023,7,9,12.2,C
2023,7,10,12.3,C
2023,7,11,15,C
2023,7,12,13.6,C
2023,7,13,9.2,C
2023,7,14,8,C
2023,7,15,9.2,C
2023,7,16,11.9,C
2023,7,17,24.5,C
2023,7,18,15.7,C
2023,7,19,2.4,C
2023,7,20,7,C
2023,7,21,9.3,C
2023,7,22,9.2,C
2023,7,23,8.2,C
2023,7,24,8.8,C
2023,7,25,8.4,C
2023,7,26,11.4,C
2023,7,27,10.8,C
2023,7,28,7.8,C
2023,7,29,10,#
2023,7,30,***,
2023,7,31,***,
2023,8,1,***,
2023,8,2,13,#
2023,8,3,9.7,C
2023,8,4,14.3,C
2023,8,5,15.8,C
2023,8,6,15.6,C
2023,8,7,10.5,C
2023,8,8,12.1,C
2023,8,9,12,C
2023,8,10,7.8,C
2023,8,11,11.1,C
2023,8,12,11.7,C
2023,8,13,10.6,C
2023,8,14,10.5,C
2023,8,15,10.6,C
2023,8,16,13,C
2023,8,17,9.6,#
2023,8,18,7.8,C
2023,8,19,7.9,C
2023,8,20,8.1,C
2023,8,21,11.3,C
2023,8,22,11.6,C
2023,8,23,10.3,C
2023,8,24,9.3,C
2023,8,25,8,C
2023,8,26,9.2,C
2023,8,27,10.4,C
2023,8,28,9.3,C
2023,8,29,9.7,C
2023,8,30,17.9,C
2023,8,31,18.4,C
2023,9,1,38.5,C
2023,9,2,27.4,C
