年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,2.3,C
2023,1,2,2.8,C
2023,1,3,4.2,C
2023,1,4,3,C
2023,1,5,2.8,C
2023,1,6,3,C
2023,1,7,2.6,C
2023,1,8,4.4,C
2023,1,9,2.4,C
2023,1,10,2.4,C
2023,1,11,3.5,C
2023,1,12,4.9,C
2023,1,13,2.8,C
2023,1,14,1.4,C
2023,1,15,5,C
2023,1,16,5.1,C
2023,1,17,3.4,C
2023,1,18,3,C
2023,1,19,2.3,C
2023,1,20,2.2,C
2023,1,21,3.1,C
2023,1,22,2.5,C
2023,1,23,2,C
2023,1,24,7.8,C
2023,1,25,5,C
2023,1,26,2.3,C
2023,1,27,6.1,C
2023,1,28,6,C
2023,1,29,3.5,C
2023,1,30,2.1,C
2023,1,31,2.5,C
2023,2,1,2.5,C
2023,2,2,4.5,C
2023,2,3,3,C
2023,2,4,4.1,C
2023,2,5,3.2,C
2023,2,6,2.1,C
2023,2,7,1.9,C
2023,2,8,5.8,C
2023,2,9,4.3,C
2023,2,10,2.2,C
2023,2,11,5.6,C
2023,2,12,7.4,C
2023,2,13,4.6,C
2023,2,14,5.6,C
2023,2,15,5.5,C
2023,2,16,4.4,C
2023,2,17,4.3,C
2023,2,18,2,C
2023,2,19,2.8,C
2023,2,20,5.1,C
2023,2,21,5.8,C
2023,2,22,5.4,C
2023,2,23,3.1,C
2023,2,24,2.3,C
2023,2,25,6.5,C
2023,2,26,6.4,C
2023,2,27,4.2,C
2023,2,28,3.1,C
2023,3,1,2.4,C
2023,3,2,4.4,C
2023,3,3,5.1,C
2023,3,4,3.2,C
2023,3,5,4.1,C
2023,3,6,5.6,C
2023,3,7,3.3,C
2023,3,8,2.8,C
2023,3,9,3.8,C
2023,3,10,5.3,C
2023,3,11,4.2,C
2023,3,12,2.8,C
2023,3,13,4.5,C
2023,3,14,3.3,C
2023,3,15,3.2,C
2023,3,16,4.2,C
2023,3,17,4.3,C
2023,3,18,4,C
2023,3,19,6.3,C
2023,3,20,6.5,C
2023,3,21,7.6,C
2023,3,22,6.4,C
2023,3,23,6.9,C
2023,3,24,8,C
2023,3,25,6.8,C
2023,3,26,3.7,C
2023,3,27,5.1,C
2023,3,28,2.8,C
2023,3,29,4.7,C
2023,3,30,1.5,C
2023,3,31,3.8,C
2023,4,1,3.7,C
2023,4,2,3.9,C
2023,4,3,7.7,C
2023,4,4,7.9,C
2023,4,5,7.9,C
2023,4,6,6.8,C
2023,4,7,4.5,C
2023,4,8,3.5,C
2023,4,9,1.5,C
2023,4,10,2.3,C
2023,4,11,5.5,C
2023,4,12,3.3,C
2023,4,13,6.2,C
2023,4,14,2.6,C
2023,4,15,1.4,C
2023,4,16,4.5,C
2023,4,17,4.8,C
2023,4,18,7.6,C
2023,4,19,3.9,C
2023,4,20,3.3,C
2023,4,21,4.7,C
2023,4,22,9.8,C
2023,4,23,6,C
2023,4,24,2.6,C
2023,4,25,2.7,C
2023,4,26,3.8,C
2023,4,27,6.3,C
2023,4,28,5.8,C
2023,4,29,2,C
2023,4,30,2.8,C
2023,5,1,5.9,C
2023,5,2,5.4,C
2023,5,3,5.4,C
2023,5,4,6.9,C
2023,5,5,8.1,C
2023,5,6,7.8,C
2023,5,7,4,C
2023,5,8,4.3,C
2023,5,9,5.5,C
2023,5,10,6,C
2023,5,11,4.3,C
2023,5,12,1.9,C
2023,5,13,0.7,C
2023,5,14,2.1,C
2023,5,15,3.5,C
2023,5,16,6,C
2023,5,17,6.5,C
2023,5,18,5.7,C
2023,5,19,5.5,C
2023,5,20,8.5,C
2023,5,21,7.3,C
2023,5,22,6.9,C
2023,5,23,5.8,C
