年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,13.3,C
2023,1,2,12.2,C
2023,1,3,13.1,#
2023,1,4,9.2,C
2023,1,5,7.4,C
2023,1,6,14.6,C
2023,1,7,11.6,C
2023,1,8,5.8,C
2023,1,9,4.2,C
2023,1,10,6.8,C
2023,1,11,5.4,C
2023,1,12,6,C
2023,1,13,1.7,C
2023,1,14,3.1,C
2023,1,15,11.7,C
2023,1,16,17.7,C
2023,1,17,12.7,C
2023,1,18,11.6,C
2023,1,19,5.7,C
2023,1,20,10.6,C
2023,1,21,8.3,C
2023,1,22,5.3,C
2023,1,23,4,C
2023,1,24,32.5,C
2023,1,25,11,C
2023,1,26,5.7,C
2023,1,27,25.7,C
2023,1,28,22.9,C
2023,1,29,13.6,C
2023,1,30,6.8,C
2023,1,31,5.1,C
2023,2,1,3.5,C
2023,2,2,6.1,C
2023,2,3,7.7,C
2023,2,4,8.4,C
2023,2,5,4.1,C
2023,2,6,1.9,C
2023,2,7,4,C
2023,2,8,12.4,C
2023,2,9,5.3,C
2023,2,10,2.7,C
2023,2,11,5.5,C
2023,2,12,4.5,C
2023,2,13,3.3,C
2023,2,14,17.8,C
2023,2,15,15.7,C
2023,2,16,12.9,C
2023,2,17,8.8,C
2023,2,18,3.4,C
2023,2,19,7.7,C
2023,2,20,12.8,C
2023,2,21,18.5,C
2023,2,22,14.4,C
2023,2,23,7.3,C
2023,2,24,8.8,C
2023,2,25,25.5,C
2023,2,26,15.2,C
2023,2,27,15,C
2023,2,28,8.7,C
2023,3,1,4.1,C
2023,3,2,11.3,C
2023,3,3,9.3,C
2023,3,4,4.8,C
2023,3,5,5.5,C
2023,3,6,7.8,C
2023,3,7,6.3,C
2023,3,8,3.9,C
2023,3,9,4.4,C
2023,3,10,6.6,C
2023,3,11,5.6,C
2023,3,12,11.4,C
2023,3,13,11.9,C
2023,3,14,7.5,C
2023,3,15,4.3,C
2023,3,16,5.3,C
2023,3,17,9.8,C
2023,3,18,9,C
2023,3,19,14.8,C
2023,3,20,4.8,C
2023,3,21,9.8,C
2023,3,22,11.5,C
2023,3,23,13.5,C
2023,3,24,14.9,C
2023,3,25,13.8,C
2023,3,26,7.7,C
2023,3,27,18.3,C
2023,3,28,7.6,C
2023,3,29,8,C
2023,3,30,3.8,C
2023,3,31,7.1,C
2023,4,1,3.8,C
2023,4,2,9.5,C
2023,4,3,7.6,C
2023,4,4,12.5,C
2023,4,5,9.5,C
2023,4,6,8.4,C
2023,4,7,12.4,C
2023,4,8,12,C
2023,4,9,8.1,C
2023,4,10,6,C
2023,4,11,4.5,C
2023,4,12,5.5,C
2023,4,13,12.8,C
2023,4,14,4.5,C
2023,4,15,7.3,C
2023,4,16,7.1,C
2023,4,17,7.7,C
2023,4,18,12.2,C
2023,4,19,11.1,C
2023,4,20,5,C
2023,4,21,11.8,C
2023,4,22,18.1,C
2023,4,23,6.1,C
2023,4,24,6,C
2023,4,25,5.5,C
2023,4,26,12.7,C
2023,4,27,12.3,C
2023,4,28,7.4,C
2023,4,29,3.8,C
2023,4,30,9.7,C
2023,5,1,13,C
2023,5,2,7.6,C
2023,5,3,5.4,C
2023,5,4,10.9,C
2023,5,5,14.5,C
2023,5,6,15.5,C
2023,5,7,7.3,C
2023,5,8,10.8,C
2023,5,9,17.5,C
2023,5,10,14.7,C
2023,5,11,6.1,C
2023,5,12,7.1,C
2023,5,13,5.8,C
