年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,15.7,C
2023,1,2,15.4,C
2023,1,3,20,C
2023,1,4,12.9,C
2023,1,5,8.1,C
2023,1,6,11.2,C
2023,1,7,17.8,C
2023,1,8,17,C
2023,1,9,10.9,C
2023,1,10,10.5,C
2023,1,11,15.4,C
2023,1,12,20.9,C
2023,1,13,14,C
2023,1,14,3.3,C
2023,1,15,22.1,C
2023,1,16,29.7,C
2023,1,17,21.4,C
2023,1,18,19.8,C
2023,1,19,12.4,C
2023,1,20,13.5,C
2023,1,21,20.8,C
2023,1,22,11.5,C
2023,1,23,4.3,C
2023,1,24,34,C
2023,1,25,18.2,C
2023,1,26,9,C
2023,1,27,31.7,C
2023,1,28,21.9,C
2023,1,29,14.7,C
2023,1,30,16,C
2023,1,31,15.8,C
2023,2,1,12.9,C
2023,2,2,20.3,C
2023,2,3,18.5,C
2023,2,4,18.4,C
2023,2,5,13.2,C
2023,2,6,8,C
2023,2,7,9.7,C
2023,2,8,20.7,C
2023,2,9,16.8,C
2023,2,10,10.5,C
2023,2,11,18.1,C
2023,2,12,19.9,C
2023,2,13,10,C
2023,2,14,24.7,C
2023,2,15,21.2,C
2023,2,16,17.6,C
2023,2,17,11.9,C
2023,2,18,9.9,C
2023,2,19,13.7,C
2023,2,20,17.4,C
2023,2,21,29.2,C
2023,2,22,25.2,C
2023,2,23,16.2,C
2023,2,24,13.2,C
2023,2,25,24,C
2023,2,26,21.5,C
2023,2,27,24.3,C
2023,2,28,18,C
2023,3,1,9.1,C
2023,3,2,21.5,C
2023,3,3,21.8,C
2023,3,4,11.8,C
2023,3,5,17.3,C
2023,3,6,17.5,C
2023,3,7,18,C
2023,3,8,7.3,C
2023,3,9,6.4,C
2023,3,10,15.3,C
2023,3,11,12.2,C
2023,3,12,12.1,C
2023,3,13,15.1,C
2023,3,14,19.1,C
2023,3,15,12.9,C
2023,3,16,16.7,C
2023,3,17,17.7,C
2023,3,18,13.4,C
2023,3,19,23.4,C
2023,3,20,16.9,C
2023,3,21,16.3,C
2023,3,22,20.5,C
2023,3,23,16.2,C
2023,3,24,19.7,C
2023,3,25,26,C
2023,3,26,16.2,C
2023,3,27,24.9,C
2023,3,28,18.5,C
2023,3,29,23.9,C
2023,3,30,16.5,C
2023,3,31,22.2,C
2023,4,1,17.5,C
2023,4,2,23.3,C
2023,4,3,31.7,C
2023,4,4,29.1,C
2023,4,5,24.1,C
2023,4,6,17.1,C
2023,4,7,25.1,C
2023,4,8,18.8,C
2023,4,9,15.5,C
2023,4,10,16.1,C
2023,4,11,12.8,C
2023,4,12,10.3,C
2023,4,13,23,C
2023,4,14,7.1,C
2023,4,15,8.1,C
2023,4,16,14.8,C
2023,4,17,16.3,C
2023,4,18,14.8,C
2023,4,19,16.3,C
2023,4,20,10.5,C
2023,4,21,24.3,C
2023,4,22,33.3,C
2023,4,23,24.3,C
2023,4,24,13.2,C
2023,4,25,18,C
2023,4,26,21.9,C
2023,4,27,23.8,C
2023,4,28,18.6,C
2023,4,29,8.5,C
2023,4,30,18.8,C
2023,5,1,25.5,C
2023,5,2,19.3,C
2023,5,3,17.8,C
2023,5,4,19.9,C
2023,5,5,15.1,C
2023,5,6,17,C
2023,5,7,12.2,C
2023,5,8,17,C
2023,5,9,24.8,C
2023,5,10,29.8,C
2023,5,11,18.9,C
2023,5,12,9.7,C
2023,5,13,9.1,C
2023,5,14,16.2,C
2023,5,15,9.8,C
2023,5,16,12.2,C
2023,5,17,14.8,C
2023,5,18,11.8,C
2023,5,19,9.3,C
2023,5,20,14.5,C
2023,5,21,20.9,C
2023,5,22,17.9,C
2023,5,23,19.5,C
2023,5,24,24.4,C
2023,5,25,19.9,C
2023,5,26,21.2,C
2023,5,27,18.9,C
2023,5,28,19.1,C
2023,5,29,10.8,C
2023,5,30,10.8,C
2023,5,31,11,C
2023,6,1,12,C
2023,6,2,13.7,C
2023,6,3,13,C
2023,6,4,24.9,C
2023,6,5,32.3,C
2023,6,6,22.2,C
2023,6,7,24.3,C
2023,6,8,15.7,C
2023,6,9,10.3,C
2023,6,10,7.7,C
2023,6,11,11,C
2023,6,12,18,C
2023,6,13,10,C
2023,6,14,13.2,C
2023,6,15,11.1,C
2023,6,16,12.2,C
2023,6,17,12.3,C
2023,6,18,19.4,C
2023,6,19,22.4,C
2023,6,20,22,C
2023,6,21,21.2,C
2023,6,22,21.9,C
2023,6,23,24.4,C
2023,6,24,19.1,C
2023,6,25,15.8,C
2023,6,26,10.2,C
2023,6,27,17.1,C
2023,6,28,14.9,C
2023,6,29,9.8,C
2023,6,30,13.2,C
2023,7,1,11.9,C
2023,7,2,11.1,C
2023,7,3,16.7,C
2023,7,4,17.6,C
2023,7,5,20.7,C
2023,7,6,18.3,C
2023,7,7,21.5,C
2023,7,8,14,C
2023,7,9,13.6,C
2023,7,10,14.6,C
2023,7,11,12.5,C
2023,7,12,12.1,C
2023,7,13,9.3,C
2023,7,14,9.5,C
2023,7,15,10.7,C
2023,7,16,30.5,C
2023,7,17,63.5,C
2023,7,18,37.7,C
2023,7,19,19,C
2023,7,20,11.1,C
2023,7,21,6.1,C
2023,7,22,7,C
2023,7,23,12.5,C
2023,7,24,8.4,C
2023,7,25,10.8,C
2023,7,26,10.3,C
2023,7,27,14.1,C
2023,7,28,12,C
2023,7,29,20,C
2023,7,30,17,C
2023,7,31,19.5,C
2023,8,1,11.3,C
2023,8,2,11,C
2023,8,3,10.1,C
2023,8,4,21.4,C
2023,8,5,19.7,C
2023,8,6,18.6,C
2023,8,7,12.8,C
2023,8,8,11.8,C
2023,8,9,14.3,C
2023,8,10,9.8,C
2023,8,11,16.3,C
2023,8,12,15,C
2023,8,13,13.8,C
2023,8,14,15.7,C
2023,8,15,9.3,C
2023,8,16,14.5,C
2023,8,17,15.8,C
2023,8,18,13.5,C
2023,8,19,9.8,C
2023,8,20,8,C
2023,8,21,11,C
2023,8,22,7.8,C
2023,8,23,10.8,C
2023,8,24,10.8,C
2023,8,25,8.7,C
2023,8,26,8.7,C
2023,8,27,12.9,C
2023,8,28,8.3,C
2023,8,29,10.7,C
2023,8,30,21.8,C
2023,8,31,25.3,C
2023,9,1,51.1,C
2023,9,2,56.5,C
2023,9,3,20,C
2023,9,4,9.1,C
2023,9,5,11.8,C
2023,9,6,8.6,C
2023,9,7,11.8,C
2023,9,8,19.1,C
2023,9,9,25,C
2023,9,10,21.9,C
2023,9,11,19.7,C
2023,9,12,15.2,C
2023,9,13,18.5,C
2023,9,14,12.1,C
2023,9,15,13.9,C
2023,9,16,15.3,C
2023,9,17,14,C
2023,9,18,11.3,C
2023,9,19,10,C
2023,9,20,7.3,C
2023,9,21,8.3,C
2023,9,22,11.1,C
2023,9,23,19.8,C
2023,9,24,22.7,C
2023,9,25,25.5,C
2023,9,26,23.8,C
2023,9,27,21,C
2023,9,28,23.4,C
2023,9,29,18.5,C
2023,9,30,8,C
2023,10,1,15.9,C
2023,10,2,26.8,C
2023,10,3,12.8,C
2023,10,4,10.4,C
2023,10,5,21.6,C
2023,10,6,23.7,C
2023,10,7,32.9,C
2023,10,8,50.5,C
2023,10,9,31.5,C
2023,10,10,20.6,C
2023,10,11,18.5,C
2023,10,12,17.9,C
2023,10,13,17.1,C
2023,10,14,13.4,C
2023,10,15,16.8,C
2023,10,16,22.4,C
2023,10,17,28.2,C
2023,10,18,32.9,C
2023,10,19,29,C
2023,10,20,20,C
2023,10,21,26.3,C
2023,10,22,14.5,C
2023,10,23,16,C
2023,10,24,16.7,C
2023,10,25,16.4,C
2023,10,26,16.7,C
2023,10,27,15.8,C
2023,10,28,20.5,C
2023,10,29,20.6,C
2023,10,30,12.7,C
2023,10,31,20.1,C
2023,11,1,20.4,C
2023,11,2,18.1,C
2023,11,3,16.2,C
2023,11,4,15.8,C
2023,11,5,10.8,C
2023,11,6,15,C
2023,11,7,22.9,C
2023,11,8,26.7,C
2023,11,9,22.6,C
2023,11,10,16,C
2023,11,11,27.3,C
2023,11,12,19.1,C
2023,11,13,22.3,C
2023,11,14,15.6,C
2023,11,15,19.6,C
2023,11,16,31.6,C
2023,11,17,35,C
2023,11,18,19.9,C
2023,11,19,13.3,C
2023,11,20,12.8,C
2023,11,21,16.6,C
2023,11,22,13.4,C
2023,11,23,7.8,C
2023,11,24,26.6,C
2023,11,25,25,C
2023,11,26,12.8,C
2023,11,27,8.2,C
2023,11,28,20.8,C
2023,11,29,17.7,C
2023,11,30,19.1,C
2023,12,1,19.9,C
2023,12,2,13.1,C
2023,12,3,14.2,C
2023,12,4,10,C
2023,12,5,10.1,C
2023,12,6,16.4,C
2023,12,7,20.1,C
2023,12,8,14.3,C
2023,12,9,12.6,C
2023,12,10,16.3,C
2023,12,11,5.5,C
2023,12,12,12.8,C
2023,12,13,23.4,C
2023,12,14,12.8,C
2023,12,15,12.7,C
2023,12,16,32.3,C
2023,12,17,25,C
2023,12,18,17.9,C
