年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,20.4,C
2023,1,2,16.4,C
2023,1,3,20.6,C
2023,1,4,17.5,C
2023,1,5,16.3,C
2023,1,6,19,C
2023,1,7,21.4,C
2023,1,8,41.3,C
2023,1,9,26.4,C
2023,1,10,20.5,C
2023,1,11,33.9,C
2023,1,12,35.8,C
2023,1,13,20.5,C
2023,1,14,12.3,C
2023,1,15,22.6,C
2023,1,16,27.6,C
2023,1,17,26.9,C
2023,1,18,18.3,C
2023,1,19,14.5,C
2023,1,20,15.8,C
2023,1,21,30.4,C
2023,1,22,13.8,C
2023,1,23,9.4,C
2023,1,24,39.9,C
2023,1,25,24.8,C
2023,1,26,21.2,C
2023,1,27,30.3,C
2023,1,28,24.6,C
2023,1,29,17,C
2023,1,30,18,C
2023,1,31,28.4,C
2023,2,1,17.4,C
2023,2,2,28.7,C
2023,2,3,28.5,C
2023,2,4,30.7,C
2023,2,5,25.9,C
2023,2,6,16.5,C
2023,2,7,12.7,C
2023,2,8,34.1,C
2023,2,9,22.3,C
2023,2,10,10.3,C
2023,2,11,34.3,C
2023,2,12,25.4,C
2023,2,13,15.7,C
2023,2,14,24.5,C
2023,2,15,19.3,C
2023,2,16,19.4,C
2023,2,17,21,C
2023,2,18,14.7,C
2023,2,19,16.8,C
2023,2,20,21.9,C
2023,2,21,34.4,C
2023,2,22,27.3,C
2023,2,23,19.9,C
2023,2,24,20.5,C
2023,2,25,24,C
2023,2,26,25.8,C
2023,2,27,29.8,C
2023,2,28,26.1,C
2023,3,1,14.4,C
2023,3,2,25.5,C
2023,3,3,27.8,C
2023,3,4,19.8,C
2023,3,5,26,C
2023,3,6,30.7,C
2023,3,7,20.8,C
2023,3,8,10.5,C
2023,3,9,10.2,C
2023,3,10,24,C
2023,3,11,19.7,C
2023,3,12,13.2,C
2023,3,13,16.8,C
2023,3,14,20.8,C
2023,3,15,14.3,C
2023,3,16,19.1,C
2023,3,17,21.1,C
2023,3,18,15,C
2023,3,19,31.8,C
2023,3,20,17.3,C
2023,3,21,22.1,C
2023,3,22,29.8,C
2023,3,23,26.1,C
2023,3,24,18.3,C
2023,3,25,27.5,C
2023,3,26,23.4,C
2023,3,27,35.6,C
2023,3,28,26.1,C
2023,3,29,26.6,C
2023,3,30,20.5,C
2023,3,31,23.8,C
2023,4,1,27.6,C
2023,4,2,29.5,C
2023,4,3,36.7,C
2023,4,4,29.5,C
2023,4,5,32.1,C
2023,4,6,23.6,C
2023,4,7,20.3,C
2023,4,8,24.7,C
2023,4,9,20.5,C
2023,4,10,24.5,C
2023,4,11,16.2,C
2023,4,12,12,C
2023,4,13,32.9,C
2023,4,14,15.8,C
2023,4,15,9.8,C
2023,4,16,14,C
2023,4,17,11.7,C
2023,4,18,21.6,C
2023,4,19,20.3,C
2023,4,20,14.3,C
2023,4,21,18.8,C
2023,4,22,45.3,C
2023,4,23,35.4,C
2023,4,24,19.7,C
2023,4,25,18.9,C
2023,4,26,21.5,C
2023,4,27,36.7,C
2023,4,28,24.2,C
2023,4,29,10.9,C
2023,4,30,17.5,C
2023,5,1,28.4,C
2023,5,2,29.5,C
2023,5,3,18.6,C
2023,5,4,14.3,C
2023,5,5,18.2,C
2023,5,6,26.7,C
2023,5,7,18.6,C
2023,5,8,22.8,C
2023,5,9,37.2,C
2023,5,10,37.8,C
2023,5,11,33.7,C
2023,5,12,17.3,C
2023,5,13,10,C
2023,5,14,18.3,C
2023,5,15,11.3,C
2023,5,16,10,C
2023,5,17,18.9,C
2023,5,18,20.8,C
2023,5,19,12.6,C
2023,5,20,19.3,C
2023,5,21,25.6,C
2023,5,22,21.8,C
2023,5,23,26.7,C
2023,5,24,36.8,C
2023,5,25,28.8,C
2023,5,26,21.6,C
2023,5,27,18,C
2023,5,28,12.8,C
2023,5,29,13.1,C
2023,5,30,12.4,C
2023,5,31,12.5,C
2023,6,1,11.3,#
2023,6,2,***,
2023,6,3,***,
2023,6,4,***,
2023,6,5,***,
2023,6,6,***,
2023,6,7,***,
2023,6,8,***,
2023,6,9,***,
2023,6,10,***,
2023,6,11,***,
2023,6,12,18.7,#
2023,6,13,13,C
2023,6,14,13.3,#
2023,6,15,10.1,C
2023,6,16,15,C
2023,6,17,10.8,C
2023,6,18,21.5,C
2023,6,19,24.8,C
2023,6,20,24.1,C
2023,6,21,24.1,C
2023,6,22,22.8,C
2023,6,23,27.5,C
2023,6,24,21.9,C
2023,6,25,16.4,C
2023,6,26,14.7,C
2023,6,27,18.4,C
2023,6,28,13.2,C
2023,6,29,14.4,C
2023,6,30,14.2,C
2023,7,1,12.1,C
2023,7,2,12.6,C
2023,7,3,21.3,C
2023,7,4,20.1,C
2023,7,5,21.5,C
2023,7,6,21.4,C
2023,7,7,21.7,C
2023,7,8,16.8,C
2023,7,9,16.5,C
2023,7,10,19,C
2023,7,11,15.6,C
2023,7,12,15,C
2023,7,13,13.2,C
2023,7,14,12.1,#
2023,7,15,11,C
2023,7,16,40.3,C
2023,7,17,46.1,C
2023,7,18,24.6,C
2023,7,19,12,C
2023,7,20,15.5,C
2023,7,21,10.1,C
2023,7,22,13.1,C
2023,7,23,12.4,#
2023,7,24,12.7,C
2023,7,25,10.8,C
2023,7,26,7.5,C
2023,7,27,14.6,C
2023,7,28,12.6,C
2023,7,29,20.6,C
2023,7,30,18.5,C
2023,7,31,25.7,#
2023,8,1,15.2,#
2023,8,2,***,
2023,8,3,***,
2023,8,4,***,
2023,8,5,***,
2023,8,6,***,
2023,8,7,18.4,#
2023,8,8,11.9,#
2023,8,9,***,
2023,8,10,10.2,#
2023,8,11,17.8,C
2023,8,12,16.1,C
2023,8,13,15.8,C
2023,8,14,19.9,C
2023,8,15,15.2,C
2023,8,16,17.4,C
2023,8,17,15,C
2023,8,18,12.9,C
2023,8,19,12,C
2023,8,20,12.8,C
2023,8,21,11.6,C
2023,8,22,10.1,C
2023,8,23,12.5,C
2023,8,24,8.4,#
2023,8,25,7.3,C
2023,8,26,10,C
2023,8,27,11.1,C
2023,8,28,11.1,C
2023,8,29,11.4,C
2023,8,30,18.9,C
2023,8,31,24.5,C
2023,9,1,56.9,C
2023,9,2,40,C
2023,9,3,23.2,C
2023,9,4,14.3,C
2023,9,5,13.7,C
2023,9,6,11.9,C
2023,9,7,12.3,C
2023,9,8,20.7,C
2023,9,9,12.5,C
2023,9,10,17,C
2023,9,11,21,C
2023,9,12,14.3,C
2023,9,13,19.2,C
2023,9,14,14.5,C
2023,9,15,19.5,C
2023,9,16,19.5,C
2023,9,17,15.8,C
2023,9,18,12.1,C
2023,9,19,10,C
2023,9,20,11.3,C
2023,9,21,12,C
2023,9,22,14,C
2023,9,23,26.7,C
2023,9,24,33.1,C
2023,9,25,32,C
2023,9,26,32,C
2023,9,27,26.9,C
2023,9,28,29,C
2023,9,29,20,C
2023,9,30,12.5,C
2023,10,1,11.9,C
2023,10,2,21.4,C
2023,10,3,12.5,C
