年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,6.6,C
2023,1,2,5.9,C
2023,1,3,6.6,C
2023,1,4,4.6,C
2023,1,5,4.8,C
2023,1,6,5.5,C
2023,1,7,5.5,C
2023,1,8,10.8,C
2023,1,9,5.7,C
2023,1,10,3.3,C
2023,1,11,8.1,C
2023,1,12,15.7,C
2023,1,13,7.4,C
2023,1,14,3.3,C
2023,1,15,8.9,C
2023,1,16,8.3,C
2023,1,17,9.8,C
2023,1,18,7.6,C
2023,1,19,5.5,C
2023,1,20,4,C
2023,1,21,8.7,C
2023,1,22,3.8,C
2023,1,23,3.1,C
2023,1,24,13.6,C
2023,1,25,5.5,C
2023,1,26,5.1,C
2023,1,27,10.9,C
2023,1,28,8.7,C
2023,1,29,5.7,C
2023,1,30,5.8,C
2023,1,31,9.2,C
2023,2,1,6.4,C
2023,2,2,9.9,C
2023,2,3,8.6,C
2023,2,4,10.1,C
2023,2,5,6.8,C
2023,2,6,5.7,C
2023,2,7,4.1,C
2023,2,8,10.9,C
2023,2,9,10.3,C
2023,2,10,4.8,C
2023,2,11,13,C
2023,2,12,12.2,C
2023,2,13,7,C
2023,2,14,10.4,C
2023,2,15,7.5,C
2023,2,16,6.7,C
2023,2,17,6.9,C
2023,2,18,4.7,C
2023,2,19,5.2,C
2023,2,20,6.9,C
2023,2,21,11.8,C
2023,2,22,10.1,C
2023,2,23,6.9,C
2023,2,24,6.3,C
2023,2,25,9.9,C
2023,2,26,8.5,C
2023,2,27,11.1,C
2023,2,28,9.6,C
2023,3,1,4,C
2023,3,2,9.8,C
2023,3,3,9.9,C
2023,3,4,6,C
2023,3,5,10.3,C
2023,3,6,11.3,C
2023,3,7,9.5,C
2023,3,8,4,C
2023,3,9,3.4,C
2023,3,10,9.8,C
2023,3,11,8.4,C
2023,3,12,5.2,C
2023,3,13,6.2,C
2023,3,14,8.1,C
2023,3,15,6.2,C
2023,3,16,7.1,C
2023,3,17,9.4,C
2023,3,18,7.8,C
2023,3,19,13.7,C
2023,3,20,11.3,C
2023,3,21,11.3,C
2023,3,22,15.8,C
2023,3,23,13.8,C
2023,3,24,12.5,C
2023,3,25,13.3,C
2023,3,26,6,C
2023,3,27,9.1,C
2023,3,28,6.5,C
2023,3,29,12.4,C
2023,3,30,9.7,C
2023,3,31,14.7,C
2023,4,1,10.7,C
2023,4,2,14.1,C
2023,4,3,18.9,C
2023,4,4,17.2,C
2023,4,5,13.9,C
2023,4,6,7.8,C
2023,4,7,8.6,C
2023,4,8,7.4,C
2023,4,9,5.9,C
2023,4,10,9.1,C
2023,4,11,9.5,C
2023,4,12,5,C
2023,4,13,12.5,C
2023,4,14,5.3,C
2023,4,15,5.7,C
2023,4,16,7.4,C
2023,4,17,9.8,C
2023,4,18,11.9,C
2023,4,19,9.3,C
2023,4,20,5,C
2023,4,21,13.1,C
2023,4,22,18.3,C
2023,4,23,17.6,C
2023,4,24,7.8,C
2023,4,25,8,C
2023,4,26,8.9,C
2023,4,27,13.1,C
2023,4,28,12.4,C
2023,4,29,5.5,C
2023,4,30,7.4,C
2023,5,1,12.5,C
2023,5,2,10.5,C
2023,5,3,12.9,C
2023,5,4,12.1,C
2023,5,5,10.4,C
2023,5,6,14.1,C
2023,5,7,6.2,C
2023,5,8,3.5,C
2023,5,9,11.3,C
2023,5,10,11.8,C
2023,5,11,9.1,C
2023,5,12,4.4,C
2023,5,13,2.7,C
2023,5,14,2.9,C
2023,5,15,5.1,C
2023,5,16,8.8,C
2023,5,17,6.9,C
2023,5,18,8.8,C
2023,5,19,6.7,C
2023,5,20,11.4,C
2023,5,21,11.8,C
2023,5,22,9.6,C
2023,5,23,11,C
2023,5,24,14.8,C
2023,5,25,11.1,C
2023,5,26,13.4,C
2023,5,27,11.6,C
2023,5,28,9.3,C
2023,5,29,5.3,C
2023,5,30,5.2,C
2023,5,31,4.9,C
2023,6,1,6.5,C
2023,6,2,7.3,C
2023,6,3,8.1,C
2023,6,4,11.3,C
2023,6,5,11.3,C
2023,6,6,8.6,C
2023,6,7,11.6,C
2023,6,8,8.2,C
2023,6,9,6.6,C
2023,6,10,5.5,C
2023,6,11,6.4,C
2023,6,12,8.6,C
2023,6,13,6.8,C
2023,6,14,6.7,C
2023,6,15,3.8,C
2023,6,16,6.8,C
2023,6,17,5.5,C
2023,6,18,11.4,C
2023,6,19,10.8,C
2023,6,20,9.7,C
2023,6,21,10,C
2023,6,22,10.3,C
2023,6,23,11.3,C
2023,6,24,8.8,C
2023,6,25,8.9,C
2023,6,26,6.5,C
2023,6,27,9,C
2023,6,28,7.2,C
2023,6,29,7.2,C
2023,6,30,6.6,C
2023,7,1,4.1,C
2023,7,2,4.7,C
2023,7,3,8.4,C
2023,7,4,6.4,C
2023,7,5,8.6,C
2023,7,6,7.7,C
2023,7,7,9.6,C
2023,7,8,8.8,C
2023,7,9,7.5,C
2023,7,10,7.2,C
2023,7,11,7.9,C
2023,7,12,8.3,C
2023,7,13,6.4,C
2023,7,14,5.2,C
2023,7,15,4.7,C
2023,7,16,8.5,C
2023,7,17,22.6,C
2023,7,18,15.6,C
2023,7,19,10,C
2023,7,20,7.5,C
