年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,12,C
2023,1,2,12.7,C
2023,1,3,12.4,C
2023,1,4,10.9,C
2023,1,5,9.7,C
2023,1,6,12.3,C
2023,1,7,12.9,C
2023,1,8,14.5,C
2023,1,9,12.5,C
2023,1,10,9,C
2023,1,11,13.6,C
2023,1,12,26.8,C
2023,1,13,13.3,C
2023,1,14,9.9,C
2023,1,15,18.2,C
2023,1,16,13.8,C
2023,1,17,12.8,C
2023,1,18,13,C
2023,1,19,9,C
2023,1,20,9.8,C
2023,1,21,18.4,C
2023,1,22,11.3,C
2023,1,23,7.3,C
2023,1,24,25.3,C
2023,1,25,13.7,C
2023,1,26,10.1,C
2023,1,27,17.9,C
2023,1,28,15.8,C
2023,1,29,13.3,C
2023,1,30,9.1,C
2023,1,31,15.2,C
2023,2,1,14,C
2023,2,2,20.9,C
2023,2,3,16.3,C
2023,2,4,20.8,C
2023,2,5,15,C
2023,2,6,8.7,C
2023,2,7,10.1,C
2023,2,8,21.3,C
2023,2,9,18.9,C
2023,2,10,9.4,C
2023,2,11,25.3,C
2023,2,12,23.8,C
2023,2,13,14.8,C
2023,2,14,18.3,C
2023,2,15,14.9,#
2023,2,16,13.9,C
2023,2,17,13.5,C
2023,2,18,9.9,C
2023,2,19,10.4,C
2023,2,20,15.4,C
2023,2,21,21.8,C
2023,2,22,18,C
2023,2,23,15.3,C
2023,2,24,15.9,C
2023,2,25,16.5,C
2023,2,26,15.1,C
2023,2,27,18.5,C
2023,2,28,15.7,C
2023,3,1,8.3,C
2023,3,2,17.3,C
2023,3,3,18.7,C
2023,3,4,12.8,C
2023,3,5,16.5,C
2023,3,6,20,C
2023,3,7,14.1,C
2023,3,8,10.2,C
2023,3,9,7.5,C
2023,3,10,17.6,C
2023,3,11,14.2,C
2023,3,12,11.5,C
2023,3,13,11.1,C
2023,3,14,15.4,C
2023,3,15,13.1,C
2023,3,16,15.9,C
2023,3,17,15.6,C
2023,3,18,12.8,C
2023,3,19,24.8,C
2023,3,20,20,C
2023,3,21,14.3,C
2023,3,22,16.5,C
2023,3,23,15.5,C
2023,3,24,15.3,C
2023,3,25,20.9,C
2023,3,26,12.5,C
2023,3,27,17.7,C
2023,3,28,12.8,C
2023,3,29,19.7,C
2023,3,30,12.8,C
2023,3,31,20.5,C
2023,4,1,20.3,C
2023,4,2,20.4,C
2023,4,3,29.6,C
2023,4,4,20.5,C
2023,4,5,17.3,C
2023,4,6,14.4,C
2023,4,7,12.8,C
2023,4,8,14.3,C
2023,4,9,11.5,C
2023,4,10,18,C
2023,4,11,15,C
2023,4,12,10.5,C
2023,4,13,20.5,C
2023,4,14,12.3,C
2023,4,15,9.7,C
2023,4,16,10.6,C
2023,4,17,15.9,C
2023,4,18,15.1,C
2023,4,19,16.1,C
2023,4,20,12.3,C
2023,4,21,20.5,C
2023,4,22,32.8,C
2023,4,23,28.3,C
2023,4,24,17.3,C
2023,4,25,17.8,C
2023,4,26,13.8,C
2023,4,27,24.8,C
2023,4,28,16.7,C
2023,4,29,12.1,C
2023,4,30,12.7,C
2023,5,1,22.5,C
2023,5,2,21.9,C
2023,5,3,16.2,C
2023,5,4,16.7,C
2023,5,5,15.6,C
2023,5,6,17,C
2023,5,7,11.8,C
2023,5,8,13.3,C
2023,5,9,21.1,C
2023,5,10,24.5,C
2023,5,11,18.7,C
2023,5,12,9.9,C
2023,5,13,7.2,C
2023,5,14,10,C
2023,5,15,9,C
2023,5,16,11.9,C
2023,5,17,17.5,C
2023,5,18,13.1,C
2023,5,19,11.5,C
2023,5,20,13,C
2023,5,21,16.8,C
2023,5,22,15.7,C
2023,5,23,19.5,C
2023,5,24,24.2,C
2023,5,25,24.3,C
2023,5,26,20.8,C
2023,5,27,18.1,C
2023,5,28,13,C
2023,5,29,12.3,C
2023,5,30,9.7,C
2023,5,31,11,C
2023,6,1,9.3,C
2023,6,2,10.8,C
2023,6,3,12,C
2023,6,4,19.9,C
2023,6,5,21.3,C
2023,6,6,14.1,C
2023,6,7,13.9,C
