年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,4.2,C
2023,1,2,4.7,C
2023,1,3,4.9,C
2023,1,4,6.4,C
2023,1,5,4.9,C
2023,1,6,4.1,C
2023,1,7,5.7,C
2023,1,8,13.5,C
2023,1,9,7.3,C
2023,1,10,4.7,C
2023,1,11,7.3,C
2023,1,12,8.7,C
2023,1,13,3,C
2023,1,14,2,C
2023,1,15,5.1,C
2023,1,16,5.5,C
2023,1,17,4.8,C
2023,1,18,4.9,C
2023,1,19,3.3,C
2023,1,20,3.8,C
2023,1,21,8.2,C
2023,1,22,4,C
2023,1,23,3.3,C
2023,1,24,10.5,C
2023,1,25,7,C
2023,1,26,5.3,C
2023,1,27,10.5,C
2023,1,28,7,C
2023,1,29,4.3,C
2023,1,30,4.5,C
2023,1,31,7.2,C
2023,2,1,4.8,C
2023,2,2,7.8,C
2023,2,3,7,C
2023,2,4,6.8,C
2023,2,5,5.3,C
2023,2,6,4.8,C
2023,2,7,2.8,C
2023,2,8,9.6,C
2023,2,9,7.5,C
2023,2,10,3.6,C
2023,2,11,7.9,C
2023,2,12,6,C
2023,2,13,4,C
2023,2,14,6.5,C
2023,2,15,7,C
2023,2,16,7.8,C
2023,2,17,5.5,C
2023,2,18,3.6,C
2023,2,19,5.4,C
2023,2,20,5.7,C
2023,2,21,12.3,C
2023,2,22,10,C
2023,2,23,6.4,C
2023,2,24,5.4,C
2023,2,25,7.3,C
2023,2,26,8.2,C
2023,2,27,9.3,C
2023,2,28,6.9,C
2023,3,1,2.5,C
2023,3,2,8.5,C
2023,3,3,7.7,C
2023,3,4,4.2,C
2023,3,5,6.7,C
2023,3,6,8.5,C
2023,3,7,5.8,C
2023,3,8,2.8,C
2023,3,9,3.6,C
2023,3,10,7.1,C
2023,3,11,5,C
2023,3,12,5,C
2023,3,13,5.3,C
2023,3,14,5.1,C
2023,3,15,4.1,C
2023,3,16,5.1,C
2023,3,17,6.2,C
2023,3,18,5.8,C
2023,3,19,9.4,C
2023,3,20,5.7,C
2023,3,21,4.5,C
2023,3,22,4.8,C
2023,3,23,5.4,C
2023,3,24,8,C
2023,3,25,10.5,C
2023,3,26,6.2,C
2023,3,27,11.6,C
2023,3,28,7.8,C
2023,3,29,8,C
2023,3,30,5.5,C
2023,3,31,6.8,C
2023,4,1,6.2,C
2023,4,2,9,C
2023,4,3,7.9,C
2023,4,4,8.2,C
2023,4,5,5.3,C
2023,4,6,4.5,C
2023,4,7,5.8,C
2023,4,8,7.8,C
2023,4,9,5.8,C
2023,4,10,5.7,C
2023,4,11,4.6,C
2023,4,12,4.4,C
2023,4,13,9.1,C
2023,4,14,4.1,C
2023,4,15,3.5,C
2023,4,16,3.7,C
2023,4,17,6.3,C
2023,4,18,5.8,C
2023,4,19,5,C
2023,4,20,4,C
2023,4,21,8.1,C
2023,4,22,15.1,C
2023,4,23,8.6,C
2023,4,24,5,C
2023,4,25,3,C
2023,4,26,5.8,C
2023,4,27,9.3,C
2023,4,28,6.7,C
2023,4,29,3.3,C
2023,4,30,4.9,C
2023,5,1,8.5,C
2023,5,2,9.1,C
2023,5,3,6,C
2023,5,4,7.7,C
2023,5,5,6.8,C
2023,5,6,5.2,C
2023,5,7,4,C
2023,5,8,5.9,C
2023,5,9,11,C
2023,5,10,10.3,C
2023,5,11,5.4,C
2023,5,12,3.6,C
2023,5,13,1.5,C
2023,5,14,4.3,C
2023,5,15,2.6,C
2023,5,16,4,C
2023,5,17,4,C
2023,5,18,4.9,C
2023,5,19,5,C
2023,5,20,5.7,C
2023,5,21,5.4,C
2023,5,22,5.9,C
2023,5,23,7.1,C
2023,5,24,8.5,C
2023,5,25,6.9,C
2023,5,26,7.3,C
2023,5,27,6.8,C
2023,5,28,6.2,C
2023,5,29,3.7,C
2023,5,30,3.2,C
2023,5,31,3,C
2023,6,1,3.7,C
2023,6,2,4.8,C
2023,6,3,6,C
2023,6,4,7.6,C
2023,6,5,11.3,C
2023,6,6,7,C
2023,6,7,4.4,C
2023,6,8,6.8,C
2023,6,9,3.2,C
2023,6,10,3,C
2023,6,11,3.4,C
2023,6,12,5.4,C
2023,6,13,4.5,C
2023,6,14,3,C
2023,6,15,2.5,C
2023,6,16,1.9,C
2023,6,17,1.5,C
2023,6,18,2.6,C
2023,6,19,4,C
2023,6,20,5.2,C
2023,6,21,5.8,C
2023,6,22,5.1,C
2023,6,23,5,C
2023,6,24,3.8,C
2023,6,25,5.9,C
2023,6,26,4,C
2023,6,27,6.6,C
2023,6,28,4.8,C
2023,6,29,4.5,C
2023,6,30,3.2,C
2023,7,1,2.8,C
2023,7,2,2,C
2023,7,3,4,C
2023,7,4,4.4,C
2023,7,5,6.3,C
2023,7,6,6.5,C
2023,7,7,6.2,C
2023,7,8,5.1,C
2023,7,9,5.3,C
2023,7,10,5.5,C
2023,7,11,4.7,C
2023,7,12,4.3,C
2023,7,13,3.9,C
2023,7,14,3.6,C
2023,7,15,4,C
